{'短评内容': 'Wi-Fi形同虚设，上网速度。。。可以说没有速度', '短评打分': 3}
{'短评内容': '房间没有矿泉水，也没有泡面，除了避孕套，沐浴的套装、牙刷套装，就没有其他的了。郁闷！', '短评打分': 3}
{'短评内容': '交通便利，多路公交车可达。对面是有名的江南水果市场，水果超便宜。斜对面是龙俊广场，很多有特色的广东小吃。', '短评打分': 5}
{'短评内容': '环境和卫生都不行', '短评打分': 2}
{'短评内容': '房间很小，设施还是比较齐的，周围环境好像挺偏的', '短评打分': 5}
{'短评内容': '酒店经济实惠，我是经常过来入住的', '短评打分': 5}
{'短评内容': '住的地方有一个大的方形的空地 在床的旁边 一晚没睡着 ', '短评打分': 4}
{'短评内容': '晚间服务态度差', '短评打分': 3}
{'短评内容': '总的来说不是特别满意，只是为了方便一点做事', '短评打分': 3}
{'短评内容': '水很大的味道', '短评打分': 4}
{'短评内容': '还不错，字数是不是够了啊？', '短评打分': 3}
{'短评内容': '旁边工地施工、好吵呀吵吵吵……', '短评打分': 3}
{'短评内容': '一般一般一般般啦啦！！', '短评打分': 3}
{'短评内容': '电插座太少，房间比较暗，其余还可以，价格不够实惠！', '短评打分': 3}
