{'短评内容': '不咋地 内窗当有窗 房间有味道', '短评打分': 1}
{'短评内容': '地址有点远，但导航也很快到，不是靠马路边，抽风机嘈', '短评打分': 4}
{'短评内容': '房间通风效果不太理想。', '短评打分': 3}
{'短评内容': '位置离口岸还要走差不多十几二十分钟，有点远', '短评打分': 4}
{'短评内容': '早上为什么装修，还是星期日，不是禁止一切噪音的吗？一大早就被吵的没睡好，明知道是酒店早上就禁止装修', '短评打分': 4}
{'短评内容': '房间还可以，就是办理入住的时候效率太慢了，等的时间有点久，一般都是几分钟就可以办理好的。房间内的卫生和设施看上去总体还行。', '短评打分': 5}
{'短评内容': '酒店服务非常棒，距离罗湖口岸非常近。酒店前台服务态度特别好', '短评打分': 5}
{'短评内容': '帮别人下单，实际体验效果暂时没有回复&hellip;', '短评打分': 3}
{'短评内容': '酒店前台人员服务冷漠，房间有很大味道', '短评打分': 3}
{'短评内容': '交通便利，很容易找到，环境挺好。', '短评打分': 5}
{'短评内容': '住宿还是可以的，因为在那地方能够住到这样便宜的已经差不多，环境一般般，靠近公路上，有点吵', '短评打分': 3}
{'短评内容': '房间大小还可以，就是有的房型两张床中间隔着柱子很别扭，门锁还有坏掉的。但是大体还是可以的', '短评打分': 5}
{'短评内容': '位置还是比较好找的，离火车站蛮近的，方便出行游玩，房间收拾也不错，床也很大的，以后再去深圳还会去住的，', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错，就是离口岸有点路程…', '短评打分': 4}
{'短评内容': '不太好找', '短评打分': 4}
{'短评内容': '周边环境吵，不过离口岸近', '短评打分': 2}
{'短评内容': '接待人員態度良好，被子很暖和！', '短评打分': 4}
