{'短评内容': '住的环境很差，总体来说，相比较附近的微商168来说，价格贵别人差不多一半了，条件也不好。床也不是我喜欢的软床，不是迫不得已的情况，不会再去了', '短评打分': 2}
{'短评内容': '本来看起来不错的，想给好评。谁知道这酒店的窗都是坏的，还没有防盗网，而且是窗靠着内测的走廊。安全系数为0，钱财可丢，生命可贵。建议以后还是不要住七天。', '短评打分': 1}
{'短评内容': '酒店位置不错，环境卫生都不错适合出门住宿，酒店外就是沃尔玛，对接虎门商业街黄河时装城，去逛街吃东西唱歌看电影吃饭都很方便', '短评打分': 5}
{'短评内容': '出行方便快捷', '短评打分': 5}
{'短评内容': '卫生非常棒，每天都会换床上用品，，而且前台也非常有礼貌，整个接待过程都是站立，不像某些宾馆都是坐着显得很懒散。再次点赞', '短评打分': 5}
{'短评内容': '出差来的，第一次住这里，房间比较安静，卫生条件非常好，楼下是虎门广场，出行很方便，酒店准备的早餐也很实惠，', '短评打分': 5}
{'短评内容': '可以就是太远了，感觉一般般吧', '短评打分': 5}
{'短评内容': '不错哦??', '短评打分': 5}
{'短评内容': '京东的服务也很差。', '短评打分': 5}
{'短评内容': '提好的，就是房间分布会让新客户分不清', '短评打分': 5}
{'短评内容': '义无反顾的时候告诉我一声', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '就近选择。', '短评打分': 5}
{'短评内容': '環境機能好，房間普通。', '短评打分': 4}
{'短评内容': '推开窗户，看到一个平台，里面很多油漆桶，感觉非常不安全。睡觉的时候居然还有小强爬上床，超级不开心。墙面也掉漆了。果断退房', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 4}
{'短评内容': ' 还可以 地方 方便 ', '短评打分': 4}
{'短评内容': '环境很一般，房间没有窗户，超级压抑', '短评打分': 3}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '如果每次出差都能住上这样的住宿就好了', '短评打分': 3}
{'短评内容': '住了一晚，休息特好，再别的地方住宿都没那么好', '短评打分': 3}
{'短评内容': '电梯比较旧，其他都可以', '短评打分': 5}
