{'短评内容': '不错啊！                                               ', '短评打分': 5}
{'短评内容': '标准汉庭吧 就是房间有点太小了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置好，卫生好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错服务态度好干净卫生', '短评打分': 5}
{'短评内容': '干净卫生服务态度很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错服务态度好干净卫生', '短评打分': 5}
{'短评内容': '房间非常好。经常去。', '短评打分': 5}
{'短评内容': '还可以，电视有点倒势。。', '短评打分': 5}
{'短评内容': '没照片，忘记自己下的是哪个酒店了', '短评打分': 5}
{'短评内容': '安静舒适，远离喧嚣...', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '是一次非常不错的体验，房间舒适干净，很舒服。前台服务很好，很满意。酒店位置不错，很好找，下次还会过来。', '短评打分': 5}
{'短评内容': '感觉真心不错', '短评打分': 5}
{'短评内容': '每次过来都会住汉庭，干净卫生服务好', '短评打分': 5}
{'短评内容': '很一般了。', '短评打分': 4}
{'短评内容': '在开发区，地理位置还可以。', '短评打分': 4}
{'短评内容': '位置挺好，在开发区，去机场和火车站也比较方便。房间干净整洁，床很大，睡着舒服。服务人员的服务也很到位。非常满意。', '短评打分': 5}
{'短评内容': '房间很干净，位置很好找，空调和洗澡都很好。', '短评打分': 4}
{'短评内容': '酒店位置很好，就在开发区最核心地方，很干净的，不错的地方，', '短评打分': 5}
{'短评内容': '在榆林这个地段还算不错', '短评打分': 3}
{'短评内容': '里面坏境很不错，也很实惠。服务态度也很好！', '短评打分': 5}
