{'短评内容': '中央空调噪音有点大，别的 还是可以的，离车站也近', '短评打分': 5}
{'短评内容': '住的是套房，厅超级宽敞，房间也很舒适。洗手间小了点', '短评打分': 5}
{'短评内容': '只住别吃，空调还不给力，这个价格过得去 字数够了吧', '短评打分': 5}
{'短评内容': '空调不给力，总体还可以，还算过得去的在潍坊，就是用餐服务太差了，不如改为全自助餐，客人自己给自己服务', '短评打分': 5}
{'短评内容': '酒店太烂了，浴室小的惊人，空调不制冷，床单脏，连吹风机都没有还敢要这么高的价钱。坑爹！破旧电器，再也不会住第二次！！！', '短评打分': 3}
{'短评内容': '大夏天空调是坏额很热很无语，网线也是坏的，很失望', '短评打分': 1}
{'短评内容': '好，干净，房间大', '短评打分': 3}
{'短评内容': '超值的酒店哦、环境非常好、很喜欢。是我旅游这么久最满意的酒店、物美价廉。', '短评打分': 5}
{'短评内容': '性价比很高的酒店', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '还可以 这个价位很值了  要求不高 总体好评', '短评打分': 5}
{'短评内容': '离车站最近 交通方便 服务还可以  总体 推荐吧', '短评打分': 5}
{'短评内容': '以前从来没想到火车站对面会有啥好酒店，但是入住了确实很不错的，以后也会入住的，早餐还是比较丰富的  水果很多', '短评打分': 5}
{'短评内容': '潍坊虽然没有青岛大，但是城市的建设都比较新，而且不是很拥挤，好多酒店都非常新，环境好、设备新、房间大，真的不错。', '短评打分': 5}
{'短评内容': '房间还不错，标准大床房卫生间有点小，其他挺好。', '短评打分': 5}
{'短评内容': '148元还带有早餐 环境也不错 超值享受 住了3天 很满意', '短评打分': 5}
{'短评内容': '环境还可以，价钱也好', '短评打分': 3}
{'短评内容': '第二次入住,感觉还是不错,上次的发票已经收到,谢谢!', '短评打分': 5}
{'短评内容': '很好 就在火车站对过  交通最方便 卫生也可以 主要是 火车站周围最大的酒店 比较旅馆放心', '短评打分': 5}
{'短评内容': '不错\u3000畅亮605房间够大，中央空调有点凉不下来风向定住的。不过还好够了，', '短评打分': 3}
{'短评内容': '新酒店，特别干净卫生，早餐很丰富，价格合理，服务态度良好，以后还会入住', '短评打分': 5}
{'短评内容': '此店硬件比较好，但空调不太好，酒店管理水平较差，房间每天不打扫，我泡茶的杯子放了三天还在哪儿，所谓自助烧烤餐每位48元有点高，只有一小块鸡翅和肉卷，就敢号称自助烧烤，若要零点上楼包间，最低消费80元，餐厅有位男服务生穿戴不整，大厅接待还行。整体管理水平低下，员工素责较低，有待改进，期待下次入住有改进！！', '短评打分': 5}
{'短评内容': '房间挺大 性价比较高 不过空调的制冷效果确实不敢恭维', '短评打分': 5}
{'短评内容': '交通便利，力火车站很近，酒店不错，房间大，自助餐不错也很实惠。', '短评打分': 5}
{'短评内容': '酒店各方面都很不错，离火站比较近，交通方便，环境也不错，值得推荐。\n', '短评打分': 5}
{'短评内容': '很好，卫生，房间很大；早餐也很好，品种很多。也很安静。', '短评打分': 5}
{'短评内容': '水太小', '短评打分': 3}
{'短评内容': '房间很大，装修很精致，很干净，位置很好，就在火车站对面，出站就能看到，很显眼，早餐不错，下次还会去住。', '短评打分': 5}
{'短评内容': '位置很好，环境不错，空调稍差，床很舒服。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，就在火车站对面。房间也可以，性价比高，以后潍坊就选这家酒店了！  返现也高喔！', '短评打分': 5}
{'短评内容': '就在火车站对面很近很方便,客房装修清新简洁,价格很实惠', '短评打分': 5}
{'短评内容': '卫生，干净，服务也不错。自助早餐品种也不少。唯有不足是，空调不给力、网络赛蜗牛、电视频道少。', '短评打分': 5}
{'短评内容': '住过几次，总体感觉还是不错，酒店比较新，有机会还会来的', '短评打分': 5}
{'短评内容': '交通方便，就在潍坊火车站广场对面，很好找。服务员态度挺亲切的，环境也还OK', '短评打分': 5}
{'短评内容': ' 酒店干净，床也很舒服。早餐也挺好的。缺点就是电视节目太少了。', '短评打分': 3}
{'短评内容': '地理环境一般，但距离火车站比较近，方便，房间新装潢过，性价比还是不错的，下次还是会去住的。', '短评打分': 5}
{'短评内容': '好,近地鉄,方便,周边吃的燒烤,地鉄方便,', '短评打分': 5}
{'短评内容': '不错，干净卫生', '短评打分': 3}
{'短评内容': '房间很大住的很舒服 服务态度也很好出行也很方便 比那些连锁酒店感觉还要好   唯一不是很爽的就是中央空调   不能痛痛快快的凉快一下', '短评打分': 5}
{'短评内容': '干净、宽敞、便宜、设施齐全，非常超值！下次还住这家。', '短评打分': 5}
{'短评内容': '酒店房间还得比较不错的，只是我住的房间很不满意，首先可能是因为网站中介预定的原因吧，给我留的简直是特价房，501，房间比正常的商务大床房小且房间有门通往隔壁办公室应该是套间改的，要求换房答曰换531，结果去了发现房间是标间所改的，床头都没有床柜放东西，要么是611，也是靠电梯且最主要的是房间有门通往隔壁的房间（与隔壁房间一门之隔），我不知道该酒店的商务大床房房间难道都是这些特价的有问题的房间还是给', '短评打分': 5}
{'短评内容': '挺不错的，物超所值！就是有蚊子，刚开始网络连不上，但是酒店服务反映很快。早点有点差强人意', '短评打分': 5}
{'短评内容': '酒店非常干净、舒适，价位也很合适，是一家非常不错的度假落脚点。此次的服务也非常不错，一切都很不错！', '短评打分': 5}
