{'短评内容': '服务态度很差', '短评打分': 2}
{'短评内容': '价格合理吧，房间很大，装修手工粗，装修风格不伦不类的，旁边好像也没有什么吃的东西，其他的也没有什么好说的le', '短评打分': 3}
{'短评内容': '这个房型不可以加床，可以带孩子，酒店位置还不错，环境还可以', '短评打分': 4}
{'短评内容': '房间内部设施老旧，卫生差', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，环境不错，服务不错，晚上有惊喜，白天有惊奇', '短评打分': 5}
{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '很好很干净，', '短评打分': 5}
{'短评内容': '真的很差，房间有异味', '短评打分': 1}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '还可以，价格低', '短评打分': 4}
{'短评内容': '三星水准挂着四星的牌子', '短评打分': 3}
{'短评内容': '徒有虚名，一般的酒店', '短评打分': 4}
{'短评内容': '徒有虚名，一般的酒店', '短评打分': 4}
{'短评内容': '周边环境很好，服务还好', '短评打分': 5}
{'短评内容': '位置好找，配套设施还算可以，价格有点稍贵', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错总体 床比较舒服 打扫房间欠缺些', '短评打分': 4}
{'短评内容': '服务有些一般 房间舒适度不错 卫生也还不错 设施基本满足', '短评打分': 4}
{'短评内容': '服务态度不太好，酒店环境也一般，除了网速，不值价', '短评打分': 3}
{'短评内容': '第一次体验京东连接酒店服务，感觉很好很舒服，价廉物美有档次，感谢京东，感谢酒店，还会光顾并推荐。', '短评打分': 5}
