{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '房间锁不上门，睡到半夜冻醒了，设备陈旧，卫生间不干净，不建议入住', '短评打分': 4}
{'短评内容': '早餐没东西吃，房间没啥设施，唯一值得称道的就是位置一流。', '短评打分': 4}
{'短评内容': '有停车场，还好', '短评打分': 5}
{'短评内容': '酒店位置好，交通很方便。', '短评打分': 5}
{'短评内容': '一般。。。', '短评打分': 3}
{'短评内容': '替朋友订的，据说还可以', '短评打分': 5}
{'短评内容': '小 还没空调', '短评打分': 4}
{'短评内容': '位置还不错，购物逛街很方便，有自己的院子比较安静，房间小，设施也比较旧了，应该是个老酒店，准四星标准不够，旺季价格偏高了', '短评打分': 4}
{'短评内容': '很失望的酒店，价格还高的离谱', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '淡季老板想节约成本，惆和做生意，', '短评打分': 3}
{'短评内容': '一般般！！！！！！！', '短评打分': 3}
{'短评内容': '不是很时尚，有点贵，住的那屋很古老，有点吓人…', '短评打分': 3}
{'短评内容': '挺干净的，人不多 不吵 有电梯', '短评打分': 3}
{'短评内容': '满洲里是个美丽的城市，夏季酒店爆满，若非如此，也不能在江南大酒店一住三天！公平地说，此酒店还是有几条优点的：\n1. 淋浴水大，温度合适；\n2. 电视虽老旧，但频道较多；\n3.电梯较快；\n4. 发票正规。\n不足之处很多：\n1. 室内设施陈旧，仿若回到80年代末；\n2. 每天不打电话不做清扫；卫生纸仅够半天用；\n3. 晚上十点后按门铃送第二天早餐券，提意见后的答复为：服务员太忙，以后还会如此，无奈！\n', '短评打分': 1}
{'短评内容': '非旅游季节来价格还可以，但到了8月，这宾馆价格有点贵，上个网还要加设备，麻烦，装修时间很久了，要是订不到房来这还可以，总之交通还行，但满洲里总共不大，谈不上交通', '短评打分': 5}
{'短评内容': '号称是四星级，但是里面的装修全都是老式，看不出是四星，标间面积很小，大床还算可以吧，总之是很老的宾馆', '短评打分': 5}
{'短评内容': '那里都没有空调的，晚上开窗睡觉还不觉得热，就是在四楼没有上网，要8楼以上才有奇怪，房间电源插头只有一个，用电视那么风扇就不能用，这是一大发明，节约用电，这是真正的执行者环保', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店很干净，非常的好，下次还会入住，现在是不是房价变动了啊', '短评打分': 5}
{'短评内容': '不错的选择，位置比较好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间比较小，没有提供浴帽', '短评打分': 3}
{'短评内容': '酒店位置很不错，在二道街上，环境很好，价格便宜，江南风格，细节做得比较好，入住还是比较舒服的', '短评打分': 5}
{'短评内容': '总体性价比比较高，房间比较暖和，位置也不错，就是房间比较小，冬季去很合适！', '短评打分': 5}
{'短评内容': '地理位置优越，离火车站，市中心都比较近，交通便利。卫生设施都还不错，性价比很高，推荐', '短评打分': 5}
{'短评内容': '酒店总的来说还是不错的，服务也挺好，唯一让人不满意的就是酒店的早餐，实在是一个不小的瑕疵，品种少，住了3天，前两天好歹还有个炒饭，到第三天连炒饭都没有了，只有稀饭！', '短评打分': 5}
{'短评内容': '服务很好，交通也很便利！！！下次有机会去还去那里住，挺不错的酒店！性价比很高。 \n', '短评打分': 5}
{'短评内容': '呵呵，还可以。', '短评打分': 3}
{'短评内容': '还行，挺干净的！不过前台人员的业务能力需要加强', '短评打分': 3}
{'短评内容': '说实话这样的价格有点高了，房间卫生很一般，还有上次客人的头发遗留在床上，每次电梯到三楼都会停下，有人“热情”地向你介绍免费的俄罗斯舞蹈，烦不胜烦，酒店介绍的有宽带，房间里却找不到网线插口，无线也没有，打去服务台，说是一会给回话，直到退房也是音讯皆无，停个车吧，保安让停后院，前台让停门口，都休息了又下来挪车位，早餐也很一般，如果你住惯了内地的酒店，可能会不习惯的，', '短评打分': 1}
{'短评内容': '设施完备，但是宽带不太好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很好比较满意！', '短评打分': 3}
{'短评内容': '服务很不错，交通也很便利！！！总去那里住，我也不知道该怎么说了，反正就是挺不错的！', '短评打分': 5}
{'短评内容': '这是一家四星级酒店，以98元的价格入住性价比还是很高的，而且环境和服务质量都很不错，不过这个价格只能在淡季也就是冬季才能够享受的到。', '短评打分': 5}
{'短评内容': '早餐太简单，15元1份套餐，不是自助。房间温度很好！', '短评打分': 5}
{'短评内容': '这个地方很不错 性价比很高 我觉得值得推荐!!有一点想请教下 晚上打电话问需要特殊服务吗?我没敢要,要过的指点下怎么收费的,有俄罗斯的吗???谢谢', '短评打分': 5}
{'短评内容': '\u3000\u3000这个酒店不错，地理位置好，服务也是一流的，无论外面多么寒冷，酒店内始终温暖如春．', '短评打分': 5}
{'短评内容': '我已入住江南大酒店,很满意.', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '＋', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '此酒店设施太旧，服务也很一般，性价比也一般，位置还可以，下次会试试其他酒店。', '短评打分': 1}
{'短评内容': '设施还可以，但蟑螂很多，我们共踩死4只。还要特别注意四人的小套房，里间虽有窗户但非法打开，夏天去会有点闷。', '短评打分': 1}
{'短评内容': '没有空调太差了！', '短评打分': 1}
{'短评内容': '设施旧了点，卫生间不干净，也就花了这价钱，将就了。', '短评打分': 1}
{'短评内容': '很不错的酒店。床铺舒服。也在市中心。楼下有茶吧可以消费。边上有桂林米粉可吃', '短评打分': 5}
{'短评内容': '唯一遗憾的是房间没有空调', '短评打分': 5}
{'短评内容': '酒店性价比超好！\r\n就是不幸，旁边住了一群南方人，敞着门把电视开到最大声，又男男女女地吵到半夜，像鸭子一样嘎嘎说个不停……BS!SB!\r\n当然，这个丝毫不影响对该酒店的好感。强烈推荐！', '短评打分': 3}
