{'短评内容': '方便公司旁边', '短评打分': 5}
{'短评内容': '离机场很近，环境也可以，比较安静！下次还来！', '短评打分': 5}
{'短评内容': '周边在拆迁，漫天灰尘，路边早餐吃吐，周边环境脏乱差，不过酒店内部很好，房间大', '短评打分': 4}
{'短评内容': '酒店着实不怎么样，不赞成去住。', '短评打分': 3}
{'短评内容': '对面在拆迁，而且临马路，晚上有些吵，其他还可以。', '短评打分': 4}
{'短评内容': '酒店服务很好，实施较陈旧，周边正在拆迁很乱。', '短评打分': 4}
{'短评内容': '挺旧的   周边简直破极了', '短评打分': 3}
{'短评内容': '舒服，推荐大家，酒店环境很好', '短评打分': 3}
{'短评内容': '不错 值得去入住。挺好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '在这个区域唯一能选的酒店，价位有些偏高，服务还算好。', '短评打分': 5}
{'短评内容': '还不错，这个价格也就这样了，有早餐，打车到南苑机场10分钟，有洗浴中心', '短评打分': 5}
{'短评内容': '服务员态度非常差，房间从入店实就没打扫，第三天找大堂经理后才打扫，结帐时像是在审犯人，服务员连自家的东西放哪都不知道，有哪些东西都不知道，早餐也很差，不推荐。', '短评打分': 1}
{'短评内容': '在这附近就这家好点，服务还行！配置还是是相对较新的。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很难找，房间偏小，设施一般，早餐太差，性价比不高。', '短评打分': 1}
{'短评内容': '酒店环境不错，这个价位挺值的。就是打地不太方便！', '短评打分': 3}
{'短评内容': '酒店地理位置好…靠近地铁站，服务很好', '短评打分': 3}
{'短评内容': '朋友入住的，感觉不错。为啥一定要打够20个字呢？郁闷、麻烦1', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说还不错，舒适，下次出差继续住', '短评打分': 5}
{'短评内容': '帮朋友预订的，他很满意，下一次继续住这里。', '短评打分': 5}
{'短评内容': '+离南苑机场近，只是被出租车司机绕了一大圈。对这个价格来说，房间还行。', '短评打分': 5}
{'短评内容': '总体挺不错的，服务也挺好，离店时手机电池丢酒店了，服务员费了好大劲给我找了出来，非常满意！', '短评打分': 5}
{'短评内容': '很不错 不过要是护肤品就更好的 ', '短评打分': 5}
{'短评内容': '一进门就感受到了服务员的热情，离店的时候还是一样的热情，很受感染。', '短评打分': 5}
{'短评内容': '提供免费早餐，味道不错，房间里有网络，基本还是满意的。', '短评打分': 5}
{'短评内容': '性价比不错的宾馆，饭店服务和设施都很好，就是周边环境太差。', '短评打分': 5}
{'短评内容': '还不错价钱贵点。', '短评打分': 5}
{'短评内容': '酒店的房间方面还是比较一般的,餐饮方面也很不好,吃的挺差的,而且地理位也比较偏,离市区比较远.', '短评打分': 3}
{'短评内容': '酒店的各方面服务都不错.位置倒是挺方便出行办事的.其它各方面也一般.没有特别之处.', '短评打分': 3}
{'短评内容': '服务很好,价格也很合适,其他方面都很满意.', '短评打分': 3}
{'短评内容': '位置偏，价格也高，服务很一般，不值得在推荐', '短评打分': 1}
