{'短评内容': '订的商务房c基本都是尾房，房间有点小，不过环境还可以', '短评打分': 5}
{'短评内容': '标准房住了两天，挺舒服的，如果没下暴雪就好了', '短评打分': 5}
{'短评内容': '就是每次星期六都要比平时贵，还不容易定到网上发布的便宜房', '短评打分': 4}
{'短评内容': '位置好，酒店干净', '短评打分': 5}
{'短评内容': '不错，挺好', '短评打分': 5}
{'短评内容': '连定两天，第一天因为房卡的问题，我反馈后前台美女很热情的帮我处理了，并且免费为我升级了房型体验，还叮嘱我有事及时反映，换到了315房间，空间更大了，方便孩子活动，窗帘很防风，空调在床头', '短评打分': 5}
{'短评内容': '我住的601房间，房间很干净，锦江之星经常在省外入住，头一次住省内的，服务卫生都很棒，只是这次的房间窗户是坏的，关不严的，插卡的地方不知老化还是怎么了，一晚断电四次，虽服务员说脏了擦拭就可以，可是还是没有什么效果。水温不错，恒定，带孩子洗浴很方便，一楼自助餐18元/位，餐品很单一，但是家常口味，清晨吃的落个放心。', '短评打分': 5}
{'短评内容': '感觉很不错，挺好的', '短评打分': 5}
{'短评内容': '感觉很不错，挺好的', '短评打分': 5}
{'短评内容': '没有停车场，门口停车要收费的', '短评打分': 5}
{'短评内容': '还是原来的感觉，挺好', '短评打分': 5}
{'短评内容': '京东上面定的便宜，价格实惠，。下次还会预定。', '短评打分': 5}
{'短评内容': '第二次住了  环境很好  很干净', '短评打分': 5}
{'短评内容': '房间小，但还是很干净，值得入住。下次还会住。', '短评打分': 5}
{'短评内容': '很好很不错，在京东上提前预定价格要便宜的很多，咱一下京东！', '短评打分': 5}
{'短评内容': '很好，跟描述的一样棒，关键是在京东预定的价格很便宜，大赞京东！', '短评打分': 5}
{'短评内容': '安静，环境好，下次继续。网速快。离博物院超近。', '短评打分': 5}
{'短评内容': '很好很好，不错不错，建议', '短评打分': 5}
{'短评内容': '不错，感觉挺好的', '短评打分': 5}
{'短评内容': '酒店干净整洁。', '短评打分': 4}
{'短评内容': '酒店干净整洁。', '短评打分': 4}
{'短评内容': '干净，位置不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好，挺好的，周边还有吃的', '短评打分': 5}
{'短评内容': '还不错。离360很近。', '短评打分': 5}
{'短评内容': '非常好，再续住一天。', '短评打分': 5}
{'短评内容': '价格实惠，较低的价位，但房间宽敞，设施齐全，不临闹市大街道，安静。', '短评打分': 5}
{'短评内容': '感觉很不错，续住一天。', '短评打分': 5}
{'短评内容': '锦江之星是最好的快捷酒店。该酒店管理正规，房间设计温馨，实用，干净。卫生打扫得很干净。唯一不足是郑州的雾霾，和环境，但这和酒店无关。', '短评打分': 5}
{'短评内容': '装修非常新，房间大，地点好', '短评打分': 5}
{'短评内容': '环境不错，卫生干净，下次还来，顶！', '短评打分': 3}
