{'短评内容': '好，周边安静', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '太旧了，洗手间排气声很大，地毯太脏。该装修了，要不然这四星怎么评的', '短评打分': 2}
{'短评内容': '酒店太旧，老四星，非常普通', '短评打分': 3}
{'短评内容': '酒店不错。五星级酒店这么便宜还很少见。酒店位于轻纺城主要大道上交通方便。 下次来柯桥还会选择住这家酒店', '短评打分': 5}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店有些老了没有前几年好了，不过价格也不怎么贵', '短评打分': 5}
{'短评内容': '性价比还不错。。。。。', '短评打分': 4}
{'短评内容': '酒店维护的不好', '短评打分': 4}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '周边商圈还挺好，都齐全。房间里的设备和整洁度也不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店早餐很不错。也安静', '短评打分': 5}
{'短评内容': '环境很好，房间也很大，这个钱值了。', '短评打分': 5}
{'短评内容': '只能说中规中矩吧，开元一贯的作风。酒店下面几层是开元曼居的房间，不知道又啥差别。。。早餐还是可以的，小馄饨很不错！', '短评打分': 5}
{'短评内容': '只能说中规中矩吧，开元一贯的作风。酒店下面几层是开元曼居的房间，不知道又啥差别。。。早餐还是可以的，小馄饨很不错！', '短评打分': 5}
{'短评内容': '只能说中规中矩吧，开元一贯的作风。酒店下面几层是开元曼居的房间，不知道又啥差别。。。早餐还是可以的，小馄饨很不错！', '短评打分': 5}
{'短评内容': '还不鍣', '短评打分': 4}
{'短评内容': '酒店毛巾类质量太差，没有淋浴房，装修质量差，多处有裂开，早餐还算能过的去', '短评打分': 5}
{'短评内容': '价格便宜，环境也很好，就是早餐东西太少了，那次刚好碰到有团队，都没东西吃，而且餐厅吃的一塌糊涂', '短评打分': 5}
{'短评内容': '早餐比较简单。服务不错。周边都是商务楼，周围吃饭的地方不多。', '短评打分': 5}
{'短评内容': '酒店的硬件设施不错，停车方便，本来以为只有上面的停车库，开到地下停车库才发现更大；前台员工帮我推荐的“无停留退房”项目，在退房时才发现的确非常便捷，因为这家酒店外宾很多，在看着他们一个个办理退房手续时，我们给了房卡就可以走，节省了很多时间。还有客房的阿姨态度也很好，让他们帮我拿一个IPHONE的充电器和一个诺基亚小头的充电器，很快就拿到了，看到我们带着孩子，还帮我们拿来了儿童的用品，真的是很周到，', '短评打分': 5}
{'短评内容': '酒店很舒服', '短评打分': 3}
{'短评内容': '离客户公司很近，同事去了很满意。好像还给同事送了几张贵宾卡，服务不错', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高；就是办理手续比较慢。', '短评打分': 5}
{'短评内容': '酒店住着很舒服，外宾很多，房间不是很大，但够住', '短评打分': 5}
{'短评内容': '第二次住了，距离我办事的地方很近，而且性价比比较高，所以就选它了。', '短评打分': 5}
{'短评内容': '早饭蛮差的。环境也不行。我和客人住了两晚。反应不是太好。', '短评打分': 1}
{'短评内容': '在柯桥附近。离市场比较近。一般般达到4星吧。', '短评打分': 1}
{'短评内容': '本来慕名而来，没想到如此差。主要是餐饮服务极差，明明有空桌偏说没有了，然后又说没有椅子。一个号称星级酒店的餐厅竟然没有椅子，真是荒唐，就是不想让你吃饭。当晚好几批客人都是如此遭遇。疼出精力优先服务包间里的当地权贵，什么政协、什么工行。态度垃圾', '短评打分': 1}
{'短评内容': '很干净，很舒服，不错。在绍兴县，距绍兴市区还有10多公里，但开车还比较好走。', '短评打分': 5}
{'短评内容': '很有味道很舒适的一家酒店，环境优雅，房间明朗，天井设计很有高档酒店味道，早餐也丰富，不错', '短评打分': 5}
{'短评内容': '在柯桥算是不错的酒店了，交通方便，设施齐备，值得推荐哦。', '短评打分': 5}
{'短评内容': '感觉比绍兴开元温馨，就是交通不是很方便。但是价格特实惠', '短评打分': 5}
{'短评内容': '总体很好，价格尤其便宜。\n柯桥的五星级不多，这家算是很不错的了。', '短评打分': 5}
{'短评内容': '客户还算满意。', '短评打分': 3}
{'短评内容': '4星酒店，房间比较大，服务不错，交通不方便，早餐不错！', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务非常好！值得推荐！早餐还算丰富！', '短评打分': 5}
{'短评内容': '酒店的设施、卫生和服务是没得说的，性价比很高，就是距离市区远', '短评打分': 5}
{'短评内容': '酒店位于绍兴柯桥轻纺城，离柯岩景区近，到市区有10多公里的路程！环境还不错，至少国庆期间没有乱涨价！', '短评打分': 5}
{'短评内容': '5星的服务肯定不错的，就是房间的客厅不够大啊，还是房间比较大。。但是房间内的卫生间和客厅差不多大。。。', '短评打分': 5}
{'短评内容': '整体感觉都还不错，早餐很丰富，服务也好,就是价格稍微高了一点点', '短评打分': 5}
{'短评内容': '房间很大 有送餐服务 服务员也很热情 晚上还送水果 感觉挺好的 也不吵闹 很安静', '短评打分': 5}
{'短评内容': '酒店环境干净，房间也可以，就是接待处太小了，要排队等很长时间！希望这方面能够改善！总体来说酒店各方面还不错！下次还会入住！', '短评打分': 5}
{'短评内容': '一如既往地好！\n很安静 很舒服！\n唯一遗憾的是，入住客人多的话；CHECK IN 要等好多时间哦\n价格能再优惠一些 就更好了！\n', '短评打分': 5}
{'短评内容': '不错的酒店，是去绍兴商务出差时入住的首选酒店。环境，服务和设施都还不错，就是早餐时段人太多了，经常要排队等很长时间', '短评打分': 5}
{'短评内容': '酒店还可以,                                                                                               就是当天安排的房间离空调外机箱很近,很吵,没休息好', '短评打分': 5}
{'短评内容': '非常干净\n礼宾部的服务服务非常好\n餐厅的味道也很不错，尤其是生煎包\n', '短评打分': 5}
{'短评内容': '很不错！是绍兴我最喜欢的一家酒店！环境很好，服务也好！', '短评打分': 5}
{'短评内容': '来柯桥很多次了，都是公司帮订五星级的房间，这次是自己订在开元的，整体感觉很好，商务氛围比其他酒店都要浓，外宾也尤其多。他们大堂很漂亮，鲜花是用的蝴蝶兰和红掌什么的，早餐厅（也用晚餐），环境非常好，我是坐在边上位子的，居高临下可以看到大堂，视野很好，早餐的品种比较多，馄饨面口味很赞。\n客房区域是有中厅的，我住的楼层比较高，晚上打开灯非常漂亮，跟一部香港电影《我爱香港》场景很像，他们也可以效仿电影里，', '短评打分': 5}
{'短评内容': '性价比高，服务好，馄饨面不错，就是有点贵', '短评打分': 3}
{'短评内容': '音乐好听，环境很好，住得很开心。不足：前台动作太慢，等待时间较久', '短评打分': 5}
{'短评内容': '四星的开元还行，就是早餐是否能再稍晚点收市，（10：00虽说已蛮晚了，但10:00一到就叮叮当当收拾了，对于十点还在吃早餐的客人来说就像是赶你快点走似地，有点不爽）', '短评打分': 5}
{'短评内容': ' 交通便利，房间也干净整齐。帮客人订了好多次了。', '短评打分': 5}
{'短评内容': '希望酒店准备点现金 客户要求换500美金都没办法换\n\n', '短评打分': 5}
{'短评内容': '希望酒店准备点现金 客户要求换500美金都没办法换 ', '短评打分': 5}
{'短评内容': '为客户订的房，比较满意，环境舒适，交通方便，服务态度好。下次还会来订', '短评打分': 5}
{'短评内容': '4星级的酒店。居然没有重要的几个国际电视台。还有湖南卫视，很难理解。吃饭什么都不方便。就是睡觉行', '短评打分': 1}
{'短评内容': '酒店办理入住太慢 前台只有一个人办理 给我门卡都打不开 ', '短评打分': 5}
{'短评内容': '不错的酒店 服务 硬件 还有地理位置都不错 ', '短评打分': 5}
{'短评内容': '房间地毯稍显不干净 浴室里有些地方也有不干净  总体来说是值得的 早餐也是可以的 \n这个价格值得入住！！', '短评打分': 5}
{'短评内容': '酒店环境很好，自助早餐也很丰富，房间也很好真的很舒适', '短评打分': 5}
{'短评内容': '不错的酒店，去绍兴出差的首选酒店，不过预定的价格有点小涨，要是能再优惠些就更好了', '短评打分': 5}
{'短评内容': '房间装修，设施都很好，早餐也很不错。出门打的也比较方便。就是中东人很多', '短评打分': 5}
{'短评内容': '酒店前台服务很好，非常主动、友好地提供帮助', '短评打分': 5}
{'短评内容': '酒店非常好', '短评打分': 3}
{'短评内容': '酒店很不错', '短评打分': 3}
{'短评内容': '三年了每次到柯桥都住这里， 但这一次看酒店的维护变差了， 毛巾等看起来也不那么干净了。', '短评打分': 1}
{'短评内容': '不错的酒店，推荐不错的酒店，推荐不错的酒店，推荐', '短评打分': 5}
{'短评内容': '不错，房间设施很新，比较超值', '短评打分': 3}
{'短评内容': '房间很干净，设施比较齐全。不足的地方有两，一是早餐品种较少，补充很慢，不少晚来客户基本没啥可吃，牛奶等都是凉的；二是check in和check out 太慢了。', '短评打分': 5}
{'短评内容': '住宿硬件好，设施新，餐饮接待能力严重不足，早餐几乎没有吃的东西，连座位都没有。', '短评打分': 3}
{'短评内容': '8点到餐厅一片乱糟糟，几乎没有东西可吃，10个人排队等着煎个荷包蛋，酒店工作人员一片茫然，不知道怎么解决，本来以为开元的管理还可以，这样的酒店算了吧，差的不是一点点，', '短评打分': 1}
{'短评内容': '我是年初三晚上入住的，初四早餐次序混乱，好像没有能力接待这么多客人的早点，酒店的管理有问题，中国人的素质更有问题。酒店的整体设施和服务员都不错，考虑到春节期间可能房客过多，我还是给一个好评。下次我会继续光顾。', '短评打分': 5}
{'短评内容': '总体来说还是不错的，值得推荐', '短评打分': 3}
{'短评内容': '酒店很不错,房间环境也很新且舒适。', '短评打分': 3}
{'短评内容': '实恵', '短评打分': 3}
{'短评内容': '早餐很不错，品种很多的，下次来一定在选择这个酒店', '短评打分': 5}
{'短评内容': '刚住到酒店下大雪了，位置不错，跟刚开业的万达广场很近', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置，设施各方面都不错，是商务去绍兴入住的首选', '短评打分': 5}
{'短评内容': '以前也住过，还可以，老外很多，美女很多，帅哥很多。。。。。。', '短评打分': 5}
{'短评内容': '本酒店感觉还是很不错的，里面有很温馨的感觉，东西也是比较新的，服务也不错，', '短评打分': 5}
{'短评内容': '第二次入住这里，房间被安排在离厨房比较近，有点吵。总体还是不错。', '短评打分': 3}
{'短评内容': '各方面都很好，特满意，价格也很合理，地理位置也很好，早餐也很好', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高，房间宽敞，设施齐全，交通便利。', '短评打分': 5}
{'短评内容': '前台處理速度較慢不管是 check in 或 check out，洗手台熱水水流太小', '短评打分': 5}
{'短评内容': '酒店设计很漂亮，屋内设施也比较舒适。唯一不足的是淋浴的下水稍微慢了点，结账时给前台提了建议，他们也很耐心的接受了，希望尽快改进。', '短评打分': 5}
{'短评内容': '交通方便，周边配套逐渐完善，客房环境不错，值得推荐', '短评打分': 5}
{'短评内容': '1地点不错，很好找吃的也不错，就是卫生间有头发，希望改进', '短评打分': 5}
{'短评内容': '各方面还是比较可以的，房间环境不错。就是价格上有点贵，绍兴毕竟是小城市，四星的酒店跟5星的价位一样。总得来说还是很值得推荐。', '短评打分': 5}
{'短评内容': '很不错的酒店,总台服务员热情,以后出差到绍兴就是它了。', '短评打分': 5}
{'短评内容': '酒店各方面都不错。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '很不错，性价比高', '短评打分': 5}
{'短评内容': '经常住这个酒店有4年了，总台收银仍是多年如一日的慢啊！每次反映都是说没有人手，培训需要3个月，但是想不通几年下来怎么仍然没有人呢？严重影响酒店形象！！！', '短评打分': 5}
{'短评内容': '很干净，设施也不错。已经是第二次入住了。', '短评打分': 5}
{'短评内容': 'hao dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd', '短评打分': 5}
{'短评内容': '酒店位置很好，靠近贸易区，晚上很安静', '短评打分': 5}
{'短评内容': '很别致的花园', '短评打分': 5}
{'短评内容': '不错。性价比很高的一个酒店。也很舒服。 \r\n', '短评打分': 5}
{'短评内容': '缺少烫衣服的服务！', '短评打分': 5}
{'短评内容': '干净、舒适，值得住', '短评打分': 5}
{'短评内容': '我是上个月到绍兴去玩入住的。酒店很干净，房间比较大，早餐不错。服务人员也很热情。到风景区很方便，上高速也很容易的。就是地面停车场有点小，要到下面。值得入住。', '短评打分': 5}
{'短评内容': '早餐品种和数量太少，遇到旅游团就跟不上速度，没东西了。另外，地方位置较偏', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店设施不错，适合商旅人士。\r\n', '短评打分': 5}
{'短评内容': '房间干净，酒店有特色。', '短评打分': 5}
{'短评内容': '住过很多家开元，但是这家卫生是做得最差的一家，虽然服务态度还可以，但是服务还是不太用心的，在浴缸及床上、被单上，接连发现五六根头发，按了服务铃后，很快来换了一套，但是在换的同时，发现床垫上一大片遗留的头发，服务人员在我的提醒下捡掉了两根，还有几根，还是在提醒下解决的，做为一家知名的连锁酒店，实在很不应该。需要浴盐时，服务人员是怕浪费似的，询问我们要多少，她就倒多少，倒完就拿走了，从来没见过的服务，', '短评打分': 1}
{'短评内容': '这个酒店，唯一我不喜欢的只有他的早餐，别的都很喜欢。常客了，早餐一年没有变化。。。', '短评打分': 5}
{'短评内容': '很值得推荐的一个酒店，环境安静是我推荐的理由之一，其二是房间的床位，超大超舒服！', '短评打分': 5}
{'短评内容': '开元酒店连锁做的真的不错，酒店设施很好，很舒适，早餐也不错，是住过的最满意的酒店之一', '短评打分': 5}
{'短评内容': '还不错的一家酒店.由于是新建的,所以一切还比较新,适合爱干净和喜欢幽静环境的商务人士.', '短评打分': 5}
{'短评内容': '很适合商务人士', '短评打分': 5}
{'短评内容': '不错的酒店，服务员很热情，硬件设施也属上流，会做推荐！', '短评打分': 5}
{'短评内容': '酒店非常不错，装修也很有个性。我喜欢！', '短评打分': 5}
{'短评内容': '很不错的酒店  性价比较高   不过就是位置在柯桥 属于工业区了  到绍兴鲁迅故居旅游点比较远', '短评打分': 5}
{'短评内容': '在柯桥算不错的酒店,而且性价比很高,酒店设施也不错,下次到柯桥办事,还会住这里.', '短评打分': 5}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '酒店的住后感觉非常不错，条件和服务都很满意，非常值得推荐', '短评打分': 5}
{'短评内容': '酒店的住后感觉非常不错，条件和服务都很满意，非常值得推荐', '短评打分': 5}
{'短评内容': '去年来过一次这家酒店,那时刚开业没多久,时隔一年再来,感觉成熟了好多,主要在服务更上了一个层次,刚下出租礼宾部的小伙子就热情的过来了,因为有入住过,到前台只报了确认号,房卡都已经准备好了,只需刷卡签字确认就OK了,住酒店不就是希望有被重视的感觉吗?真的很不错!!!这次安排的房间在10F,床超大的,太赞了!早餐也好丰盛，各种各样的餐点让人好有食欲，真的物超所值！怪不得流行那么一句话，只要开元管理的酒', '短评打分': 5}
{'短评内容': '酒店挺好的,没什么意见,已经推荐朋友入住了.', '短评打分': 5}
{'短评内容': '酒店的挺舒适的，性价比可以，值得推荐', '短评打分': 5}
{'短评内容': '经常出差，住本酒店两，三次了感觉都还不错', '短评打分': 5}
{'短评内容': '价格合理,设施不错,早餐很不错.', '短评打分': 5}
{'短评内容': '原以为这个酒店就在绍兴，结果到了才知道，不在绍兴市内，在柯桥，属于绍兴县。所以去绍兴的景点玩就不是很方便了，每次都打车去，感觉还蛮远的。\r\n除了酒店位置之外，酒店的其他设施的都非常好。还有酒店的订餐服务很周到，价格也是在同类酒店中算很便宜的。床非常舒适，而且房间隔音效果很好，晚上睡觉很安静', '短评打分': 5}
{'短评内容': '酒店设施齐备,服务认真亲切, 休息间舒适, 地理位置好, 价格适中.', '短评打分': 5}
{'短评内容': '服务观念比较低下', '短评打分': 1}
{'短评内容': '很不错的酒店,物有所值', '短评打分': 3}
{'短评内容': '好的服务，好的价格，', '短评打分': 5}
