{'descr': '非常非常好 干净卫生 空间大 很有家的感觉 什么都有 冰箱彩电洗衣机 空调 热水器 微波炉 吸油烟机 沙发 哇简直很超值哦', 'star': 5}
{'descr': '这个酒店确实不错，房间都是新的比较干净整洁。值得入住。\n另外该酒店前台比较漂亮，服务态度比较好。\n而且地理位置较好，适合旅游出差入住。\n性价比比较高，房间面积较大。\n推荐选择该酒店。', 'star': 5}
{'descr': ' 房间挺不错的，干净大方，设施也不错，所在小区高档。但抽屉里没打扫干净，且有房间窗户关不上', 'star': 3}
{'descr': '非常好 性价比很高 干净 安静 服务态度好', 'star': 5}
{'descr': '非常好 性价比很高 干净 安静 服务态度好', 'star': 5}
{'descr': '位置不错，环境不错。性价比高。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，环境不错。性价比高。。。。。。。。。。', 'star': 5}
{'descr': '环境不错，但是临时告知要换一个房间，太差了！！', 'star': 1}
{'descr': '环境不错，但是临时告知要换一个房间，太差了！！', 'star': 1}
{'descr': '房间很好～老板很热情', 'star': 3}
{'descr': '房间很好～老板很热情', 'star': 3}
{'descr': ' 装修很新，设备其全。还不错。', 'star': 3}
{'descr': ' 装修很新，设备其全。还不错。', 'star': 3}
{'descr': '老板的态度真是没得说了，像家人一样的感觉。像回到了家里一样，设施齐全，连做饭的很没问题。下次来，还会选择这里。', 'star': 5}
{'descr': '老板的态度真是没得说了，像家人一样的感觉。像回到了家里一样，设施齐全，连做饭的很没问题。下次来，还会选择这里。', 'star': 5}
{'descr': '非常不错的一个酒店，订的是尊贵海景房，房间挺大，设施齐全，卫生干净，服务态度好，前台是一位非常漂亮的仙女。强烈推荐，边看海景边看仙女，是一种不错的邂逅。早上在海景房看日出太美了，情人节可以看烟火，强烈推荐。', 'star': 5}
{'descr': '非常不错的一个酒店，订的是尊贵海景房，房间挺大，设施齐全，卫生干净，服务态度好，前台是一位非常漂亮的仙女。强烈推荐，边看海景边看仙女，是一种不错的邂逅。早上在海景房看日出太美了，情人节可以看烟火，强烈推荐。', 'star': 5}
{'descr': '位置不错，房间很大，旁边有肯德基和麦当劳', 'star': 5}
{'descr': '位置不错，房间很大，旁边有肯德基和麦当劳', 'star': 5}
{'descr': '软景E居精装的小户型，设施齐全，安静整洁，温馨舒适，网速不错，交通便捷，服务周到，性价比很高。\n就是初次入住，不太容易找到地方。。。', 'star': 5}
{'descr': '软景E居精装的小户型，设施齐全，安静整洁，温馨舒适，网速不错，交通便捷，服务周到，性价比很高。\n就是初次入住，不太容易找到地方。。。', 'star': 5}
