{'短评内容': '可以 挺好的 ', '短评打分': 5}
{'短评内容': '还不错，可以去试试，离金石滩很近走去就行', '短评打分': 5}
{'短评内容': '很不错的酒店哦', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '很好，很喜欢。', '短评打分': 5}
{'短评内容': '位于市中心繁华地段，逛街、吃饭、娱乐都很方便，强力推荐！房间大、出行方便，设施有点陈旧    性价比高，不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间很大，有沙发 微波炉，楼下就是商场，公交站很方便，地铁站也离得很近，适合几个人一起居住，也很实惠。', '短评打分': 5}
{'短评内容': '位置很好 ', '短评打分': 5}
{'短评内容': '朋友过来玩，不方便住家里，特意定了家公寓，朋友特别满意，很不错，房间挺温馨的，而且可以做饭，朋友挺满意，我也觉得有面子', '短评打分': 5}
{'短评内容': '不好找，环境还不错，房间够大比较满意', '短评打分': 3}
{'短评内容': '미리 예약을 하고 갔는데 단속이 있어서 예약을 취소해야하는 상황이 당일날 발생해서 당황스러웠습니다.씨트립에서 적절산 보상을 해주어 그래도 만족합니다', '短评打分': 4}
{'短评内容': '한국인이 묵기에는 한인촌과 거리도 있으나(약 20-30분 정도) ㅊ순수 출장 목적으로는 위치 좋습니다. 시설은 낡았으나 가격대비 나쁘지는 않습니다.', '短评打分': 3}
{'短评内容': '之前体验过他们家在万达广场的房间，由于感觉交通不太方便，所以这次换到了星海广场这里。酒店前台在21层，房间给我安排在了45层，但是需要坐电梯下到1层，再换另一部电梯上楼，这个不太方便。进了房间，首先参观了一下，让我感到惊艳的是，除了常规的房间之外，还有另外一个房间，里面放了一张榻榻米，这也就是说可以当两个客房使用了，当时就有一种想把多出来的房间转租出去的冲动，当然，这也就是想想而已啦。房间够大，设', '短评打分': 5}
{'短评内容': '很好很喜欢位置特别好适合旅游出行', '短评打分': 5}
{'短评内容': '环境很好，老板很好', '短评打分': 5}
{'短评内容': '环境很好，房间宽敞明亮。设施齐全。很满意。', '短评打分': 5}
{'短评内容': '还算不错吧，就是觉得拿了钥匙以后要是自己配一个以后是不是可以直接进门了&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;隐患哦', '短评打分': 5}
{'短评内容': '没人清理卫生，地理位置可以，吃饭、购物方便：附近有商场、超市、小商店，还有很多吃饭的地方，比起一些景点附近的酒店，着实方便的太多了；\n', '短评打分': 1}
{'短评内容': '1、地理位置好，交通方便：酒店位于和平广场，有多辆公交车、有轨电车等，离星海广场2站路，步行就可以到了；\n2、吃饭、购物方便：附近有商场、超市、小商店，还有很多吃饭的地方，比起一些景点附近的酒店，着实方便的太多了；\n3、房间：房间很干净，每天都会打扫，有洗衣机实在是太方便了，大连的空气湿度大，不用洗衣机甩干的话，衣服总是潮潮的。缺点：卫生间的洗浴池水龙头是坏的，一直没给修，几天都是在厨房的水龙头洗', '短评打分': 5}
{'短评内容': '1、地理位置好，交通方便：酒店位于和平广场，有多辆公交车、有轨电车等，离星海广场2站路，步行就可以到了；\n2、吃饭、购物方便：附近有商场、超市、小商店，还有很多吃饭的地方，比起一些景点附近的酒店，着实方便的太多了；\n3、房间：房间很干净，每天都会打扫，有洗衣机实在是太方便了，大连的空气湿度大，不用洗衣机甩干的话，衣服总是潮潮的。缺点：卫生间的洗浴池水龙头是坏的，一直没给修，几天都是在厨房的水龙头洗', '短评打分': 5}
{'短评内容': '不错比想象中好多了。虽然是酒店式公寓，个人感觉比酒店舒服。房间装修也很漂亮。价格也很实惠，地理位置更是没有的说，去星海广场。海边、各个景点都很方便，卫生很干净，出行就怕床单不是洗过的，这家一看就是消毒洗过的，很满意。老板很是热情的介绍大连的情况，还说怎样不会被宰，很是温馨。在此谢谢了。出门旅游我觉得首选这个地方，大家可以参考一下。', '短评打分': 5}
