{'短评内容': '还好吧………………还好吧………………还好吧………………还好吧………………还好吧………………还好吧………………', '短评打分': 5}
{'短评内容': '还不错。网上定的。房子比较小', '短评打分': 4}
{'短评内容': '一般，主要是便宜', '短评打分': 3}
{'短评内容': '十一期间的酒店，算是比较便宜，设施陈旧，味道很大，是不是该重新装修了啊。周边吃的很多，公交车去景点也很方便，很快就到了。', '短评打分': 4}
{'短评内容': '房间味道太重', '短评打分': 3}
{'短评内容': '怎么评价最低是一星呢？这么杀马特的店怎么没有零克颗星呢？提前十多天订德的，来了之后以国庆涨价为由要求补差价，请问你十多天早干嘛了？提前打个省内电话告诉一声会死马吗？如果说本来九就不同意这个价格为什么还要接单呢？再说，我订的时候本来就是涨过一次价的价格，你二次三次涨价我还得给你补差价？你说不能接受你也没办法，我请问您自己遇到这种逼事儿能接受吗？国庆是去度假，提着一堆东西重新找酒店去？亲，就事论事，我', '短评打分': 1}
{'短评内容': '被加收50每间房！太黑了！', '短评打分': 2}
{'短评内容': '不错  不可以去试试      建议好评', '短评打分': 3}
{'短评内容': '比较坑。。慎重考虑', '短评打分': 4}
{'短评内容': '酒店前台接待真好，人热情。赞??', '短评打分': 4}
{'短评内容': '不是很好', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太小，味道难闻，楼道太窄，也不知道消防怎么就能通过？', '短评打分': 1}
{'短评内容': '我住的是金莎特色水床房，垃圾的一塌糊涂：首先房间是用木板隔开的，空间特别小，保温效果差，隔音效果也特别差；房间屋顶居然漏水，灯光也特别差~屋子里还有一股味道~简直没办法住~', '短评打分': 1}
{'短评内容': '酒店和小狗窝一样，勉强入住，价格昂贵，太小了面积2米*2.5米，旁边有小卫生间，服务态度还可以。这辈子不会再到青岛，太糟糕了。', '短评打分': 1}
{'短评内容': ' 麻雀虽小，五脏具全，挺好', '短评打分': 3}
{'短评内容': '还不错！不过手巾还需要费用，有点不舒服！', '短评打分': 5}
{'短评内容': '房间还是很不错的嘛\n地理位置也好购物逛街都很方便\n服务也很好很到位\n价格也很实惠\n通体来说性价比很高\n下次来还是会去住的 ', '短评打分': 5}
{'短评内容': '还好吧，就是位置有点难找。这个价位还是很可以的。然后房间还可以，服务一般吧。总体还行的说。这个价位的来说还是不错的吧呵呵。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠非常好的酒店，经济实惠', '短评打分': 5}
{'短评内容': '地理位置好.交通便利.有停车场.房间设施齐全，干净卫生，服务态度特别好，房间里放的都是质量很好，很卫生安全的洗漱用品 而且还很便宜，如果有不想用收费的，酒店还有免费的，为客人想的很周到，我是开车到酒店的，晚上还有服务人员看车，我车窗忘记关，还会及时告诉我。很不错的酒店，下次去青岛还会到这家酒店！', '短评打分': 5}
{'短评内容': '还是可以的，卫生挺干净，服务业还比较热情！', '短评打分': 5}
{'短评内容': '279/天的房间  说是3星  不知谁评的   房间只有1.5宽 3米长   适合情侣做爱  \n\n当时介绍的是商务大床  差距甚大', '短评打分': 1}
{'短评内容': '服务态度很好。被子枕头总感觉脏脏的似的，一间房的电视还磁化了 色彩都不对了。刚住进去还在装修 脏乱吵哦！还好晚上回去已经收拾好了。空调有问题反应之后及时给修理了.......一般般吧！这价位 和提供的设备 不太衬哦！', '短评打分': 1}
{'短评内容': '房间太差,只住一天,计划换酒店。', '短评打分': 3}
{'短评内容': '酒店装饰的倒是还行,就是房间超小,是我祝过这么多回看见的最小房间,洗澡都转不开身啊,价格也比较贵', '短评打分': 3}
{'短评内容': '房子太差潮湿阴暗电插不好用电视不好调本想住3天无奈次日7H30退房换到同等价格的4星酒店', '短评打分': 3}
{'短评内容': '位置比较偏，离台东步行街也得走上20分钟吧，榻榻米特价房在顶楼，房间内的牙刷、牙膏、洗发水都是要收费的，这样的所谓特价还要128元，有点被骗的感觉~', '短评打分': 1}
{'短评内容': '酒店卫生一般 洗刷用具都得自己买 没有早餐 电器噪音很大 不过热水很好', '短评打分': 1}
{'短评内容': '条件一般，设施比较旧，省钱的话，住这儿还可以', '短评打分': 5}
{'短评内容': '交通方便，酒店设施一般，房间不是很好，但是服务员很热情周到。', '短评打分': 3}
{'短评内容': '卫生还可以，就是装修稍微差了点，再就是免费洗浴用品还要去前台要，这一点不好。', '短评打分': 5}
{'短评内容': '前台接待服务极好，酒店近期正在装修，，美中不足。。。。。', '短评打分': 5}
{'短评内容': 'jiba酒店  真差   服务态度还讲究这  低价位的酒店直接是不能住昂', '短评打分': 1}
{'短评内容': '酒店很一般 连一次性拖鞋都没有 网络超级慢 卫生也比较差，\n与我在中山住的金莎相差十万八千里', '短评打分': 1}
{'短评内容': '还可以\u3000除了没有窗户其他都可以', '短评打分': 3}
{'短评内容': '环境还可以，入住后感觉一般，比较难找', '短评打分': 3}
{'短评内容': '交通方便 性价比高 在青岛这种高消费的城市找到这样的酒店很不容易', '短评打分': 5}
{'短评内容': '老旧发霉不说，几乎所有用品都要花钱。牙刷、牙膏、沐浴露，全是收费的、就连毛巾都是2块钱一包！', '短评打分': 1}
{'短评内容': '酒店房间很旧，窗户漏风，空调也很老，制热不行，与网上的照片相差深远！', '短评打分': 1}
{'短评内容': '   这个网速确实太不给利！！ ', '短评打分': 3}
{'短评内容': '性价比高，淡季的时候应该可以住，房间一般般，卫生一般般', '短评打分': 5}
{'短评内容': '交通方便，离商业区比较近。卫生环境也不错，唯一遗憾的是标准间的牙膏梳子什么的居然都是收费使用的', '短评打分': 5}
{'短评内容': '地点不错，交通方便，到达火车站门前就有两趟车，旁边吃饭也方便。值得推荐', '短评打分': 5}
{'短评内容': '环境不错，交通方便，离商业区比较近。卫生环境也不错，唯一遗憾的是标准间的牙膏梳子什么的居然都是收费使用的。。。', '短评打分': 5}
{'短评内容': '这个酒店真的是太不给力了，在这个冰冷的冬季，住在一个比室外还冷的地方，估计空调是10年之前的吧，冬天也就是青岛的旅游淡季了吧，别的酒店这个价位也不至于差成这样吧，那个窗帘唉。。十年前的破抹布吧。。。实在是不给力啊。。不给力。。。。', '短评打分': 1}
{'短评内容': '酒店地处繁华地段，服务基本到位，就是房间不设免费的洗涮用具，全部是有偿提供，客人有不适的感觉，建议以后免费提供基本用品，基本用品以外可有偿提供，这样会好些。', '短评打分': 5}
{'短评内容': '酒店挺干净.服务挺热情的.就是位置挺偏的.', '短评打分': 3}
{'短评内容': '性价比比较高的酒店，距台东也比较近。吃的喝的玩的都很方便。距四方长途站也很近。前台接待服务态度也很好，当然长的也很漂亮！！嘿嘿。。。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '地理位置比较好，离台东步行街、海博家居、市北区政府都不远，但房间的隔音效果不太好，一次性的洗漱用品质量很差。', '短评打分': 5}
{'短评内容': '感觉太压抑了，房间内有点潮湿，灯光太暗了，提供的一次性洗漱用品质量太差', '短评打分': 1}
{'短评内容': '房间很垃圾，什么都是收费的，连牙膏牙刷都收费。还是酒店吗？', '短评打分': 1}
{'短评内容': '不错！卫生一般 服务一般，设施一般，噪音大，位置不错！交通便利', '短评打分': 5}
{'短评内容': '房间不是一般的小&#183;&#183;什么都是收费的&#183;&#183;去这住需要自备所用的东西&#183;&#183;电视效果更是差&#183;&#183;收到信号的不清楚&#183;&#183;大部分收不到信号&#183;&#183;', '短评打分': 1}
{'短评内容': '周围便利店和饭店很多，很方便', '短评打分': 5}
{'短评内容': '住在三楼，订的标间房间蛮小的，其他都蛮好，离台东近！', '短评打分': 5}
{'短评内容': '整个房间给人的感觉很压抑，可能是房间内灯光设计的原因吧，价钱还可以', '短评打分': 1}
{'短评内容': '位置很好，离台东近，交通方便。卫生条件太一般了，真是三星级？', '短评打分': 1}
{'短评内容': '有些潮，在青岛的老城区。价格比较低，交通也算方便。', '短评打分': 5}
{'短评内容': '这个酒店地理位置还不错，离台东路步行街走路20分钟。酒店特色房很多，有大桃心水床。都是针对情侣的小时房。但是酒店设施、环境真的很不好。老旧发霉不说，几乎所有用品都要花钱。牙刷、牙膏、沐浴露，全是收费的、就连毛巾都是2块钱一包！屋里我数了一下，总共有8种售卖的安全套！而且酒店没有电梯，我拎着我的大行李箱一步一步的爬台阶。屋里的电脑是那种还有软驱接口的老掉牙电脑，看网页都有些吃力。我找前台要求换房，前', '短评打分': 1}
{'短评内容': '还行，就是靠街很吵，电视没信号，下次还会入住。', '短评打分': 5}
{'短评内容': '很干净 而且离台东非常近 吃饭娱乐都非常方便', '短评打分': 5}
{'短评内容': '1：电视只有一个台：CCTV1\r\n2：窗户隔音太差，整晚都是车跑来跑去的声音，吵死了\r\n作为特价房，设施其他的都是可以接受的，唯独这个不隔音让人无法忍受。', '短评打分': 1}
{'短评内容': '反正一楼的是坚决不能住。太潮了。。还有很大的味道', '短评打分': 1}
{'短评内容': ' 不好 超差', '短评打分': 5}
{'短评内容': '酒店位置不错环境一般', '短评打分': 5}
{'短评内容': '床单里竟然是红色的，墙面返潮，一次性牙膏拖鞋尽然还得打电话自己要，真晕。。。。根本就是一个大旅馆~！', '短评打分': 1}
{'短评内容': '已入住,条件一般', '短评打分': 3}
{'短评内容': '旅游时节，希望能提供性价比高的服务！作为来这里的客人给青岛提一个建议：好自为之！', '短评打分': 5}
{'短评内容': '性价比不高 交通还行 房间墙壁过于陈旧 住着不舒服。', '短评打分': 3}
{'短评内容': '第一天去预留的房子没有给留下 调到别的房子了。。住着不舒服', '短评打分': 1}
{'短评内容': '整体不错的  就是周边太吵了', '短评打分': 5}
{'短评内容': '酒店还是挺一般的。位置是挺好找的，价格的话我是感觉性价比不高，服务是没问题的。房间还行吧，和一般的商务型酒店都差不多。', '短评打分': 5}
{'短评内容': 'chao', '短评打分': 1}
{'短评内容': '性价比不是很高', '短评打分': 1}
{'短评内容': '房间很干净，性价比也可以', '短评打分': 5}
{'短评内容': '房间太小，卫生情况不是很好，房间内设施老化，性价比不是很高', '短评打分': 3}
{'短评内容': '入住过一次，卫生较差，酒店设施也很一般有些都很老化，房间空间很小，性价比一般，以后不会再住了', '短评打分': 1}
{'短评内容': '空调制热有点不太好 噪音有点大 主要是什么都要付钱包括沐浴露 洗发水都没有免费的', '短评打分': 5}
{'短评内容': '很冷，很失望，洗漱用品还收费', '短评打分': 1}
