{'短评内容': '本来要住很久 看评论很多不好的 就开了两天 然后感觉不错 就又开了四天', '短评打分': 5}
{'短评内容': '房间比较大！家用电器很多 但我没用！网络有点卡！洗漱用品是收费的', '短评打分': 5}
{'短评内容': '出差住了两次，一共住了两个星期，还可以', '短评打分': 5}
{'短评内容': '这是我住过最差的酒店，没有之一！', '短评打分': 1}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '好好好，非常喜欢', '短评打分': 5}
{'短评内容': '还行，性价比高，地理位置也好，就在友谊路地铁站附近', '短评打分': 5}
{'短评内容': '去那边学校考试，离学校很近。家庭式公寓酒店，有烟机、小冰箱，厕所浴霸坏了，没有沐浴液等，设备很久，房间有味道，床偏硬。拖鞋沾水未干，很臭，没有一次性拖鞋。没敢穿。幸好自己带了。', '短评打分': 3}
{'短评内容': '不行', '短评打分': 1}
{'短评内容': '温馨', '短评打分': 5}
{'短评内容': '有蟑螂 其他都不错', '短评打分': 4}
{'短评内容': '不行！', '短评打分': 3}
{'短评内容': '环境不错，交通便利，有机会还会再次入住。', '短评打分': 5}
{'短评内容': '酒店式公寓，还行，安静', '短评打分': 3}
{'短评内容': '总休不锆很好', '短评打分': 5}
{'短评内容': '一般，没想象的好，楼下的原味粉馆味道不错！', '短评打分': 3}
{'短评内容': '不错哦', '短评打分': 4}
{'短评内容': '干净，安静，离办事的地方很近', '短评打分': 3}
