{'短评内容': '国际饭店环境不错', '短评打分': 5}
{'短评内容': '预定的时候看评价都不太好 住的278的大床房 其实还好啦 房间干净整洁 前台没觉得服务差 就是卫生间小 房间没有免费的水呢  早餐是住过的带早餐的酒店中种类最少的 ', '短评打分': 5}
{'短评内容': '服务很差', '短评打分': 2}
{'短评内容': '酒店地理位置靠近佳大，卫生一般，设施陈旧', '短评打分': 3}
{'短评内容': '好。', '短评打分': 1}
{'短评内容': '城市老，宾馆也老，特色就是偏远', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '酒店设施特别旧 很多坏的 地毯极脏', '短评打分': 3}
{'短评内容': '比以前有进步，空气干燥', '短评打分': 4}
{'短评内容': '因为去佳木斯大学招聘，所以地理位置还是可以的，但房间的设施就一般，热水壶还是坏的', '短评打分': 4}
{'短评内容': '好、很好、非常好', '短评打分': 3}
{'短评内容': '酒店就在佳木斯大学学生宿舍旁，很安静，只是设备比较旧。如果是去看学生的话，还是可以的    ', '短评打分': 3}
{'短评内容': '距离市区太远了，服务态度又是极差，硬件设施还不如快捷酒店，下次绝对不会再住了！', '短评打分': 1}
{'短评内容': '酒店位置很偏，很老旧。几乎没什么人居住，离市里也不方便。', '短评打分': 1}
{'短评内容': '房间内部条件和服务都很好，就是酒店的位置偏点', '短评打分': 5}
{'短评内容': '优点是：房间还算干净，宽敞。服务态度良好。\n缺点是：地方有点偏，但是入住期间不能看电视，请尽快解决这个大问题。', '短评打分': 1}
{'短评内容': '环境不错，比较肃静，早餐很丰盛。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错的酒店 住过两次了 环境服务都很好 就是这个价钱在佳木斯贵了点', '短评打分': 5}
{'短评内容': '稍微有点偏僻，条件嘛我感觉不够4星标准，所以就不推荐了。', '短评打分': 1}
{'短评内容': '4月10日陪孩子考试入住该酒店，感觉不错，房间很干净，服务员服务态度也非常好，不足是酒店早餐品种太简单了，炒菜味道一般与酒店的级别不相符，希望下次入住能有改进。', '短评打分': 5}
{'短评内容': '酒店虽然是四星，但不知道是70年代评的还是80年代评的。设施太旧了，热水洗澡都有问题。', '短评打分': 1}
{'短评内容': '位置离市区较远，晚上到的店，酒店外周围漆黑一片，店内装潢较为陈旧，早餐一般。', '短评打分': 1}
{'短评内容': '房间装修还行，位置出行还是挺方便的，价格感觉有些偏高。服务态度还比较周到。', '短评打分': 5}
{'短评内容': '酒店设施还是有些老旧，位置出行也不是太方便有点偏，价格还行，服务态度还行。', '短评打分': 3}
{'短评内容': '服务态度很好 很周到热情   房间不错   暖气比较给力\n\n早餐种类比较单一  酒店位置有点偏', '短评打分': 5}
{'短评内容': '一点都不好免费上网的跟本上不了晚上还停水没法洗澡', '短评打分': 3}
