{'短评内容': '早餐种类少', '短评打分': 4}
{'短评内容': '还不错，位置很好，三里屯边上', '短评打分': 5}
{'短评内容': '前台很不错，给我安排了升级。楼层服务员也很负责任，要秤行李，房间里的秤有问题，马上帮我换了一个。服务不错，周边也方便，下次还会入住。', '短评打分': 5}
{'短评内容': '离机场近，很方便。出差一直是到这家酒店入住。逛街、吃饭、应酬很方便。离机场近，很方便。出差一直是到这家酒店入住。逛街、吃饭、应酬很方便。', '短评打分': 5}
{'短评内容': '早餐挺好！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '啊', '短评打分': 5}
{'短评内容': '位置超级棒的酒店。非常赞', '短评打分': 5}
{'短评内容': '很好，交通位置很方便，房间也不错。', '短评打分': 5}
{'短评内容': '是：是什么呢！这大床在你面前我没有任何不想睡的意思！', '短评打分': 5}
{'短评内容': '每次北京出差都选他家，服务好，环境优，设施好，也是比较安全，好评，专认他家，好的东西要坚持，继续，加油', '短评打分': 5}
{'短评内容': '格局和设施都有点老旧了，周边交通挺方便，早餐也不错！价格算比较实惠的！', '短评打分': 4}
{'短评内容': '每次都住这，很方便，价格也不贵，虽然老酒店了但很干净，服务也好，毕竟是5星的', '短评打分': 5}
{'短评内容': '房间有点旧 楼下就是三里屯 ', '短评打分': 4}
{'短评内容': '性价比超高的五星级酒店。', '短评打分': 5}
{'短评内容': '环境不错，地铁口，方便', '短评打分': 5}
{'短评内容': '前台有口罩卖了，贴心。一直住这个酒店，地段好设施完备，服务越来越主动，提个行李什么的。不过给了最顶头的房间不太喜欢。', '短评打分': 5}
{'短评内容': '设施太老旧 房间灯连总开关都没有 灯光还很暗 最重要的是 淋浴房下水太差 整个卫生间水溢出来，，', '短评打分': 4}
{'短评内容': '老五星。总体不错，性价比好。', '短评打分': 4}
{'短评内容': '服务交通价格都不错', '短评打分': 5}
{'短评内容': '酒店比较老，但是服务不错。地理位置也很好，靠近10号线，离三里屯也只有5分钟的路程。', '短评打分': 5}
{'短评内容': '价格，档次，交通都还算可以', '短评打分': 4}
{'短评内容': '酒店很浮合我的需求！', '短评打分': 3}
{'短评内容': '酒店不错的，价格很合理，档次还可以,交通也方便', '短评打分': 5}
{'短评内容': '以前住这是因为地理位置，服务。酒店的条件本来就一般，这次半夜到的，可能服务人员也困了吧，觉得没以前好了，下次估计不会住了', '短评打分': 3}
{'短评内容': '交通方便 位于CBD\n逛街出游比较方便 \n距离机场有点远 20公里左右', '短评打分': 5}
{'短评内容': 'wdawdwdwdwadwdwadwadwadwdwadwadwadwadwadwadwad', '短评打分': 5}
{'短评内容': ' 兆龙饭店的服量差，办理入住时他们在谈别的工作，把客人放在一边。餐厅人员服务极差！！本想住一个月，三天后就退房了，不推荐朋友来！！！', '短评打分': 3}
{'短评内容': '环境很舒适，服务非常好，已经第二次入住，下次还会来！', '短评打分': 3}
{'短评内容': '交通便捷，服务到位。房间比较舒适，环境比较安逸。', '短评打分': 3}
{'短评内容': '很好，同事来北京一直都订的兆龙，很舒服服务态度很好，交通很便利，离公司很近，紧邻着三里屯', '短评打分': 5}
{'短评内容': '交通方便，还不错了。希望下次再住。真的啊。', '短评打分': 5}
{'短评内容': '性价比不错！地理位置也好，晚上出去逛街很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店设施、服务都不错！地理位置也好，晚上出去逛街很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '给朋友订的，第二天去机场方便些，设备老了，性价比一般', '短评打分': 5}
{'短评内容': '交通方便,周边很繁华.酒店高层视野开阔,低层差点,屋内小酒吧东西稍贵了点', '短评打分': 5}
{'短评内容': '实惠便利是兆龙饭店最大的优势', '短评打分': 3}
{'短评内容': '跟周边的酒店比起来，性价比还是很高的，虽然设备稍微老旧了点。', '短评打分': 5}
{'短评内容': '干净但旧，位置好', '短评打分': 3}
{'短评内容': '性价比不合，虽然交通方便。但是设施比较老，不管是电视还是啥，都看上去很老气。而且网速不行。', '短评打分': 1}
{'短评内容': '酒店很好,就是加床价格太高了.', '短评打分': 3}
{'短评内容': '北京比较老的酒店，里面的设施比较老化，网速也一般，不推荐年轻朋友入住，交通还行。', '短评打分': 1}
{'短评内容': '比较有历史的酒店，属于CBD区域还不错的商务酒店，下次还会去。', '短评打分': 5}
{'短评内容': '位置很好在三里屯周边吃饭购物休闲逛街都很方便地铁在酒店门口出行很便捷 \n', '短评打分': 5}
{'短评内容': '装修后环境还是不错的！', '短评打分': 3}
{'短评内容': '交通比较方便，尤其是去机场，服务比较周到，但设施有些旧，早餐很一般。价格偏高。', '短评打分': 5}
{'短评内容': '酒店不错，就是前台接待的窗口有点少，最好增加一些', '短评打分': 5}
{'短评内容': ' 酒店太旧，服务也差，不值得住', '短评打分': 3}
{'短评内容': '位置很好在三里屯周边吃饭购物休闲逛街都很方便地铁在酒店门口出行很便捷', '短评打分': 5}
{'短评内容': '房间里的灯太暗，一到晚上就只能看电视和睡觉，别的什么也做不了。如果酒店改善了灯的设备，而且价位在￥600多，就可以推荐给朋友。床还舒适。服务也好。', '短评打分': 1}
{'短评内容': '酒店环境不错,服务也很好,就是房间里灯太少了,总体来说,还行吧.\n\n', '短评打分': 5}
{'短评内容': '还不错，地点比较方便，周边也比较繁华~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置不错在东三环方便购物吃饭休闲逛街聚会总之地方很好', '短评打分': 5}
{'短评内容': '位置不错，在东三环靠近三里屯购物休闲都很方便。', '短评打分': 5}
{'短评内容': '位置很好靠近三里屯购物吃饭夜生活都方便，打车旁边就是三环。酒店是老了点，但是位置相当不错。', '短评打分': 5}
{'短评内容': '给老总预定的，总体上非常不错，酒店设施需要更新，下一次还会考虑。', '短评打分': 5}
{'短评内容': '促销498元一天还不错,只是光线太暗,不是一股的暗,在房间里找东西都不方便.反映以后,很快又加了一盏照明灯,还是太暗.白天把窗帘打开还免强凑合.希望把节能效果再搞好一些.', '短评打分': 5}
{'短评内容': '酒店挺好的 可以游泳 总体感觉一般吧。大堂是很气派，前台服务不够热情，房间里卫生间淋浴房花洒不好用，像在喷雾，洗得不舒服，浴巾不吸水。优点是交通方便，有地铁10号线。', '短评打分': 5}
{'短评内容': '房间还不错，地点方便， 很靠近地铁站， 找吃也方便。 ', '短评打分': 5}
{'短评内容': '1、餐厅中英文菜单不符,标价为：XXX/斤，老外看不懂斤这个单位！结帐时几经交涉，此道菜免单！结果还可以！但我的老外客户明确表示：以后不会再往这里！\n2、设备老化，维修不及时。', '短评打分': 1}
{'短评内容': '位置是好的没话说，只是房间内的设施有点陈旧了哦。。不过是早期的五星了也罢', '短评打分': 5}
{'短评内容': '酒店位置很好，东三环交通便利，三里屯、雅秀近在咫尺，购物娱乐非常方便。很好！', '短评打分': 5}
{'短评内容': '酒店服务很好。房间舒适干净。喜欢所处位置。', '短评打分': 3}
{'短评内容': ' 内部太破，不值五星级。', '短评打分': 3}
{'短评内容': '酒店外观豪华，好看，但是房间的地毯特别脏还有一点都没有五星级酒店的风格。', '短评打分': 1}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '老牌的酒店，促销价格也还可以接受，平时的价格就有点贵了。。。', '短评打分': 5}
{'短评内容': '酒店环境不错,服务也很好,就是房间里灯太少了,总体来说,还行吧.', '短评打分': 5}
{'短评内容': '酒店设施还可以，就是停车不太方便', '短评打分': 3}
{'短评内容': '优点：位置好，交通便利，洗澡水不错。\n缺点：太老太陈旧！住过的硬件最差的五星酒店。软件也一般，入住和退房要等很久，态度也不好。国外的五星酒店虽然也很老，但地很干净，地毯也很干净，卫生间的设施比较旧，但都很好用，这里就差的远了！感觉还真不如快捷酒店！\n房间还有蚊子。\n', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '在朝阳区性价比较高的五星级酒店，虽然设施陈旧了一些，但绝对能过得去。', '短评打分': 5}
{'短评内容': '十好', '短评打分': 3}
{'短评内容': '酒店稍微老一些，但是性价比比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '在三里屯闹市区，交通很方便，出行很舒服，可以周围逛逛。老牌的酒店了。', '短评打分': 5}
{'短评内容': '每次朋友来北京会见重要客户是我会定这里，环境很好，周边服务设施齐全，很方便。感谢！', '短评打分': 5}
{'短评内容': '还不错：）', '短评打分': 3}
{'短评内容': '床很舒服 就是浴室有点旧 早餐还要另外买', '短评打分': 3}
{'短评内容': '地理位置好，入住环境也非常不错，值得推荐，下次去北京还会入住', '短评打分': 5}
{'短评内容': '服务很差', '短评打分': 3}
{'短评内容': '酒店设施有些旧', '短评打分': 3}
{'短评内容': '酒店价格实惠，有美味的印度餐厅，每次印度客人来都愿意住在兆龙。', '短评打分': 5}
{'短评内容': ' 性价比很不错的。', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '朋友来北京会定此酒店，环境很好，服务周到，交通便利！！！！！！！！', '短评打分': 5}
{'短评内容': '内容\r\n还较比满意，就是有点旧另房间地毯有点脏。', '短评打分': 3}
{'短评内容': '环境很好，很有中国特色，不愧是国家领导人剪彩的呀，很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店环境，服务都很不错。如果去北京出差， 一定会入住兆龙酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '隔音不好\n前台接待很忙，但不知忙什么，等待时间太长\n停车场老头一定是老板亲戚，竟然说你住不住和我没关系\n改成三星吧', '短评打分': 1}
{'短评内容': '酒店设施有些旧，酒店内用品提供不充分，建议参考香格里拉酒店', '短评打分': 1}
{'短评内容': '挺好，就是房间小点', '短评打分': 3}
{'短评内容': '酒店房间内配品不全', '短评打分': 5}
{'短评内容': '价钱适中价钱适中价钱适中价钱适中价钱适中价钱适中价钱适中价钱适中价钱适中', '短评打分': 5}
{'短评内容': '还不错_在五星酒店中性价比算高的了_价格也很优惠_会再选择这家酒店', '短评打分': 5}
{'短评内容': '+太一般的一家酒店了！没有任何的欲望想住第二次！', '短评打分': 5}
{'短评内容': '还算不错,大堂太差了,应该做一些改善.房间太陈旧,也该装修了.', '短评打分': 1}
