{'短评内容': '方便，整潔...............................................', '短评打分': 4}
{'短评内容': '朋友说不错，已经常住。', '短评打分': 5}
{'短评内容': '参加女儿毕业典礼，因离学校近从携程上订的酒店，连住四晚，感觉不错，酒店有免费穿梭巴士，到机场、景点很方便；酒店离港岛线香港大学地铁站B2出口仅几步之遥，交通便捷。', '短评打分': 5}
{'短评内容': '我觉得位置非常好，出了港铁香港大学B2口一分钟不到就走到了，楼下有面包店，超好吃，还有7-11和接地气的糖水店、茶餐厅，值得推荐', '短评打分': 5}
{'短评内容': '房间太小 商务型酒店配置 豪华型酒店价格 如果价格合适应该可以。2300人民币就没有性价比了。 ', '短评打分': 4}
{'短评内容': '算是在香港性价比很高的了，酒店房间很简约精致，楼下还遇到了高圆圆拍戏', '短评打分': 5}
{'短评内容': '不错的酒店，京东值得信赖！', '短评打分': 5}
{'短评内容': '一如既往地舒服，很好', '短评打分': 5}
{'短评内容': '这个酒店比较少订。', '短评打分': 5}
{'短评内容': '性价比最好的酒店，无敌海景房，环境和服务都超级好，下一次还要来住！', '短评打分': 5}
{'短评内容': '入住整体感觉很好，房间很整洁、设施齐全、服务很到位、景色也不错，早餐丰富供应时间也很长。', '短评打分': 5}
{'短评内容': '入住整体感觉很好，房间很整洁、设施齐全、服务很到位、景色也不错，早餐丰富供应时间也很长。', '短评打分': 5}
{'短评内容': '服务很好，房间干净清爽', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '鄰近地鐵站，附近用餐購物也方便', '短评打分': 5}
{'短评内容': '香港大学站地铁口，交通方便', '短评打分': 5}
{'短评内容': '位置 很好 ！', '短评打分': 4}
{'短评内容': '价格便宜的商务酒店', '短评打分': 5}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！', '短评打分': 4}
{'短评内容': '交通方便，附近游客较少，适合深入游', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好 很喜欢这个酒店', '短评打分': 5}
{'短评内容': '酒店很干净，位置离地铁站也很近，设施也不错，房间大小还好。', '短评打分': 5}
{'短评内容': '酒店虽然离地铁很远，但交通很方便，离中环比较近，酒店还有免费巴士到香港各地区，不愧是香格里拉集团的，房间虽不大但空间设计合理，下次还会入住此酒店', '短评打分': 3}
{'短评内容': '房间干净整洁，可以看到维多利亚港，离地铁较远，可乘巴士，服务还好。在香港房间算大的。', '短评打分': 5}
{'短评内容': '干净，热情，方便，值得推荐。', '短评打分': 3}
{'短评内容': '整体感觉还好，就是价格贵了，服务也不错。', '短评打分': 5}
{'短评内容': '很好的酒店～ 推荐～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '酒店服务不错 在香港大学附近\n\n地理位置虽在上环 但是有丁丁车还算可以~~', '短评打分': 5}
{'短评内容': '第二次入住，非常舒适，交通方便，叮叮车，城巴，就在附近。香港大学就在山上，去逛了逛，很好！', '短评打分': 5}
{'短评内容': '酒店不错，无论硬件还是软件。但是近期价格有所上涨，性价比变差了。', '短评打分': 1}
{'短评内容': '酒店服务很好 设施齐全 有西餐厅 中午的自助餐不错 酒店附近有一个叫大作厨房的饭店 菜很好吃 交通不是很方便 但离港大很近 总体来说很好', '短评打分': 5}
{'短评内容': ' 除了交通不大方便以外，其它的都不错。就是房间里没有Room Service！', '短评打分': 5}
{'短评内容': '便宜且好，性价比高,离地铁有点远，但打车方便', '短评打分': 5}
{'短评内容': '位置的虽然不是很近地铁站，但是从上环地铁站出来之后，有专门的电车直达，2块港币，不错噢，正好体验下香港的风情', '短评打分': 5}
{'短评内容': '饭店的服务和设施都不错，不愧是香格里拉集团旗下的酒店，下次去还是不错的', '短评打分': 5}
{'短评内容': '环境好，周围小店，餐馆方便，但没有地铁，需要坐公车。干净，只是有时价位较高', '短评打分': 5}
{'短评内容': '酒店不错，无论硬件还是软件。但是近期价格有所上涨，性价比变差了。', '短评打分': 3}
{'短评内容': '设施挺好，比较舒服。位置有点偏。', '短评打分': 5}
{'短评内容': '酒店在西环,香港的出租车司机都开玩笑说&quot;仁民饭店是为人民服务...&quot;。位置虽然偏了点，但离屈地街电车厂很近，每天坐叮叮车去中环，作为观光客正好可以坐到上层拍照，体验香港风情。酒店附近有西宝城，山上有港大，没事去西环码头吹风也相当舒服。至于美味的茶餐听，附近很多。安静的西环，舒适的仁民饭店，值得再去。', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，位置不算最好，但已经很好了，房间很干净，设施很好，我们提前了大约1周订到550港币的价格，双人间，给了我们靠海湾的房间，风景很好，酒店顶楼可以看到港大，附件有家本地的早茶店，糯米鸡很好吃，而且很便宜，下次去还住。', '短评打分': 5}
{'短评内容': '很乾淨 挺現代感的 滿意', '短评打分': 5}
{'短评内容': '由于位置的原因..比较适合对香港有一定了解的游客...对第一次来香港的游客不是非常适合..\r\n但如果你想离港大更近一些，这里是个好选择..\r\n性价比还好..离购物区远..', '短评打分': 5}
{'短评内容': '位置在坚尼地城，位置偏，坐叮叮车要将近半小时到上环车站，除此之外都很好，有些屋子内的无线网络信号太差，免费上网，房屋设计很好，汉斯格雅的龙头，家具的品质也很好，房屋较小。', '短评打分': 5}
{'短评内容': '这次升级了房间，不错。自助午餐不贵98hk，里面吃样式很多，物有所值。\r\n楼道里面的制冰机挺好，很喜欢。', '短评打分': 5}
{'短评内容': '性价比很高，房间大。', '短评打分': 3}
{'短评内容': '四星级酒店，位置虽没有地铁，不过公交车很多，出行方便，去上环中环十分快捷，已有车直达铜锣湾。酒店房间装修不错，也比较大，大玻璃，住起来比较舒服。', '短评打分': 5}
{'短评内容': '位置不是很理想 在港島的西區，還好酒店有免費專車接送到各區，酒店旁邊就有巴士站，五路和十路巴士方便得很，酒店周圍就有銀行，便利店，麥儅勞，茶餐廳，酒店裏面的餐飲服務價格也算合理，酒店服務人員態度很好，效率也很高，房間很乾淨，很舒適，我覺得在香港住酒店有這樣高的性价比算是相當不錯的了，今年1月23號左右我在那裏住了2晚，很滿意！', '短评打分': 3}
{'短评内容': '酒店服务不错 在香港大学底下 虽说是上环 但是交通还算方便', '短评打分': 5}
