{'短评内容': '太差了，餐巾纸也没有，水量太小了，卫生太差', '短评打分': 2}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '不丑', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': 'Close to the school, room is clean ', '短评打分': 4}
{'短评内容': '设施比较老，不过安静～', '短评打分': 5}
{'短评内容': '交通便利，设施简单，价格合适', '短评打分': 4}
{'短评内容': 'Close to school, easy and clean.', '短评打分': 4}
{'短评内容': 'Close to school, easy and clean.', '短评打分': 4}
{'短评内容': '周围出行很方便，闹中取静', '短评打分': 4}
{'短评内容': '帮人代订，离学校近，办事方便', '短评打分': 4}
{'短评内容': '經常過來住，學校的酒店，多少便捷咯~', '短评打分': 5}
{'短评内容': '环境优雅，交通便利，最主要的就是离学校近咯。连续入住好多天了。', '短评打分': 5}
{'短评内容': '入住的单人间，干净整洁，环境优雅，周边地理条件优越。', '短评打分': 5}
{'短评内容': '房间的卫生真的是让人害怕，洗手间的下水道反味儿，又没有房间可以换，拿湿毛巾堵住也没用', '短评打分': 3}
{'短评内容': '环境很好就在上师大附近，可是设施有一点老，总体来讲还是可以的，', '短评打分': 4}
{'短评内容': '完全没想到居然环境如此之好，比周围的三星酒店都漂亮，不愧是高校的附属酒店，就是实惠啊。缺点是房间内没有wifi，只有有线网络。', '短评打分': 5}
{'短评内容': '饭店菜不错，房间也还整洁。', '短评打分': 3}
{'短评内容': '性价比不错，交通比较方便，价格优惠，要是含早餐就好', '短评打分': 5}
{'短评内容': '前台和服务员态度很好，房间也打扫的很干净', '短评打分': 5}
{'短评内容': '床小,环境很干净', '短评打分': 3}
{'短评内容': '设施和价格可接受，服务不行，服务员按几下门铃马上会随便开门，太恐怖了', '短评打分': 5}
{'短评内容': '周边很方便，环境不错。燥音很小，就是早饭没吃到。', '短评打分': 5}
{'短评内容': '酒店服务好，住得舒服。周围环境也好。', '短评打分': 3}
{'短评内容': '一进房间就一股霉味，电视一个台都没有，就一摆设', '短评打分': 1}
{'短评内容': '住了好几次了，就是这次在小商品部买东西时，发现东西都不标价，很贵', '短评打分': 5}
{'短评内容': '早餐收的太早了 这样让人反感', '短评打分': 3}
{'短评内容': '酒店有点小 有点旧 早餐一般 要求不高的 可以考虑。', '短评打分': 3}
{'短评内容': '就在我们学校旁边，帮着朋友定的，有早餐，很方便', '短评打分': 5}
{'短评内容': '单A房间有点小，六楼平台空调主机有吵', '短评打分': 3}
{'短评内容': '不错非常好，服务不错，地理位置，酒店设施，早餐，办事效率都很好，特别满意！！！！！！！', '短评打分': 5}
{'短评内容': '酒店本身还可以，但是早晨自助餐的服务员服务态度不是一般的差。有时候去晚了没有座位，有一次竟然看到几个客人站着吃饭；不是座位和餐桌不够多，而是服务员只准客人坐其中的几张餐桌，怕费力气收拾。无论吃饭的人多不多，基本上是还没有吃完时就有服务员在你旁边等着收拾碗筷了。', '短评打分': 5}
{'短评内容': '里面设施有点旧，但是床蛮舒服的，也比较安静，窗帘遮光很好。离上师大很近，比较方便。', '短评打分': 5}
{'短评内容': '酒店环境良好，交通较为方便，服务较好，性价比较高。但房间的窗户似乎有很长时间没有擦了！', '短评打分': 5}
{'短评内容': '服务还可以。', '短评打分': 3}
{'短评内容': '还可以吧。周围交通方便，地铁、公交、出租都可以。就是自助餐差了些，品种单一。', '短评打分': 5}
{'短评内容': '四楼干净整洁，服务业很好。已经是第二次住了。', '短评打分': 3}
{'短评内容': '交通方便,干净不错,就是屋里灯暗了些,洗澡水不是很冲', '短评打分': 5}
{'短评内容': '酒店整体不错，位置很好，房间内部也很干净舒适，只是隔音很差，另外酒店称房卡没做好，所以来回出入都要叫服务生开门，很不方便。', '短评打分': 3}
{'短评内容': '入住的上海国际交流中心酒店果然价格便宜，环境优雅。很满意！', '短评打分': 3}
{'短评内容': '环境非常幽静 适宜 房间有淡淡清香', '短评打分': 3}
{'短评内容': '標間不錯 服務態度不是那麼好', '短评打分': 3}
{'短评内容': '宽敞   干净    舒服  安静 以后还住那里，还有很好的餐厅', '短评打分': 5}
{'短评内容': '选了六楼价格较贵的房间，好像就是家具比较好有冰箱，看不出别的区别，隔音不好，服务员高声说话受不了', '短评打分': 1}
{'短评内容': '很舒服，很干净的宾馆，以后还入住！', '短评打分': 3}
{'短评内容': '很好的宾馆，舒服优质', '短评打分': 3}
{'短评内容': '老店了，因为离公司近，干净，床软比较适合我，唯一的缺点就是网络不是非常好', '短评打分': 5}
{'短评内容': ' 单人间太小了 很一般', '短评打分': 3}
{'短评内容': '酒店环境不错，大堂明亮宽敞，房间很干净，早餐品种丰富，够三星级标准。距离南站很近，交通便利。', '短评打分': 5}
{'短评内容': '非常不错的酒店~早餐得早点吃~~要不就冷了 房间还不错 就是暖风晚上才有····', '短评打分': 5}
{'短评内容': '还好吧，  但是没有给早餐劵。房间还可以的', '短评打分': 5}
{'短评内容': '服务员态度很差！后面二天我选择其他酒店入住！\n', '短评打分': 3}
{'短评内容': '老的招待所改的，电视根本看不清楚，隔音效果也差，唯一好处晚上没有骚扰电话', '短评打分': 1}
{'短评内容': '卫生，安静，房间很大。值得推荐。就是暖气供应时间太短，白天没气。', '短评打分': 5}
{'短评内容': '酒店交通方便，价位合理，设施有些旧，但卫生，股务还好。', '短评打分': 5}
{'短评内容': '单人房的床实在是太小了，而且 白天没空调。', '短评打分': 3}
{'短评内容': '价格适中，房间设施也还行，有早餐。印象中这家宾馆以前的房价还要贵一些。只是前台服务员的脸没有变过。', '短评打分': 5}
{'短评内容': '非常不错的酒店。虽然是二星，但是比绝大多数三星的条件还要好。舒适，安静，早餐也不错。推荐！', '短评打分': 5}
{'短评内容': '性价比不错哦，就是离公交站和地铁站不是很近，不过去上海南站的话，也就一个的士起步价。', '短评打分': 5}
