{'短评内容': '住了不会后悔，酒店位置，设施真心不错', '短评打分': 5}
{'短评内容': '装修看上去应该是有些年了，床很舒服，这个价位比起来算不错了，可以把车停到酒店对面的政府大院，十一长假是40元一次，到第二天中午12点，酒店后面就是步行街，很方便！', '短评打分': 4}
{'短评内容': '酒店位置个人觉得可以打十分。老板娘十分得好。看见我带着小孩，直接就把我的标准间升级为家庭房，爽。酒店对面就是有名的“大师傅”，早点也就是在附近，还有，离江边很近，50米。穿过小巷就是西街。安静。', '短评打分': 5}
{'短评内容': '很不错的酒店！', '短评打分': 5}
{'短评内容': '位置好，就在西街边上，性价比挺高的，值得推荐！', '短评打分': 5}
{'短评内容': '家人住过，感觉地理位置很好，离码头不远，出行方便，周边有许多小吃，晚上逛夜市也很方便。酒店装修很有情调，房间虽然小点，还算干净，尤其喜欢房间门口的小环境，坐在吊椅里欣赏满眼的绿植，很惬意。赞一个！有机会还来', '短评打分': 4}
{'短评内容': '房间干净舒服，服务态度和蔼', '短评打分': 5}
{'短评内容': '房间干净舒服，服务态度和蔼', '短评打分': 5}
{'短评内容': '因有事退房服务还不错，就是总体环境一般', '短评打分': 3}
{'短评内容': '酒店一般，但服务态度好！', '短评打分': 4}
{'短评内容': '朋友介绍的，总的感觉很小资，装修的优雅恬静，与窗外喧闹的街道有较大的反差，动中存静。酒店位于老街，吃饭购物出行都很方便，限量促销标间才128元，忍不住多住了几天。就是楼梯有一段没扶手，老人上下楼很害怕。', '短评打分': 5}
{'短评内容': '酒店很方便～下船不用坐车，走几分钟就到了～靠近西街～在酒吧一条街口～选择游玩项目及出行～在店里订很方便～服务态度非常好，热情周到。店的环境有格调，小资。第二次依然选择这家！好评！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '西街附近，晚上较吵，设施尚可，周边美食较多。', '短评打分': 4}
{'短评内容': '性价比很好，酒店风格独特，离西街非常近，很方便！', '短评打分': 4}
