{'短评内容': '我们一直是该酒店老客户，京东预订比直接入住便宜，很羊毛', '短评打分': 5}
{'短评内容': '我们一直是该酒店老客户，京东购买，比直接入住便宜', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '每次来都住这家酒店，相对于这个档次的酒店，中胜是相对比较便宜的，服务一般般吧，其他都还好，继续入住中。', '短评打分': 4}
{'短评内容': '和同类档次的宾馆相比较，卫生比较干净整洁，每次来都选择三亚中胜幸福度假宾馆入住，希望服务再接再厉……', '短评打分': 5}
{'短评内容': '酒店还粗错，可以选择', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '来海南三亚已经快一个月了，一直住在中胜幸福宾馆，服务好算挺好，卫生也还都算挺好，打算再住些日子，如果长时间住能再优惠点就好了', '短评打分': 5}
{'短评内容': '里具体具体哦了啦咯了我就咯了女咯努力具体咯咯OK啦啦阿拉', '短评打分': 5}
{'短评内容': '服务态度好，酒店环境挺不错的，而且服务员也及时打扫了房间。好评', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '还行！ ！！！！！！！', '短评打分': 3}
{'短评内容': '酒店的性价比高，位置不错，房间较大，卫生情况比较好。就是房间的布置有些奇怪……\n\n不过总的说来，还是挺不错的！\n\n唯一不足的就是和京东之间的沟通出现了一些问题，不过都顺利解决了……\n\n这次总的感觉还是比较满意的！', '短评打分': 4}
