{'短评内容': '环境不错，房间干净，卫生条件很好', '短评打分': 5}
{'短评内容': '早餐不错，环境不错', '短评打分': 5}
{'短评内容': '我住在3号楼，电梯间和房间错层，需要多爬半层楼的台阶，楼梯还没有扶手……这个设计让人愕然。早餐简陋，颇有政府机关的工作作风。除了安全，停车空间大，好像找不到其他的优点了。', '短评打分': 3}
{'短评内容': '自驾游为了选择停车环境方便的宾馆，停车场挺大，但晚上高峰期车位还是有点紧张。环境不错，住宿比较安静但挺高级的宾馆被子有的臭脚味，好在只住一晚。早餐一般般，性价比略低了点。', '短评打分': 3}
{'短评内容': '酒店环境优美！服务也是很好！早餐稍微差了一点！以后还会住', '短评打分': 4}
{'短评内容': '不管硬件设施还是服务都是很不错的！', '短评打分': 5}
{'短评内容': '这个酒店环境真的很好 其他的都一般', '短评打分': 4}
{'短评内容': '环境好，就在南湖边上。', '短评打分': 5}
{'短评内容': '酒店环境很安静，在南湖边上，方便走路。房间好像很紧张，网上只订了一天，第二天就订不上了。前台服务员不少，但态度一般。', '短评打分': 3}
{'短评内容': '酒店比较安静，离大马路较远，适合自驾游。房间卫生干净，设备还可以。早歺还好，品种较多。可以在湖边散步，环境很好。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '环境优美，服务态度好，缺点是就歺不太适合，价格偏贵。', '短评打分': 5}
{'短评内容': '地理位置优越，环境不错，宾馆后面就是南湖，很安静。房间整洁干净，服务到位，房间内有电脑，WiFi信号,总体性价比还可以。    ', '短评打分': 5}
{'短评内容': '南湖一向住着舒服！环境又好！！！', '短评打分': 5}
{'短评内容': '前台服务不热情，房间霉味太重，通风不好。打车不方便，不适合商务出差。湖边风景挺好。', '短评打分': 4}
{'短评内容': '环境好，就在湖边～～', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '半岛上的酒店，环境美的让人难以置信，傍晚时分，我们围绕半岛缓行，水天一色的湖景，享受了。\n可是，我们住的3号楼2层标间实再不敢恭维，房内设施倒也中规中据，只是走廊里刺鼻的气味，低劣的化纤地毯，让人抵触。\n也许是我们住的298元标间属低端配置故。', '短评打分': 5}
{'短评内容': '酒店周围的环境相当好，非常寂静，早晨在鸟语花香中醒来。也很干净。', '短评打分': 5}
{'短评内容': '酒店各项设施及服务都不错', '短评打分': 3}
{'短评内容': '宾馆就湖边，环境非常好，交通也方便，挺好的。', '短评打分': 3}
{'短评内容': '风景很好，花园酒店，性价比高，建议提高早餐质量，去晚了基本就没有什么吃的了', '短评打分': 5}
{'短评内容': '房间还可以,卫生也还不错.春节期间入住,服务态度都还不错,就是早餐差了点,品种很少!', '短评打分': 5}
{'短评内容': '环境很好，空气好，硬件也不错，早餐也挺好的。\n\n就是打车不是很好打，这也是岳阳的特点，有待提高。', '短评打分': 5}
{'短评内容': '岳阳这样风景的酒店不多！环境很不错，缺少的是服务的微笑！', '短评打分': 5}
{'短评内容': '环境一级棒，房间内的东东还可以带走，真不错！', '短评打分': 5}
{'短评内容': '环境确实不错，酒店设施一般，临风楼好一些，服务一般。', '短评打分': 3}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '不好找服务员', '短评打分': 1}
