{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '很好，，，', '短评打分': 5}
{'短评内容': '很好，，，', '短评打分': 5}
{'短评内容': '酒店位置很方便', '短评打分': 5}
{'短评内容': '非常棒 性价比很高 前台服务也好 离繁华地段距离15分钟左右吧  楼下对面就是超市 还有早餐店 很方便', '短评打分': 5}
{'短评内容': '非常不错的一次使用体验，准确、方便、快捷，以后会常用。', '短评打分': 5}
{'短评内容': '住的还可以，就是有点小，小屋挺干净的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度好，环境卫生干净', '短评打分': 4}
{'短评内容': '物美价廉。', '短评打分': 5}
{'短评内容': '环境还好，后面有个公园', '短评打分': 5}
{'短评内容': '酒店还是比较安静的，到了选择也多，在开发区中心，附近都是学校，方便', '短评打分': 5}
{'短评内容': '还不错 习惯好评', '短评打分': 4}
{'短评内容': '整体性价比比较不错，位置也好，很方便靠近万达广场不远', '短评打分': 4}
{'短评内容': '环境很好，有窗，卫生干净', '短评打分': 5}
{'短评内容': '酒店还好！蛮温馨的？', '短评打分': 4}
{'短评内容': '还可以，性价比高。', '短评打分': 5}
