{'短评内容': '很不错的', '短评打分': 5}
{'短评内容': '勉强给香港朋友住了一晚', '短评打分': 4}
{'短评内容': '房间设施齐全', '短评打分': 5}
{'短评内容': '还行吧 楼下有超市 外面也挺繁华的', '短评打分': 4}
{'短评内容': '放假还可以，就是酒店有点老了，里面的设施还是老大', '短评打分': 4}
{'短评内容': '无力吐槽，环境太吵了，外面就是个集市', '短评打分': 3}
{'短评内容': '就是一般，23:00之前，别想睡觉，太吵了', '短评打分': 4}
{'短评内容': '房间太小了，在携程订房168自己去订158老贵的', '短评打分': 5}
{'短评内容': '酒店较便宜，但周边环境较差，但这种价位的酒店已经差不多啦！', '短评打分': 4}
{'短评内容': '几年前住过，现在是来回味一下，除了床软点，不比4星级差，期待下次旅行。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '还算可以，偏离市区，比较安静，又大停车场。。', '短评打分': 4}
{'短评内容': '不错，下次我还要去。', '短评打分': 5}
{'短评内容': '还不错，每次都入住', '短评打分': 5}
