{'短评内容': '稳得一笔', '短评打分': 5}
{'短评内容': '因为第二天早上要去中医院，所以定了这家。除了卫生间小外其他还可以吧。忘了拍照了。', '短评打分': 5}
{'短评内容': '性价比还好，便捷酒店的标准', '短评打分': 3}
{'短评内容': '性价比还好，便捷酒店的标准', '短评打分': 3}
{'短评内容': '性价比还好，一般的便捷酒店标准', '短评打分': 3}
{'短评内容': '房间环境不错的', '短评打分': 5}
{'短评内容': '还可以 ', '短评打分': 5}
{'短评内容': '环境不错，价格合适', '短评打分': 5}
{'短评内容': '还可以，就是设施有点旧，不过服务还可以', '短评打分': 4}
{'短评内容': '还行吧，就是价格有点小高，不过服务还不错。', '短评打分': 4}
{'短评内容': '这个酒店好', '短评打分': 5}
{'短评内容': '干净，整洁。周边方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好吧！', '短评打分': 2}
{'短评内容': '房间位置，房间环境！设施都很满意', '短评打分': 5}
{'短评内容': '酒店整体ok，挺不错的，就是洗手间洗浴房太小', '短评打分': 5}
{'短评内容': '一般一般，没有大家说的那么好，还是对面的铜鼓酒店好些', '短评打分': 1}
{'短评内容': '装修风格不错，也挺新的，挺安静的，在市中心去哪里都比较方便吧！', '短评打分': 5}
{'短评内容': '酒店还好，就是网络慢了点，交通还算便利，酒店设施还不错', '短评打分': 5}
{'短评内容': '蛮好的，圆床好玩。酒店风格不错，服务态度不冷不热。', '短评打分': 5}
{'短评内容': '优点：地理位置还好，周围银行挺多，房间布置比较有特色。\n缺点：住的是不临街的，但房间窗户太小，屋子里挺暗的。最近楼下施工，不过休息时间不会，反正睡不了懒觉。\n\n总体性价比凑合吧，有机会还会去住。', '短评打分': 5}
{'短评内容': '交通方便，环境好，服务员积极性再加强一点就好了，还会再去的！', '短评打分': 5}
{'短评内容': '\n很好的酒店很漂亮很舒服', '短评打分': 3}
{'短评内容': '酒店硬件配套蛮不错，喜欢这样的风格，大气！', '短评打分': 5}
{'短评内容': '物超所值。', '短评打分': 3}
{'短评内容': '酒店装修很新，性价比很高，喜欢这酒店，是不错的选择。', '短评打分': 5}
{'短评内容': '很好的酒店，很干净，波斯风格装修，很好，环境也很好，下次去还住这里', '短评打分': 5}
{'短评内容': '酒店比想像中的还要好，服务也好，总之特别值哦', '短评打分': 3}
{'短评内容': '很干净很卫生，最主要的是价格实惠！就是早餐的时间太早了。', '短评打分': 5}
{'短评内容': '环境很好，装修得很漂亮，住得很舒适！还会再去。。', '短评打分': 5}
{'短评内容': '对于经济型的酒店，还算过的去，新装修的，所以看上去很干净。就是我住的那天停了两次电，挺新鲜。', '短评打分': 3}
{'短评内容': '垃圾酒店，完全被骗了！', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '第一入住南宁铂晶酒店是我住过最舒服的酒店,风格很特别,价钱还不到两百,值得!最喜欢它洗衣房和自助早餐很方便,下次还去住那里.', '短评打分': 3}
{'短评内容': '房间很好，服务不错，老婆合我都很满意。希望能够保持。', '短评打分': 5}
