{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '服务还是很好的', '短评打分': 5}
{'短评内容': '酒店早餐很不错。', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 4}
{'短评内容': '招待外地朋友，这个价位很不错了，挺气派的，比快捷酒店好', '短评打分': 5}
{'短评内容': '环境还可以，窗户很大，通风，不错', '短评打分': 5}
{'短评内容': '还不错，帮朋友定的！', '短评打分': 5}
{'短评内容': '非常值得信赖的酒店！', '短评打分': 5}
{'短评内容': '很好，不错，舒服，享受！', '短评打分': 5}
{'短评内容': '不错，位置很好，环境也棒', '短评打分': 5}
{'短评内容': '交通方便的', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '感觉没达到四星。', '短评打分': 3}
{'短评内容': '感觉不像四星的酒店！', '短评打分': 3}
{'短评内容': '我怀疑酒店的评分是刷分刷来的。酒店设施老旧空间狭小。三百多的房费洗浴间不足一平米。而且还可以看到洗浴间漏水孔有别人留下来的头发。还有最重要的是，洗澡水半死不活温度不温不火冷死人！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '出行较方便，适合去钟楼鼓楼、西交大、兴庆宫、城墙，附近有小饭馆吃饭。宾馆很正规，只是年代有大了', '短评打分': 4}
{'短评内容': '服务及房间设施不错', '短评打分': 5}
{'短评内容': '酒店服务人员和热情服务周到温馨下次会继续入住的。', '短评打分': 5}
{'短评内容': '代订', '短评打分': 4}
{'短评内容': '经常住，很不错！', '短评打分': 5}
{'短评内容': '不错 交通很方便 虽然临着马路 但房间很安静 就是早餐需要加强啊', '短评打分': 5}
{'短评内容': '房间干净，管理很好', '短评打分': 3}
{'短评内容': '办事方便，价格合理。环境也还不错，就是出门打车不是太方便，下次出差可以选择皇后，吃饭也比较方便，不错！', '短评打分': 5}
{'短评内容': '还可以吧，就是前台效率太低了点，每次办入住都很慢！！！', '短评打分': 5}
{'短评内容': '硬件条件一般。价位太高。房间有很多文字。空调声音很大', '短评打分': 1}
{'短评内容': '酒店还不错，早餐很棒。不过房间硬件上如果可以加强一些，酒店的感觉会跟高档些。', '短评打分': 5}
{'短评内容': '忘记评价了，酒店不错，交通方便。早餐也好', '短评打分': 5}
{'短评内容': '很好的酒店，干净，交通业方便。下次来西安还会选择在这。', '短评打分': 5}
{'短评内容': '酒店前台非常热情，宾至如归，下次还会入住！', '短评打分': 5}
{'短评内容': '相对比周边其他的酒店，价格偏高，不过房间还算干净，不错的酒店', '短评打分': 5}
{'短评内容': '过来参会，还可以挺好，早餐中餐的自助都不错，房间算干净，值得再住', '短评打分': 5}
{'短评内容': '第一次住这家酒店，房间硬件比较价格还需改善提高。另外，沒早餐。吃了一次，但质量不够好。', '短评打分': 3}
{'短评内容': '这次前台办理入住的速度蛮快的，希望一直能这样！', '短评打分': 5}
{'短评内容': '如果是十年前这个酒店很豪华，只是现在的话略显旧了，但是总体还是很不错的，特别是商务会议的几个服务的小伙子很热情', '短评打分': 5}
{'短评内容': '环境都很好，就是装修有点过时，需要改进一下。我喜欢洗手间，成体感觉比较好\n', '短评打分': 5}
{'短评内容': '免费升级豪华标间就是不含早不方便', '短评打分': 3}
{'短评内容': '豪华商务间的电视实在不敢恭维，老旧不堪，可真能省啊！', '短评打分': 5}
{'短评内容': '很一般的酒店，性价比不高。如果是自己出游，不会选择这里。', '短评打分': 1}
{'短评内容': '不含早点，挺麻烦的。另外房间的电脑配置有点低，老死机', '短评打分': 1}
{'短评内容': '硬件稍差。四星宾馆面巾纸都不配备', '短评打分': 3}
{'短评内容': '酒店挺不错，很干净，环境很好，住着很舒适。并且四星的也不贵呦！', '短评打分': 5}
{'短评内容': '这次没有遇到要等待才能入住的情况！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店很一般总台服务态度极差根本不值住宿所付的费用', '短评打分': 3}
{'短评内容': '酒店内地毯卫生及卫生间条件有待改进。', '短评打分': 3}
{'短评内容': '服务设施还不错，就是服务人员的效率不高。', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '如果不是办事的地方附近没有合适的酒店，是不会选择这家的！！！！！！！！！', '短评打分': 1}
{'短评内容': '在国庆大假入住，房费有点贵。四星的酒店，也是比较对得起这个价格。酒店很好找，对面有一家港式餐厅，吃什么很方便。但是停车非常难，没有专用的停车场，只能停在路边。早晨睡得正香的时候，交警就来了，要求车开走，这点很痛苦。所以不推荐自驾车的朋友去。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '地理位置不错，房间干净地理位置不错，房间干净地理位置不错，房间干净地理位置不错，房间干净地理位置不错，房间干净', '短评打分': 5}
