{'短评内容': '前台服务真好', '短评打分': 5}
{'短评内容': '真心不错的入住环境，安静、整洁。', '短评打分': 5}
{'短评内容': '经济型酒店', '短评打分': 4}
{'短评内容': '酒店性价比不高，二星的设施，三星的价格，酒店设施比较旧，卫生间干湿没有分离，只有一个挡水的塑料布，地面上还会都是水，洗澡水挺热，但水流小，下水还算顺畅。房间里的热水壶是坏的，电视有的台不清楚，WiFi信号倒还不错。卫生还可以，房间和卫生间都没有异味。', '短评打分': 4}
{'短评内容': '政法大学附近，吃饭可以就近，其他的中规中矩吧。', '短评打分': 4}
{'短评内容': '环境在大学里，还是不错的，服务就一般了，也算是值了', '短评打分': 4}
{'短评内容': '很好，挺不错的', '短评打分': 5}
{'短评内容': '感觉挺好的', '短评打分': 5}
{'短评内容': '还可以，不错。', '短评打分': 5}
{'短评内容': '不错，价格合时', '短评打分': 5}
{'短评内容': '一如既往的好，来北京看孩子必须住的地方', '短评打分': 3}
{'短评内容': '房间舒适，房间卫生清洁，离中国政法大学北门极近，交通也很便利。', '短评打分': 3}
{'短评内容': '不错，挺干净，安静，设施还行', '短评打分': 3}
{'短评内容': '挺棒的，房间很大很干净，以后还会来', '短评打分': 3}
{'短评内容': '看起来不是太好，酒店大堂黑咕隆咚的。不能刷卡。', '短评打分': 1}
{'短评内容': '酒店安静，但是不能刷卡，要交现金押金，服务态度一般，地理位置不好找。', '短评打分': 1}
{'短评内容': '还不错，住在学校里面，值班人员还是挺好的', '短评打分': 5}
{'短评内容': '房间比周围的同等房间稍大点，据说，学生或老师去订能便宜', '短评打分': 5}
{'短评内容': '性价比非常不高。而且只有一双拖鞋，绝对不会再去。', '短评打分': 1}
{'短评内容': '有点坑爹，设施一般般，价格不便宜，感觉一般', '短评打分': 1}
{'短评内容': '酒店的房间设施还不错，但是可能是因为入住的客人少的原因。总觉得7楼酒店客房区很寂静。', '短评打分': 5}
{'短评内容': '优点是干净，整洁，安静。\n缺点是相应的，因为客人少，所以服务跟不上。', '短评打分': 5}
{'短评内容': '在校园内环境比较好，安静。条件也不错，软硬件设施还可以，下次到那边还会入住，而且会推荐给朋友，交通也比较便利', '短评打分': 5}
{'短评内容': '已经是第二次入住，这次入住和上次完全不一样，整洁干净没有变，就是客房里弥漫的一种好似装修的味道让我差点晕过去，（532.534）两个房间都有味，估计住时间长了会得癌症（绝不是危言耸听），所以建议短时期内，不要入住532和534房间，别的房间不知道。', '短评打分': 1}
{'短评内容': '我住的是豪华套回。房间装修得很好也挺干净，但服务太差。前台服务员对我非常冷漠。我在退房时他们说我的房间少了一条小方巾。我说我没拿但他们坚持是我拿走了。不给我办退房手续。我因为着急去办事就说我可以付钱买这个小方巾。他们要我付10元。这家酒店的毛巾都是看起来挺旧的。即使是新的小方巾也不会值10 元。他们要我为这个又小又旧的方巾讨10 元钱也太不合理了。我因为赶时间，就没有在跟他们理论。反正我以后在也不', '短评打分': 1}
{'短评内容': '我入住的商务大床房,两个人住,只有一双拖鞋,跟客房服务要,回复说没有.整层楼只有一两间房友客人住,让他们从其它房间调动一下拖鞋,还是不肯...\n\n至于,插座吗,还是一个答案:没有!总之你想要什么都得自理,自备!\n', '短评打分': 1}
{'短评内容': '住的条件不错，我住的是商务套间，两个卫生间，还不错，没有吃饭，不知餐厅如何。', '短评打分': 5}
{'短评内容': '交通地点方便性价比高,如果有早餐提供会更好了~\n\n', '短评打分': 5}
{'短评内容': '商务间的床比套间的大床小一圈，带个孩子无法三人一张床', '短评打分': 1}
{'短评内容': '酒店不提供早餐，套间是大床房，但只有一双塑料拖鞋，后索要被服务员告知套间就只配发一双拖鞋，我们夫妇两个就只能有一个光脚裸奔了。结账超慢，服务员不专业，酒店没有刷卡机，只能用现金。', '短评打分': 1}
{'短评内容': '一般凑合', '短评打分': 3}
{'短评内容': '不错！就是有点贵~这个季节没有热风也有点冷！', '短评打分': 5}
{'短评内容': '配套设施不太完善而且位置也有些偏，好在交通出行方便，其它各方面一般化.没有很特别之处.', '短评打分': 3}
{'短评内容': '房间装修还是一般，位置去找只能自己开车过去方便，服务还是一般，价格还是有些偏高。', '短评打分': 1}
{'短评内容': '这个楼的下面是写字楼，顶楼两层是宾馆，条件尚可，但服务不及纯粹的宾馆，性价比不高。', '短评打分': 5}
{'短评内容': '干净不错。', '短评打分': 3}
{'短评内容': '挺好的，离校园近，比较安静，很适合学生家长入住，', '短评打分': 5}
{'短评内容': '位于政法大学后面，交通便利从高速出来没多远就到，因为属于学校对外的酒店，设施和环境都很好。性价比合理。', '短评打分': 5}
{'短评内容': '还行~~以后还会考虑~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '离政法比较近，是学生家长投宿的最佳选择，个人认为性价比和环境均比大宅门好', '短评打分': 5}
{'短评内容': '房间还不错，位置对我来说还是很方便，价格也还行。毕竟我是经常去政法大学上课所以位置方面还是很不错的，总体还是挺满意的。', '短评打分': 5}
{'短评内容': '位置 环境 设施 服务还不错，价格稍有点贵，总体来说，还行', '短评打分': 5}
{'短评内容': '还行有点贵', '短评打分': 5}
{'短评内容': '卫生条件不错，很干净，服务很好，就是水龙头的出水量很小，其他都蛮好的。', '短评打分': 5}
{'短评内容': '入住很方便，环境安静，屋内设施齐备。退房的时等待时间稍长。', '短评打分': 5}
