{'短评内容': '还行，性价比高', '短评打分': 3}
{'短评内容': '整体还可以。价格合适，出差就睡个觉，还可以。设施有点旧。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错，还可以，性价比高！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好，有机会还会来这里', '短评打分': 5}
{'短评内容': '能订到十分好', '短评打分': 5}
{'短评内容': '还行，就是离我住的地方有点远', '短评打分': 4}
{'短评内容': '价格挺好的！周边交通方便', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '酒店性价比高，去火车站可做公交方便，酒店干净，有自助早餐', '短评打分': 4}
{'短评内容': '房间太小了 还有保安力度不够 出去一趟回来 门口全是小广告', '短评打分': 2}
{'短评内容': '房间不大五脏俱全，很温馨。离火车站也不远交通很方便。', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '交通方便，设施和环境不太好', '短评打分': 3}
{'短评内容': '离火车站有点远', '短评打分': 3}
{'短评内容': '整体来说还行，离火车站进，比较方便', '短评打分': 4}
{'短评内容': '服务不好！~~`住的房间不理想！~房屋被子显得旧！~交通还凑活。', '短评打分': 5}
{'短评内容': '还不错，环境还好，就是面积有点小', '短评打分': 5}
{'短评内容': '相对安静些，楼下有药店，吃饭的地方一般，离汉口火车站较近。', '短评打分': 5}
{'短评内容': '已是多次入住了，位置方便，住宿条件还行，就是自驾没有停车位。', '短评打分': 5}
{'短评内容': '住了3个晚上 很好的~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间挺大的，就是灯光有点暗，希望换一下好点的灯，屋里能亮一些', '短评打分': 3}
{'短评内容': '莫泰一贯来说还算是比较专业的。这个地方离火车站近，方便出行。', '短评打分': 5}
{'短评内容': '服务员服务态度挺好，总体不错，就是房间门隔音效果不是很好，酒店地理位置离汉口火车站大概2公里。', '短评打分': 5}
{'短评内容': '服务员态度很好，房间设施还比较齐全。第一次定的大床房靠马路，隔音效果不好，之后换了不靠马路的房间，虽然是小床的标间，但是至少睡觉比较安静了。', '短评打分': 5}
{'短评内容': '唯一的问题就是紧邻高架，噪音太大。说是大床房靠马路比较吵', '短评打分': 1}
{'短评内容': '还是不错，就是服务不太理想！！位置交通还是方便！', '短评打分': 5}
{'短评内容': '周边环境不怎么好 其他都还不错 酒店还可以', '短评打分': 5}
{'短评内容': '整体来说不错 就是周边环境有待提高  \n电视有待更新', '短评打分': 5}
{'短评内容': '房间很大，地方很方便，离汉口火车站很近，就是周围没有什么商圈。', '短评打分': 5}
{'短评内容': '八楼，装修风格、质量、早餐逊于武昌丁字桥分店。窗(纱)帘上有不少血迹。因处发展大道旁，往来车辆喧吵影响睡眠。但交通方便。', '短评打分': 3}
{'短评内容': '离火车站有一公里左右，交通挺方便的，商务大床只有1.5米。', '短评打分': 5}
{'短评内容': '交通方便，离汉口站不远2站路。168的气魄历来大，人感觉舒服', '短评打分': 5}
{'短评内容': '挺好的，前台外接电话反应有点慢，下次还会考虑的', '短评打分': 5}
{'短评内容': '酒店装修现代，地理位置优越，出行方便，服务人员热情', '短评打分': 5}
{'短评内容': '房间好小，门正对床，走廊所有声音直接传入，影响睡觉', '短评打分': 1}
{'短评内容': '就这价位来说,这个酒应该说还说得过去,只是隔音稍差了点!', '短评打分': 5}
{'短评内容': '比较满意，比7天舒服。', '短评打分': 5}
{'短评内容': '单人间均在马路边，太吵，根本无法入睡…', '短评打分': 3}
{'短评内容': '很好 服务也不错 很好 服务也不错 很好 服务也不错 很好 服务也不错 ', '短评打分': 5}
