{'短评内容': '临时的会所，条件很简陋， 不过床单很干净， 毛巾有待改进。 不过球场很好，', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '周围很安静，适合休息就是会有飞机的声音。早餐很好吃又干净虽然种类不算多。', '短评打分': 5}
{'短评内容': '不错，环境不错。但交通不方便，晚上静得有些害怕。', '短评打分': 5}
{'短评内容': ' 经济实惠，超级享受', '短评打分': 3}
{'短评内容': '太偏僻了，房间太适合商务出差了，198的房间写字台都没有的，318的才有个小小的台子。', '短评打分': 1}
{'短评内容': '地方还是蛮难找的，住的还可以，也很安静。\n网络速度一般，在线视频不流畅。\n早餐一般了，分量有些少。', '短评打分': 5}
{'短评内容': '同学聚会定的聚会场所，室内环境很好，设施一应俱全，可以做饭', '短评打分': 5}
{'短评内容': '酒店环境还好，价格还是可以房间住的还行，位置也就一般。', '短评打分': 3}
{'短评内容': '位置比较偏远，实在是没地方住了才来，也的确便宜，设施比较旧，有点压抑……住了一天，就迅速换地方了……', '短评打分': 1}
{'短评内容': '酒店的住宿环境不错，房间硬件设施还可以，比较齐全，服务蛮到位的，室内装修的很漂亮，整体感觉服务和住宿环境都不错', '短评打分': 5}
{'短评内容': '\n\n\n干净卫生很好', '短评打分': 5}
{'短评内容': '还未装修完成，入住率很低，园区环境不错，要开车去最方便，否则出行很不便利。房内冰箱里面什么都没有，电水壶很脏，不敢用，上网还行，电视设备太陈旧，无享受感。空调噪音太大，睡觉时不敢开。\r\n餐厅送餐口味还不错，收10%服务费。', '短评打分': 1}
{'短评内容': '服务不好，爱理不理的态度，办事效率低，', '短评打分': 1}
{'短评内容': '酒店设计的比较欧式化，服务还不错，设施一般点，整体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店的位置很好，出行很方便，交通很便利。', '短评打分': 5}
{'短评内容': '酒店的设施比较简单，服务还可以，比较一般，位置倒是还可以，不过主要还是设施问题，不方便。', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
