{'短评内容': '说实话，当时定这个酒店就是冲着能看见大佛去的，实际上看不到，虽然看不到大佛，但是江景也还不错，酒店的设施和服务真不敢恭维，不过十一黄金周，168的价格还是超值的～周边有很多非常棒的小吃，就冲这些小吃，我下次还会再来乐山的，下次打算在这家酒店附近找个好点儿的～', '短评打分': 4}
{'短评内容': '真心不错。可以随时上楼上看三江汇聚风景。大佛看的不太清楚。晚上灯光出来后还是慢慢欣赏的。', '短评打分': 5}
{'短评内容': '老板的态度还比较好，观景房房还可以。', '短评打分': 4}
{'短评内容': '房间设备比较旧，楼顶花园比较好，可看三江汇合。。', '短评打分': 4}
{'短评内容': '普标闹的房间比较小，设备比较旧，老板太度还好。', '短评打分': 4}
{'短评内容': '没有发票这是最不好的。', '短评打分': 3}
{'短评内容': '超级烂的地方', '短评打分': 1}
{'短评内容': '卫生太差，卫生间臭气让人恶心', '短评打分': 2}
{'短评内容': '房间好小，热水也不热，窗户外面就是岷江还不错。', '短评打分': 4}
{'短评内容': '能看见河流很不错的位置，能远远的看见大佛的头，很惊喜了，整体的配套不是很好，还有就是我住的房间的楼的夜晚灯一闪一闪的很不容易入睡，还好有窗帘。', '短评打分': 4}
{'短评内容': '私人小酒店，不过基本该有的还是有的，位置很好，临近江边，高，安静，就是半夜突然停电啊，不过服务态度还行，价格也不算贵，可以更便宜', '短评打分': 4}
{'短评内容': '酒店位置很好！卫生也不错！经济实惠！', '短评打分': 3}
{'短评内容': '不错，环境好，干净。', '短评打分': 3}
{'短评内容': '房间还不错挺干净的，喜欢天台的露天茶房！', '短评打分': 3}
