{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '早上9点前竟然没有热水，也没有人通知一下', '短评打分': 3}
{'短评内容': '非常好，卫生舒适', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '早餐还行，房间也不错，热水很好。', '短评打分': 5}
{'短评内容': '早餐一般，有停车位', '短评打分': 5}
{'短评内容': '是一家性价比较高的酒店，不靠路的一边很安静，出行方便，双床不靠路的多一些，大床靠路的多一些，住的很满意！', '短评打分': 4}
{'短评内容': '房间不错。', '短评打分': 5}
{'短评内容': '环境不错，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '高大上', '短评打分': 5}
{'短评内容': '床头没有插座很不方便 床头柜也较远 设计有严重缺陷 不过给前台一说马上就有插板送过来 反应还是及时的 其他各方面都不错 性价比很高', '短评打分': 4}
{'短评内容': '经常安排客人入住，一直获得客人满意评价。可以作为定点酒店。', '短评打分': 5}
{'短评内容': '性价比高，值得入住', '短评打分': 5}
{'短评内容': '方便、舒适！房间很好', '短评打分': 5}
{'短评内容': '第二次来住了酒店很不错，餐食也不贵。被子还有晒过太阳的味道，这点很满意！房间内还设有直饮水。价格便宜，性价比很高，希望继续保持下去', '短评打分': 4}
{'短评内容': '第二次来住了酒店很不错，餐食也不贵。被子还有晒过太阳的味道，这点很满意！房间内还设有直饮水。价格便宜，性价比很高，希望继续保持下去', '短评打分': 4}
{'短评内容': '房间寛大 网络不好 早餐较差', '短评打分': 3}
{'短评内容': '房间大，设备新，早餐差，服务员态度还算蛮好的', '短评打分': 5}
{'短评内容': '这家酒店挺好的，商务大床房很宽敞干净，下次来的话，还会继续选择他们，谢谢。', '短评打分': 5}
{'短评内容': '整体环境好，服务比较热情，设施中上等。早餐还需要改进，可以增加一些蛋糕，牛奶之类。', '短评打分': 5}
{'短评内容': '总体说来店还不错,但是上网不太方便，也许我自己的无线网卡设置有问题。', '短评打分': 5}
{'短评内容': '房间大，性价比高，地段一般', '短评打分': 3}
{'短评内容': '\n环境不错，配套设施挺好，以后还去', '短评打分': 3}
{'短评内容': '很新的酒店,外表普通,内在却很惊艳,房间很好,服务周到\\贴心,卫生很好,一切皆好.', '短评打分': 5}
{'短评内容': '绝对不要住，才装修两个月，味道很大。周边环境也非常不好，打车难，吃饭难，卫生也不好，乡镇一样。', '短评打分': 1}
{'短评内容': '酒店位置不错，新开酒店，各方面还都满意，楼层有小面包吃，比较温馨，早餐未吃，不知如何，前台接待较未生疏，总体情况不错，有个小伙子，不错，接待很热情。。', '短评打分': 5}
