{'descr': '非常不错的一家酒店，住着十分满意，必须点赞！', 'star': 5}
{'descr': '非常不错的一家酒店，住着十分满意，必须点赞！', 'star': 5}
{'descr': '洗手间配置的设备不行，洗浴用品也差', 'star': 5}
{'descr': '垃圾垃圾垃圾', 'star': 1}
{'descr': '空调声音有点大，也没有桌子，别的都挺好的', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '环境不错,酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。 ', 'star': 5}
{'descr': '1、前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', 'star': 5}
{'descr': '稀烂！', 'star': 1}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '！', 'star': 5}
{'descr': '这个酒店真不错。昨天出去有事，回来迟了，又续了一天。', 'star': 5}
{'descr': '环境不错，而且退房时间是14点前，比别的酒店12点前退房可以从容些整理东西再离开', 'star': 5}
{'descr': '朋友入住的，感觉还可以', 'star': 5}
{'descr': '其他都好，就是无线网不通', 'star': 5}
{'descr': '主要是离学校比较近，所以价格比较高。房间隔音一般，一进门就是床，空调也不太热，这天气一晚上挺冷的……', 'star': 4}
{'descr': '就那样吧，主要是离学校近，价格不便宜，空间还可以吧，空调是真的不怎么热。饮用水有股味道，煮完水上边总飘着水垢似的东西', 'star': 5}
{'descr': '推荐，要提前预定', 'star': 5}
{'descr': '还可以，交通方便，学校对面，常客', 'star': 3}
{'descr': '离机场很近', 'star': 5}
