{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '很好，非常好', '短评打分': 5}
{'短评内容': '离周庄很近，房间也很干净整洁，老板人很热情❤️', '短评打分': 5}
{'短评内容': '服务态度好，老板娘人也很热情，店离景点20米距离，而且买票旁边就有拍照的地方，别的地方要么没有要么远，很棒哦', '短评打分': 4}
{'短评内容': '挺干净的，阿姨人很好', '短评打分': 5}
{'短评内容': '非常不错 环境', '短评打分': 5}
{'短评内容': '老板热情，帮忙泊车，买票。', '短评打分': 5}
{'短评内容': '农家小楼，店家不错，帮忙买了便宜的票，带着去拍了照片，而且离着景点很近', '短评打分': 5}
{'短评内容': '很好的酒店，就是周庄已经不是之前的周庄了。。。', '短评打分': 5}
{'短评内容': '非常好呢！老板娘热情美丽、告诉我们去周庄有票要照相，这才没有浪费票！', '短评打分': 5}
{'短评内容': '不错，性价比很高，短期旅行选择不错', '短评打分': 5}
{'短评内容': '老板一家人很好，房间舒适', '短评打分': 5}
{'短评内容': '老板一家人很好，房间舒适干净', '短评打分': 5}
{'短评内容': '不错   猪蹄不错 都挺好吃呃呃呃', '短评打分': 5}
{'短评内容': '酒店位置好找，闹中取静，老板人很好，帮忙提行李！房间干净整洁！推荐', '短评打分': 5}
