{'短评内容': '卫生不怎么样', '短评打分': 4}
{'短评内容': '位置非常好，也很好找。附近有很多好吃的，楼下就是。房间也很大，空调比较给力，热水也足，住的很舒服，非常满意。此次选择非常满意', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '停车场很给力，，', '短评打分': 5}
{'短评内容': '非常适合我', '短评打分': 5}
{'短评内容': '帮朋友预定的，还算不错，', '短评打分': 4}
{'短评内容': '价格便宜，性价比高！', '短评打分': 4}
{'短评内容': '麻将房间性价比很高 ', '短评打分': 4}
{'短评内容': '宾馆挺干净的！', '短评打分': 5}
{'短评内容': '房间宽敞舒适透气清爽干净整洁，出行便捷交通便利', '短评打分': 5}
{'短评内容': '价格便宜，还送早餐。', '短评打分': 4}
{'短评内容': '挺好的，服务，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以！', '短评打分': 3}
{'短评内容': '环境卫生还好，就是隔音效果不是很好', '短评打分': 4}
