{'descr': '环境不错，路边也不吵', 'star': 4}
{'descr': '出差住到这的，前台刷预付操作失误，正常是二十四小时钱就反回账户，前台失误导致资金冻结一个月，打电话给前台死不承认，当天退房时就多刷我一百块钱我看了一眼发现不对给退的，太差劲了这个前台', 'star': 1}
{'descr': '房间比较小，设备也比较陈旧，还有就是房间和楼道蚊子太多了，但服务人员挺好的！定房不含早餐，又加钱吃的早饭！', 'star': 5}
{'descr': '房间比较小，设备也比较陈旧，还有就是房间和楼道蚊子太多了，但服务人员挺好的！定房不含早餐，又加钱吃的早饭！', 'star': 5}
{'descr': '早餐可以，就是有点凉，位置十分方便，，', 'star': 5}
{'descr': '酒店在当地算是不错的了，比较旧，设施什么的该改善了。酒店门前有极大的停车场，免费，也许是淡季的原因，空空荡荡的。', 'star': 3}
{'descr': '外观还不错，内部设施有点陈旧', 'star': 3}
{'descr': '来沧州就是住这，环境可以，买东西吃东西都很方便', 'star': 5}
{'descr': '环境可以，买东西吃东西都很方便', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '有些设施像3星，有些像4星。服务不错，下次还要入住！    黄骅港好像只有3条街，去哪里直接走过去就行了。附近找点吃的很容易 ！', 'star': 5}
{'descr': '尽量不要住阴面的房间，离自助餐厅太近，早上比较吵。', 'star': 3}
{'descr': '卫生，环境，服务多不错，就那里天气不太好。', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '推荐入住，周围绿化不错，就是冷清了点，还行!', 'star': 3}
{'descr': '酒店设施环境可以，饭菜一般有点贵，就是房间空间太小', 'star': 5}
{'descr': ' 谢谢', 'star': 3}
{'descr': ' 谢谢', 'star': 3}
{'descr': '不错不错，就是遇到装修吵人，为什么不在淡季搞装修或者停业装修？', 'star': 5}
{'descr': '不错不错，就是遇到装修吵人，为什么不在淡季搞装修或者停业装修？', 'star': 5}
{'descr': '作为航班周转我认为该酒店各方面都挺好，我这已是第二次入住，今后还会选择这家酒店。', 'star': 5}
{'descr': '作为航班周转我认为该酒店各方面都挺好，我这已是第二次入住，今后还会选择这家酒店。', 'star': 5}
{'descr': '酒店服务不错~宾馆房间干净~接机服务到位~不错不错价钱也适中', 'star': 5}
{'descr': '酒店服务不错~宾馆房间干净~接机服务到位~不错不错价钱也适中', 'star': 5}
{'descr': '有接送机服务,态度很好,方便,下次还要住.', 'star': 5}
{'descr': '有接送机服务,态度很好,方便,下次还要住.', 'star': 5}
{'descr': '还行，机场接机很到位，房间一般，适合候机。', 'star': 5}
{'descr': '还行，机场接机很到位，房间一般，适合候机。', 'star': 5}
{'descr': '酒店的接机服务很好，房间不大但挺干净的，酒店的赣州菜不错，推荐。', 'star': 5}
{'descr': '酒店的接机服务很好，房间不大但挺干净的，酒店的赣州菜不错，推荐。', 'star': 5}
{'descr': '不错很好', 'star': 3}
{'descr': '不错很好', 'star': 3}
{'descr': '不错 还挺干净的 性价比还可以 接送机服务不错', 'star': 5}
{'descr': '不错 还挺干净的 性价比还可以 接送机服务不错', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '挺好的', 'star': 3}
{'descr': '酒店价格公道，交通还可以，就是卫生条件有待进一步提高；', 'star': 5}
{'descr': '酒店价格公道，交通还可以，就是卫生条件有待进一步提高；', 'star': 5}
{'descr': '唯一好處就是離機場近，有接送機服務，其他都不怎麼樣。', 'star': 5}
{'descr': '唯一好處就是離機場近，有接送機服務，其他都不怎麼樣。', 'star': 5}
{'descr': '在北京中转住此还是很方便，有接机和送机服务，不错', 'star': 5}
{'descr': '在北京中转住此还是很方便，有接机和送机服务，不错', 'star': 5}
{'descr': '位置偏，除了离机场还算比较近以外，几乎没有什么值得推荐的。', 'star': 1}
{'descr': '位置偏，除了离机场还算比较近以外，几乎没有什么值得推荐的。', 'star': 1}
{'descr': '除了有机场接送服务之外找不到其他可赞赏之处.房间格局不合理,早餐除水都没有.', 'star': 1}
{'descr': '除了有机场接送服务之外找不到其他可赞赏之处.房间格局不合理,早餐除水都没有.', 'star': 1}
{'descr': '酒店的大堂太难找，在居民小区里。而且房间的设施也很难令人满意。', 'star': 1}
{'descr': '酒店的大堂太难找，在居民小区里。而且房间的设施也很难令人满意。', 'star': 1}
{'descr': '房间一般:很简单!主要是离机场近', 'star': 3}
{'descr': '房间一般:很简单!主要是离机场近', 'star': 3}
{'descr': '挺好的，只是价格有些贵，位置也不是很好。', 'star': 5}
{'descr': '挺好的，只是价格有些贵，位置也不是很好。', 'star': 5}
{'descr': '嗯，好', 'star': 3}
{'descr': '嗯，好', 'star': 3}
{'descr': '离机场近，价格也合适~住机场附近，主要图个方便~~要找条件好的，舒适的，还是进城的比较好。', 'star': 5}
{'descr': '离机场近，价格也合适~住机场附近，主要图个方便~~要找条件好的，舒适的，还是进城的比较好。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '作为一家在机场中转的酒店，提供接送和餐饮，如此的性价比还是非常划算的。', 'star': 5}
{'descr': '作为一家在机场中转的酒店，提供接送和餐饮，如此的性价比还是非常划算的。', 'star': 5}
{'descr': '不错。', 'star': 3}
{'descr': '不错。', 'star': 3}
{'descr': '地方有些难找，环境还可以，适合经常利用机场的客人。机场接送服务也挺好的。\n但是这次忘记叫早了，希望慎重对待叫早服务。', 'star': 5}
{'descr': '地方有些难找，环境还可以，适合经常利用机场的客人。机场接送服务也挺好的。\n但是这次忘记叫早了，希望慎重对待叫早服务。', 'star': 5}
{'descr': '酒店不错，离机场也不是很远，性价比还是比较高的', 'star': 5}
{'descr': '酒店不错，离机场也不是很远，性价比还是比较高的', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '我们三人已于2011年4月14日入住。二人住二夜，一人住一夜。共五夜。', 'star': 3}
{'descr': '我们三人已于2011年4月14日入住。二人住二夜，一人住一夜。共五夜。', 'star': 3}
{'descr': '主要看中的是离机场和新国展很近。价格不是很实惠。', 'star': 5}
{'descr': '主要看中的是离机场和新国展很近。价格不是很实惠。', 'star': 5}
{'descr': '酒店一般，接送机服务还可以............', 'star': 1}
{'descr': '酒店一般，接送机服务还可以............', 'star': 1}
{'descr': '离T3很近，提供免费送机服务，值得推荐的一家酒店', 'star': 5}
{'descr': '离T3很近，提供免费送机服务，值得推荐的一家酒店', 'star': 5}
{'descr': '挺方便就是早餐吃的差点。接机和送机是可以的。', 'star': 5}
{'descr': '挺方便就是早餐吃的差点。接机和送机是可以的。', 'star': 5}
{'descr': 'The price is very reasonable.    It took more than 30 minutes to get shuttle bus when I arrived at 4pm (rush hour).    My room is very old, and carpet is very dirty with huge stain.  However, bathroom', 'star': 5}
{'descr': 'The price is very reasonable.    It took more than 30 minutes to get shuttle bus when I arrived at 4pm (rush hour).    My room is very old, and carpet is very dirty with huge stain.  However, bathroom', 'star': 5}
{'descr': '不错，离机场近，没噪音，比较干净，据说还有班车（我们是自驾）', 'star': 5}
{'descr': '不错，离机场近，没噪音，比较干净，据说还有班车（我们是自驾）', 'star': 5}
{'descr': '酒店很好，室内干净，暖和，服务员服务态度好，离机场很近', 'star': 5}
{'descr': '酒店很好，室内干净，暖和，服务员服务态度好，离机场很近', 'star': 5}
{'descr': '接送机比较好 就是房间床好硬弹簧硌的浑身疼 不过凑合下还行 宾馆服务员也挺好', 'star': 5}
{'descr': '接送机比较好 就是房间床好硬弹簧硌的浑身疼 不过凑合下还行 宾馆服务员也挺好', 'star': 5}
{'descr': '酒店条件不好，还收费那么贵，服务态度也不好，在也不会住', 'star': 1}
{'descr': '酒店条件不好，还收费那么贵，服务态度也不好，在也不会住', 'star': 1}
