{'descr': '很好', 'star': 5}
{'descr': '价格便宜，吃得也方便，旁边有家吃得，水博梁山，味道很好', 'star': 3}
{'descr': '价格优惠，新装有气味', 'star': 3}
{'descr': '房间不错，附近吃饭方便', 'star': 3}
{'descr': '服务不错，卫生很干净', 'star': 5}
{'descr': '挺不错的，，，还好吧，，，行，，，', 'star': 5}
{'descr': '酒店除了位置远点之外其他的都还不错，吃饭的地方很多。', 'star': 3}
{'descr': '房间非常干净，空调很给力！房间大，有窗户有热水，有线电视（还是互联网电视）。', 'star': 4}
{'descr': '还不错！！', 'star': 4}
{'descr': '房间宽敞干净', 'star': 5}
{'descr': ' 不好找，周围环境很乱。内部装修还行，房间挺大', 'star': 3}
{'descr': '服务不够敬业', 'star': 3}
{'descr': '非常差劲，这价位十分不值，第一次也是最后一次入住，哪是快捷酒店，分明就是小旅馆，发票也有问题。失望透顶！', 'star': 3}
{'descr': '服务挻好', 'star': 3}
{'descr': '酒店设施较陈旧，房间有异味，服务一般，位置在一小街里不太好找。', 'star': 1}
{'descr': '房间较大、简洁，附近交通、吃饭很方便，服务尚好！但网线安在床头、每次要索取接头和加长线不方便，空调不给力，一不小心就感冒。。。', 'star': 5}
{'descr': '设施一般，卫生尚好；位置较隐蔽、比较难找；网线在床头柜旁，不太方便，建议全部安置在和电视机连带在一起的桌上。服务还不错！一般推荐。。。', 'star': 5}
{'descr': '房间环境尚可，但设施太旧太老，尤其是卫生间，毛巾、浴巾估计是开业至今没有换过新的，都破掉、发黑。墙上斑斑点点，很脏。如果你住惯了锦江之星、如家、速8等快捷酒店，那么来这你肯定后悔。', 'star': 1}
{'descr': '房间干净、温馨。就是空调制热效果不太理想。总体来说还不错。', 'star': 5}
{'descr': '位置有点偏僻、吃饭还是比较方便，出门打车要步行150米左右。', 'star': 5}
{'descr': '卫生、安全，服务尚可，酒店位置很难找，但周边还比较热闹，饮食比较方便。', 'star': 5}
{'descr': '房间大,居然不能刷卡,给二百押金,安排到五楼,消费品撤掉,不信任咱,几个房间在装修,有点吵,下次不住了.', 'star': 3}
{'descr': '酒店比较小，但是房间不错，很大很温馨，也很干净', 'star': 5}
{'descr': '房间宽敞，但是设施陈旧，服务太度很好！', 'star': 3}
{'descr': '位置不错，隐在巷子里，挺安静的。服务态度也很好，就是房间有些发霉，不过也可以接受。关键住店时把手机丢在了柜台上还帮我找了回来，很是感谢！', 'star': 5}
{'descr': '该酒店离长途汽车站很近,离办事地点也很近,就是不是好找.酒店装修还可以,就是隔音效果不是很好.价格算还行吧,性价比没想象的好.', 'star': 5}
{'descr': '酒店设施陈旧，处在一片民房簇拥下的小巷子里。洗脸盆撬起在台面上，马桶漏水（叫客房过来修过两次，还是没修好，服务员很雷人：就让它漏吧），花洒也是坏的，四处喷水。周六过来的，平时148的房间卖268，不能刷卡，到店后硬是让我出去到处找银行取现金，太不可思议了。不过服务员态度还好。住了一晚，待会儿退房，下次不会再考虑这个酒店了。', 'star': 1}
{'descr': '设施比较陈旧，还有点霉.。。。。。。。。', 'star': 1}
{'descr': '条件一般，软硬件都不怎么样。服务也不是很好', 'star': 1}
{'descr': '挺安静的，不够人性化一点。刚入住有个朋友也来了，也要了个房间', 'star': 5}
