{'短评内容': '观景酒店 所以住处稍高 行李多会比较累 房间设计很喜欢', '短评打分': 5}
{'短评内容': '房子不错，在四方街附近 ，不算吵 ，要爬一小节坡，但是爬上去之后有全城风景，老板服务很好，有人接送箱子，建议早餐弄好一点，鸡蛋馒头都凉了。其它不错', '短评打分': 5}
{'短评内容': '搞半天在山腰上，爬台阶爬的好累啊。客栈工作人员态度不错，就是我们几个在找酒店的时候，打电话好几次她也说不清楚位置，我们说了我们所在位置，她也好几个电话才搞清楚。。帮我们抬行李的大叔实在不容易，扛着箱子爬都比我们走的快很多。至于房间里是没空调的，有个小电暖气，表示还是很冷，当天澡都没洗。。不过装修风格还是蛮赞的，神马时候升级下设施就更好了。 ', '短评打分': 4}
{'短评内容': '房间图片拍的好，实际比较简陋感觉。门窗都是破的，漏风。', '短评打分': 3}
{'短评内容': '有机会再来', '短评打分': 5}
{'短评内容': '来丽江发呆两天，最终选择这里，环境舒适，观景阳台视野很棒，四方街附近，出行游玩很方便。', '短评打分': 5}
{'短评内容': '非常非常满意，酒店服务很满意！', '短评打分': 5}
{'短评内容': '非常非常满意，酒店服务很满意！', '短评打分': 5}
{'短评内容': '空调不够给力，其他还可以。', '短评打分': 5}
{'短评内容': '酒店服务很好，但是空间不大，卫生间淋浴头需要改进', '短评打分': 5}
{'短评内容': '不错                                                           ', '短评打分': 5}
{'短评内容': '觀景台還不錯', '短评打分': 4}
{'短评内容': '設計還是蠻特別的，也很漂亮，就是設施陳舊了，馬桶和淋浴都生鏽了', '短评打分': 4}
{'短评内容': '地理位置很好，离古镇很近，出游方便。而且在狮子山上，观景古镇一览无遗。晚上楼下就是酒吧，歌手小伙又帅唱的又好听，很棒的！', '短评打分': 5}
{'短评内容': '晚上旁边酒吧太吵，别的还好', '短评打分': 4}
{'短评内容': '晚上有酒吧在旁边太吵', '短评打分': 4}
{'短评内容': '很不错的一家客栈、风景也很美、服务也很热情、下次去还会住着家！', '短评打分': 5}
{'短评内容': '酒店在山上，离古城入口比较远，还好管家有接送服务，所以还不错。房间没有照片上那么漂亮，有点小失望。不过有地暖。洗漱用品齐全，不过床单就不够干净。公共平台可以俯瞰整个大研古城。吃早饭的时候可以欣赏。', '短评打分': 4}
{'短评内容': '软软的床，简约的设计风格，很喜欢，值得推荐！期待下次丽江之行，能够入住最好的那件房。', '短评打分': 5}
{'短评内容': ' 房间相当给力！柔软的床啊！', '短评打分': 3}
