{'短评内容': '服务超级好，热情解决问题，好评', '短评打分': 5}
{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '服务不错，挺干净的，满意', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '好好好，，，，，，，，', '短评打分': 5}
{'短评内容': '服务人员不错，否则一星都不给。酒店贵，离会展中心其实挺远，房间很小，设施陈旧，停车场还收费。', '短评打分': 1}
{'短评内容': '好好好', '短评打分': 4}
{'短评内容': '在会展中心附近，地段很好，就是房间不大，设施环境一般般，但也简单整洁，出差住的话还是挺方便的', '短评打分': 4}
{'短评内容': '全季还是很靠谱的，但可能因为深圳比广州地皮更贵，感觉这家全季同样的房型比广州的要小些。', '短评打分': 5}
{'短评内容': '不错的选择，床垫睡着很舒服，服务很好，', '短评打分': 5}
{'短评内容': '不错，服务也好，值这个价钱了，连住了几天。', '短评打分': 5}
{'短评内容': '市中心 便宜 服务好', '短评打分': 5}
{'短评内容': '住了多次了，满意，就是有点小贵', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好，每次出差都住这里，在客户边上', '短评打分': 5}
{'短评内容': '花了600住了如家规格的酒店，简直不能更令人不满了，房间面积很小，门的设计让人很没安全感，非常的简单，而且里面设施很差电梯都不是专用的上个电梯都麻烦，早餐简单的不能更简单了，坑人简直，建议出差的小伙伴还是不要住了——第一次住全季就这么个体验，简直不想再住全季酒店了！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这里的床算是非常舒服的，每天都能睡个好觉，周围环境不错，小店挺多，毗邻学校晚上很安静', '短评打分': 5}
{'短评内容': '酒店位置在离会展中心地铁站小有一段距离，但楼下小吃店很多，如果需要兼顾离福田CBD近和吃的方便的话，这家酒店应该是不二之选。酒店大堂不很显眼，但房间设施都比较新干净，有现代气息。电梯有到不同楼层的区分，可能会稍微多用一些时间。', '短评打分': 5}
{'短评内容': '交通便捷，服务优质', '短评打分': 4}
{'短评内容': '地理位置很方便，房间卫生及服务都不错', '短评打分': 4}
