{'descr': '酒店就在地铁口，很方便。周边购物和餐饮业很好。', 'star': 5}
{'descr': 'Super convenient if you have to go to HongQiao for flight or train. Right out of a subway station. Nothing fancy about the hotel', 'star': 4}
{'descr': '地理位置很好，房间比较大，干净', 'star': 5}
{'descr': '多拿张充电卡也拿不到，不知道该怎么评论了', 'star': 4}
{'descr': 'Great location right next door to subway entrance and ideal stop over for hongqaio airport.', 'star': 4}
{'descr': '服务很差', 'star': 3}
{'descr': '为什么又说我没有入住，所以8460是鬼住的吗', 'star': 3}
{'descr': '住了很多次了，主要是因为出地铁站就是，位置非常好，出行方便，吃的也多，晚上也很安静，电视可以回看，数码电视，网路也好，非常值得推荐。', 'star': 5}
{'descr': '住了很多次了，主要是因为出地铁站就是，位置非常好，出行方便，吃的也多，晚上也很安静，电视可以回看，数码电视，网路也好，非常值得推荐。', 'star': 5}
{'descr': '空调有点冷没什么作用晚上好冻', 'star': 4}
{'descr': '性价比高，交通方便，餐饮２４小时周边都有', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '忘记拿水单了，打电话，请帮忙再打印一份，请帮忙寄出，真不错，给寄了，很快就收到了，非常感谢！要不报不了销了！', 'star': 5}
{'descr': '酒店不错，紧邻地铁，交通方便！', 'star': 5}
{'descr': '住在这里主要是因为交通方便,在地铁2号线,北新泾站4号出口', 'star': 5}
{'descr': '离地铁很近，周围还有不少吃的，不错\n离地铁很近，周围还有不少吃的，不错', 'star': 5}
{'descr': '环境很好，卫生也好，前台服务不错，是一家值得推荐的酒店，OK', 'star': 5}
{'descr': '房间不错，我和朋友都很满意，床不硬不软，屋内很干净，而且交通太方便了，出了酒店就是地铁，但是又不是很吵，总之挺满意。', 'star': 5}
{'descr': '很好的酒店、地点便利，环境也好', 'star': 3}
{'descr': '酒店交通非常方便，干净卫生，网速也还不错', 'star': 5}
{'descr': '离地铁站很近是一个亮点，但除此之外就没有了。', 'star': 1}
{'descr': '交通非常方便，距离2号线4号出口仅15米左右。周围吃饭非常方便。', 'star': 5}
{'descr': '地铁站的上方， 很干净，服务很好， 就是很抢手， 完了就订不到房间， 而且去要担保', 'star': 5}
{'descr': '酒店家庭便利，卫生很不错，性价比高,我每次出差都住这里', 'star': 5}
{'descr': ' 地铁上的宾馆果然名不虚传，让出行非常方便，而且服务态度也很棒。', 'star': 3}
{'descr': '酒店不错，干净整洁，价钱不贵，安全，访客乘电梯须刷房卡登记，增加住店安全。', 'star': 5}
{'descr': '豪华行政大床房不错，其他一般', 'star': 3}
{'descr': '好。我觉得比Rujia什么的要强。走廊比较宽敞。而且很方便。北新泾地铁4号口出来就是。门口有个味千拉面，还有富春小笼，还有个超市。酒店对面有个商场，下面也有吃的。到市区坐地铁就行，很方便。还是个不错的选择', 'star': 5}
{'descr': '不错，地点好，购物方便而且乘地铁特方便。附近吃饭啥的也多，下次去上海还住那', 'star': 5}
{'descr': '经济实惠。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '交通方便，服务态度还可以', 'star': 3}
{'descr': '距离上海2号线北新泾站4号出口约10米，交通十分方便，且附近有许多小吃店，楼下也就有全家等24小时便利店，还有85°C面包房。且宾馆全覆盖WIFI。唯一不足之处，就是水流太小，可能是我洗澡的时候用的人太多，就跟滴水一样，如果能够改善的话，就太好了。', 'star': 5}
{'descr': '交通便利， 附近有不少餐饮店。 有点吵，机场附近的入住好选择。', 'star': 5}
{'descr': '1 干净-安静-安全\n2 出行方便-性价比高-强烈推荐', 'star': 5}
{'descr': '很好好干净好方便', 'star': 3}
{'descr': '还不错  真的很方便~  2号线 出来就是了', 'star': 5}
{'descr': '地理位置的确很方便，出门就是地铁，如果飞机落虹桥机场的话，住这里最好，酒店价格也公道，不算太贵', 'star': 5}
{'descr': '1、交通方便，地铁2号线出口即到。\n2.消费方便，有便利店，小吃点，还有餐馆。\n3、房间可以无线上网。\n4、早餐挺丰盛。', 'star': 5}
{'descr': '1、地铁2号线出门即到，交通方便。\n2、出门消费很方便，有便利店，小吃店，还有餐馆。\n3、房间内可以无线上网。\n4、早餐比较丰盛。', 'star': 5}
{'descr': '酒店很不错，服务卫生都很满意,性价比高。以后每次出差都会考虑住这里。', 'star': 5}
{'descr': '交通很方便，离2号线出口只有10米距离；房间干净；附近小吃店较多；只是离地铁太近了，地铁的声间有点吵。', 'star': 5}
{'descr': '因为第二天要赶飞机，才住了这个酒店。\n酒店出门就是地铁口，很方便。\n到上海虹桥机场20分钟。\n酒店性价比还可以。干净。推荐！', 'star': 5}
{'descr': '帮朋友订的，朋友很喜欢，每次都是住这家。', 'star': 5}
{'descr': '还好挺干净', 'star': 3}
{'descr': '除了隔音有点差 其他都不错 附近吃的地方挺多的 很方便', 'star': 5}
{'descr': '地点非常好，周围的饮食交通都很便利，价钱也相当合理。', 'star': 5}
{'descr': '还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!还好!', 'star': 5}
{'descr': '已经是笫二次入住了，整体感觉还是好的，当然也有点遗憾，如果前台服务热心些·······', 'star': 5}
{'descr': '    更正一下，是北新泾4号出口，5号出口出来要从右边走绕走马路路口，拖着行李实在不便。4号出口出来走两步就是酒店，地理位置超级优越！但从5号口上来地下一路经过N多餐饮店，如果就餐那是相当方便。\n    住在2号线上，去南京西路只要20分钟，去虹桥2号航站楼也只需20分钟。\n    再说服务态度，没有感觉任何不好的地方，可能是我遇见的服务员素质高吧。\n    再说地铁噪音，比起广州南航商务酒店、', 'star': 5}
{'descr': '就是交通方便，其他一般', 'star': 3}
{'descr': '以前看过点评：1、“明明是常入住的老客人，也很冷淡，好像眼里只有收入往来，经营理念、员工教育好像不大气”2、“不晓得为什么，来过几次，这里前台的态度实在太冷淡，问什么不知道什么~~ ”3、“服务态度不敢恭维啊，”4、“总台服务员态度不好。”这次去感觉，前台工作人员的确不怎么样，好像白给我们住店的，表情不耐烦，客人多少与她们何干！', 'star': 1}
{'descr': '第二次入住，今后应该还会来！第二次入住，今后应该还会来！', 'star': 5}
{'descr': '不错，舒适不需要理由，你懂得！！！！！！！！！！！！！！', 'star': 5}
{'descr': '不错！舒适的理由不需要理由！赞美不需要华丽的语句！', 'star': 5}
{'descr': '酒店交通真的挺方便，就在二号线北新泾5号出站口。只是隔音太差了，邻房的呼噜声太给力了，一夜无眠啊！', 'star': 5}
{'descr': '就在地铁上面，非常方便，设施有点旧但是还过得去。', 'star': 5}
