{'descr': '舒适度一般，', 'star': 3}
{'descr': '垃圾中的战斗机', 'star': 1}
{'descr': '卫生、设施设备确实不杂的～', 'star': 3}
{'descr': '环境不好      浴室很脏     澡都没发洗     毛巾浴巾都没有', 'star': 2}
{'descr': '环境不好       跟照片区别大', 'star': 2}
{'descr': '蛮符合网上说的条件的，而且服务态度很好，总体来说不错！值！', 'star': 5}
{'descr': '还行  不过有点远  ，不过总体还行，晚上热水也还可以  就是厕所有点小  其它的总体还是差不多  对得起那个价位了', 'star': 5}
{'descr': '挺好的,空调不给力.房间虽然没有宣传的那么好,不过,也不错了,尤其房间里放了一台电脑,用起来 很是方便 .这个宾馆在天不冷不热的时候,住起来是很舒服的.', 'star': 5}
{'descr': '不错，床睡着很舒服，离火车站和汽车站都很近', 'star': 5}
{'descr': '酒店还不错', 'star': 3}
{'descr': '环境好,宽敞,舒适,就是旅游服务不到位.', 'star': 5}
{'descr': '离重庆北站很近，如果不追求环境住这里可以，环境一般，隔音不好，电视太小，如果不是第二天一早的火车绝不住这里。', 'star': 3}
{'descr': '预订房间与入住房间不一致，最终导致我多花钱，换房间', 'star': 1}
{'descr': '＋好', 'star': 3}
{'descr': '老板很好，有间新的酒店开业，安排我们临时住下，环境不错，装修很新，赞一个，就是 以后入住的话要事先清洁下，希望再接再厉。周边很热闹，有很多小吃。很适合我们自由行。', 'star': 5}
{'descr': '今年是我儿子上大学，全家一路来到年轻又美丽的重庆，我们入住与重庆红叶商务宾馆，服务热情，态度和蔼，我们住在10楼夜晚可以看到重庆的万家灯火，美丽的夜景带走一路的疲惫。几天的入住白天游玩晚上回来就像来到家里，洗个澡、看看电视、儿子上网，真是不错。祝“重庆红叶商务宾馆”的所有工作人员身体健康、万事如意。', 'star': 5}
{'descr': '不开机打发票。', 'star': 3}
{'descr': '＋好', 'star': 3}
{'descr': '总的感觉还不错，服务态度比较好。老板很热情。', 'star': 3}
{'descr': '很好，服务热情，态度和蔼，房间卫生干净，有“宾至如归”的感觉。', 'star': 5}
