{'短评内容': '还不错，位置便利，离地铁站近', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 4}
{'短评内容': '这家酒店比较实惠', '短评打分': 5}
{'短评内容': '这家酒店价格实惠', '短评打分': 5}
{'短评内容': '便宜相当值，干净卫生，就是靠近路边有点吵', '短评打分': 5}
{'短评内容': '去到了才说没有138的大房，换了一个小房，真不行', '短评打分': 3}
{'短评内容': '还是不错吧，环境也可以的，', '短评打分': 3}
{'短评内容': '设施非常一般，服务还可以。', '短评打分': 3}
{'短评内容': '还不错，就是wifi信号差了点', '短评打分': 4}
{'短评内容': '这个是一个不错的经济型酒店,适合临时来广州玩,比较便宜', '短评打分': 5}
{'短评内容': '房间里空气很不好，有种发霉的味道，很重，为了自己健康，不要入住。', '短评打分': 1}
{'短评内容': '这个价位还是比较合理的。交通方便。值得推荐，但是不可要求太高。', '短评打分': 5}
{'短评内容': '房间蛮大的  卫生条件一般', '短评打分': 3}
{'短评内容': '酒店太烂,床单被套又脏又黑又有味,薰的一宿没有睡,服务态度生硬,没有诚信,说好的免费停车去了不认帐', '短评打分': 1}
{'短评内容': '这酒店不错，还好。', '短评打分': 3}
{'短评内容': '很烂的酒店，服务差，所有的东西又破又旧', '短评打分': 3}
{'短评内容': '房间很不错，干净，配套设施也还不错，服务态度很好，楼下就是酒店。交通方便，可以漫步珠江边，欣赏珠江夜景，还可去去逛逛文化公园，靠近高架桥，却不吵，房间的隔音效果太好了！物有所值，对得起这个价！强烈推荐！那天喝醉酒入住的，所以就没拍照了。', '短评打分': 5}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '感觉不错，价格还合理。那单价间还比较大，床也挺大的。', '短评打分': 5}
{'短评内容': '住宿非常满意  遗憾的是没早餐', '短评打分': 3}
{'短评内容': '位置不错，交通便利，没大厅，楼下是早茶馆，到也方便。房间设施简陋，晚上靠近内环一侧噪音大。平日这个价说得过去，五一期间番一倍，有点不值。', '短评打分': 5}
{'短评内容': '傍晚出门打车比较困难', '短评打分': 3}
{'短评内容': '就是隔音不好.  其它的都还可以\n就是隔音不好.  其它的都还可以\n就是隔音不好.  其它的都还可以', '短评打分': 1}
{'短评内容': '广州丽丰', '短评打分': 3}
