{'短评内容': '适合家庭出游，前台也很贴心', '短评打分': 5}
{'短评内容': '到了酒店以后，直接给我们升级了房间～', '短评打分': 5}
{'短评内容': '干净舒适、态度热情周到，早餐样数较多，满意。', '短评打分': 5}
{'短评内容': '位置不是太好找不过挺清净的，早餐一般，房间很不错，性价比挺高的，停车场是露天的也很方便，下次来应该还会选这家。', '短评打分': 5}
{'短评内容': '干净，环境不错', '短评打分': 5}
{'短评内容': '国庆时候去的，酒店有点年限但管理还不错', '短评打分': 5}
{'短评内容': '干净整洁，环境好', '短评打分': 5}
{'短评内容': '干净整洁，环境很好', '短评打分': 5}
{'短评内容': '很棒不错非常好……………………………………………………………………………………值的一住么非常好么么哒', '短评打分': 5}
{'短评内容': '宾馆不错，四星级很低调，周边小吃、餐饮、玩乐项目很多，离蒋氏故居、武陵头等都很近，步行几分钟就到达了。', '短评打分': 4}
{'短评内容': '房间设施不错，管理有待提高，在当地算是最好的1家酒店', '短评打分': 4}
{'短评内容': '国庆出游的，价格偏高，', '短评打分': 4}
{'短评内容': '房间内有蟑螂，看图，立刻一点好感都没了，卫生好差。早点太垃圾，吃素可以，但起码得有阿，我们下来不太晚，啥都没，剩下的一点还做的很难吃，问加不加，服务员说不加了，服务好差。不会再来。', '短评打分': 1}
{'短评内容': '房间相当的好，也很少找的，房间里也没有味道，离景点又近，造成很有特色，是素食的，还是第一次吃，值得再去一次。', '短评打分': 5}
{'短评内容': '不错，房间够大，床够大（标间），因为不是旺季所以免费升房了。个人感觉物有所值。', '短评打分': 5}
{'短评内容': '交通方便，环境不错，早餐是素食有点不习惯啊?～', '短评打分': 4}
{'短评内容': '酒店是溪口最好的酒店了，早餐有特色，房间也不小', '短评打分': 5}
{'短评内容': '内部设施远胜酒店外观，在当地应算较好的了', '短评打分': 3}
{'短评内容': '酒店位置不错，离蒋氏故居确实挺近的，有停车位，蒋氏故居景点比较分散，如果不想走路，可以租个三轮车，每人30元。酒店卫生状况不错，不过卫生间和淋浴是半开放的（透明），有些可能就不方便。', '短评打分': 4}
