{'短评内容': '早餐非常棒！装修有点旧，不过还行', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '不错的好的', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '太差了不了這话', '短评打分': 1}
{'短评内容': '差差差太差了', '短评打分': 2}
{'短评内容': '酒店服务很不错', '短评打分': 5}
{'短评内容': '酒店不错，推荐入住。', '短评打分': 5}
{'短评内容': '还不错，房间挺大的。服务也不错', '短评打分': 5}
{'短评内容': '预定的处理速度稍微有些慢 酒店很老了 但是很多细节做的比五星的还要好 很用心 值得一住', '短评打分': 5}
{'短评内容': '环境不错，房间干净', '短评打分': 5}
{'短评内容': '房间够大，床也比较舒服', '短评打分': 5}
{'短评内容': '帮公司订的，应该不错，又续订了2间。', '短评打分': 5}
{'短评内容': '房间卫生干净，床很舒服。', '短评打分': 4}
{'短评内容': '差 太差 破破烂烂 怎么住啊  太垃圾了 真的是难以入眠 这个四星是假的吧！！！！ 几十年前的配置吧 ', '短评打分': 1}
{'短评内容': '老牌子，位置佳，798近。老牌子，位置佳，798近。老牌子，位置佳，798近。老牌子，位置佳，798近。老牌子，位置佳，798近。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老牌饭店。很好', '短评打分': 5}
{'短评内容': '性价比高，周边环境一般，酒店中规中矩', '短评打分': 4}
{'短评内容': '服务好 环境好 卫生好', '短评打分': 5}
{'短评内容': '服务好 环境好  卫生好', '短评打分': 5}
{'短评内容': '服务好 卫生好  环境好', '短评打分': 5}
{'短评内容': '床很舒服，隔音也不错，早餐略显简单。', '短评打分': 5}
{'短评内容': '北京丽都维景酒店很好', '短评打分': 5}
{'短评内容': '环境还是不错的，就是打车要走的远，周围吃的较少', '短评打分': 5}
{'短评内容': '还不错，主要是想找家离机场很近的酒店，这家性价比比较高吧。', '短评打分': 5}
{'短评内容': '以前住过几次，孩子们很喜欢周围的环境，总体不错', '短评打分': 5}
{'短评内容': '服务员还是较负责的，餐厅食物也不错。以后可能还继续住。', '短评打分': 5}
{'短评内容': '属于较老式酒店，设施和现代酒店有差距，由于我本人住在豪华套间，空间很大，所以较为弥补了和大酒店的感觉。属于性价比较高的酒店。\n', '短评打分': 5}
{'短评内容': '酒店不错，位置也好，方便逛街和其他商务出行，以后还会选择，服务态度也不错，推荐一下', '短评打分': 5}
{'短评内容': '不错，就是内部有点陈旧', '短评打分': 3}
{'短评内容': '来过几次，今天终于入住了。感觉房间较小，但很干净，服务不错，与同档次酒店比装修陈旧了点。', '短评打分': 3}
{'短评内容': '北京最早的涉外酒店，老是老了点，不过入住的基本上都是外宾。晚上广场有露天酒吧和表演。露天吧对面的意大利餐厅据说不错。丽都商圈有许多不错的餐厅，推荐梧桐餐厅。\n总体还不错，要是能把房间内部翻新的话，相信会更好。', '短评打分': 5}
{'短评内容': '帮人做的预订，离机场较近的酒店，可能外宾喜欢吧 但是在预定时出现了点故障！', '短评打分': 5}
{'短评内容': '大厅休息处的桌子的架子是角钢焊接的，看起来档次有点低，建议更换，。\n服务热情，待人接物好。', '短评打分': 5}
{'短评内容': '是办事地方最近最好的酒店，不过早餐是不含的，还得自己掏钱，呵呵！', '短评打分': 5}
{'短评内容': '离开会的地方近，房间还算宽敞，下次来开会还住它，要是这个价格能够包含早餐就更好了。', '短评打分': 5}
{'短评内容': '帮人做的预订，离机场较近的酒店，可能外宾喜欢吧。', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠的，就是设施老旧些了。', '短评打分': 5}
{'短评内容': '为出差来北京的客人订过几次，据说还不错。', '短评打分': 5}
{'短评内容': '饭店环境很好，房间很舒适，早上的自助餐不错，下次还住', '短评打分': 5}
{'短评内容': '价格贵 但是内部设备有点差， 而且太多的噪音， 没那么好的酒店', '短评打分': 1}
{'短评内容': '  酒店很好', '短评打分': 3}
{'短评内容': '这家酒店适合外宾居住,但酒店的一些设施有些陈旧.', '短评打分': 5}
