{'短评内容': '同上，人少安静，早餐品种少', '短评打分': 5}
{'短评内容': '人少，早餐品种也少', '短评打分': 5}
{'短评内容': '性价比很高，地段好，离机场近，超级推荐', '短评打分': 5}
{'短评内容': '挺好，挺干净', '短评打分': 5}
{'短评内容': '服务台的人很好！可是餐厅的食品不好吃了', '短评打分': 3}
{'短评内容': '曲径通幽处 禅房花木深 很不错的地方 房间也干净 闹中取静', '短评打分': 5}
{'短评内容': '环境幽雅', '短评打分': 5}
{'短评内容': '我对酒店的要求，一直按价格衡量，花白菜的钱想买金子，不现实。不过即便这样，也被这家酒店打败了。唯一能被认可的就是服务人员的素质的确很好。接着，前方高能：首先，进酒店的路在修，请摆盏灯好么？？漆黑一片，地上泥泞（最近上海多雨）。其次，这不就是售楼处改成了几间客房？前台只有一个女孩，给了房卡，自己要穿过幽深的走廊，路过若干个漆黑的拐角。然后，屋里只有三盏灯！无比昏暗！咨询被告知所有房间都这样！最后，卫', '短评打分': 3}
{'短评内容': '设施不错，空间够大，就是暖气不够，外面有施工比较吵', '短评打分': 4}
{'短评内容': '设施不错，空间够大，就是暖气不够，外面有施工比较吵', '短评打分': 4}
{'短评内容': '哈海深海深爸爸爸爸北奔张标俺们宽松韩版', '短评打分': 4}
{'短评内容': '非常一般，但是周边环境不错，头一次遇到早餐七点才开始的… 没吃上… 哎', '短评打分': 3}
{'短评内容': '酒店环境较好，安静。内部设施也较新。服务周到。以后有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店很舒服很幽静', '短评打分': 3}
{'短评内容': '很好的酒店，软环境很好。已经入住过很多次了，就是有时定不上房间。今后还会入住', '短评打分': 5}
{'短评内容': '周边稍有档次，环境好，私房菜，管理服务稍逊色，房间局促，网络太差！', '短评打分': 3}
{'短评内容': '酒店不错，值得推荐，而且价格还实在可以返利100元', '短评打分': 5}
{'短评内容': '酒店很有特色，性价比很高！非常安静！ 地段离虹桥机场很近，很方便。餐厅的早餐是分为中西两种，选择性不多，如果点菜的话，菜品做的还是不错的。', '短评打分': 5}
{'短评内容': '比较幽静..........ok!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '环境不错，非常雅致。很舒服，很干净，很热情。', '短评打分': 5}
{'短评内容': '很不错的推荐。环境安静，喜欢！', '短评打分': 3}
{'短评内容': '酒店交通方便，房间舒适，价格也合适，下次还住', '短评打分': 3}
{'短评内容': '酒店所处的位置距离虹桥机场很近，10分钟的路程。非常方便。酒店客房很有情调，但是房间是中央空调，上次住的时候，很冷。不知道怎麽调热风。', '短评打分': 5}
{'短评内容': '酒店很干净，装修也很舒服漂亮，隔音好，价格合理，离虹桥机场较近。房间较小，没有办公桌放电脑，床不是很舒服。门口没有人帮忙提包，要自己提行李，推开很重的门，走台阶到前台。早上退房也没有人主动提行李到门口。早餐很简单。', '短评打分': 5}
{'短评内容': '感觉像是售楼处改酒店，赶早晨飞机住住不错，幽静且房间比较干净', '短评打分': 5}
{'短评内容': '酒店的装修不错，环境也好，很适合有自驾车的客户。', '短评打分': 5}
{'短评内容': '酒店位置尚可，离虹桥枢纽比较近，打车不到20块。早餐虽然不是自助但味道不错。\n\n没有电梯，没有行李员。前台服务很不专业，入住时我用护照登记，服务生坚持要扣下护照，说是明早要打电话到公安局备案，当晚不能退还，还说是上海当地公安局规定。最后出示中国驾照代替，用这个就只留复印件即好。想不明白，在上海住酒店也从未遇到过类似情况。\n\n房卡上标的房号和楼层及房间号码对不上，提着箱子转了一圈找不到房间，交给客人', '短评打分': 1}
{'短评内容': '小绿地中的个性公馆，公共空间规划佳、设计颇具简约风格。\n客房少，所以宁静；房间略小，但配备齐全足乎使用。感觉不错！', '短评打分': 5}
{'短评内容': '开车的话很方便，就是周围荒凉了点~ 环境不错，很安静', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友很满意，开车的话很方便，环境也很好。', '短评打分': 5}
{'短评内容': '完全没有网上的照片那么漂亮  酒店的环境也真的很一般 真的好差啊 以后再也不住了 早餐也非常的不好 最多价值10元钱', '短评打分': 1}
{'短评内容': '必须不错，我喜欢，清净，整洁，档次不低，性价比超高，\n\n早上阳光透过花园进来，很舒服，装饰没有一点背离风格的地方，\n\n就是早餐小有单调，而已。', '短评打分': 5}
{'短评内容': '真的不错！非常好的酒店，环境和条件都很不错。在上海很少有这样的价位是这样的环境和条件的。前台的服务员水准还欠一些。但态度还不错。', '短评打分': 5}
{'短评内容': '类似私人会所的酒店？公馆定位准确，幽静闲适。浴室让人印象深刻，床很柔软很舒服，服务态度也不错，性价比高。早餐相对寒碜了点，可能总房间数不多，没办法采用自助餐形式……不过倒是可以因此高档定制的说……', '短评打分': 5}
{'短评内容': '交通还比较便利，服务也可以，住过两次了感觉还OK', '短评打分': 5}
{'短评内容': '这个宾馆不像酒店，比较平民，住在里面风景不错，很静，绿化各方面都不错。离火车站也近。也比较干净。', '短评打分': 5}
{'短评内容': '会馆地点很幽静，有一种私人别墅的感觉。房间很干净，睡衣、电吹风等各种设备都比较齐全，房间不大。服务也不错。唯一的遗憾可能交通不是非常方便，但值得一去哦~', '短评打分': 5}
{'短评内容': '优雅，别致，\n特别推荐，虹桥机场下来就是，就是周边设施有点没跟上\n另一点就是虹桥机场下来司机因为路近会很郁闷！~', '短评打分': 5}
{'短评内容': '环境很好,非常安静,庭院式设计,古典装修,离车站机场很近.交通便捷', '短评打分': 3}
{'短评内容': '酒店的环境还不错!就是周边的超市，饭店太少了！', '短评打分': 5}
{'短评内容': '酒店的环境不错！就是周围吃饭的地方太少了', '短评打分': 5}
{'短评内容': '环境很幽静，但是卫生比较差，服务也一般，不建议推荐', '短评打分': 5}
{'短评内容': '酒店的环境挺好的！就是附近的餐馆太少了，酒店的晚餐结束的时间也较早！', '短评打分': 5}
{'短评内容': '酒店环境很雅静,装修很不错,绿化很好,杨梅树都挂果了.不过房间的空调声音有点大噢,单人房感觉也有点小.总体来说是值得入住的酒店', '短评打分': 3}
{'短评内容': '房间挺干净的!环境也挺不错的！就是地理位置有点偏，周围的饭店较少！', '短评打分': 5}
{'短评内容': '环境很好，就是位置有点偏僻，服务也不错。房间很大，特别是卫生间！很喜欢', '短评打分': 3}
{'短评内容': '房间那个小啊~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '闹中取静，住在一楼（总共好像就3层楼），飘窗外就是树，感觉很好。\n房间不是很大，没有办公台，但很整洁，配套也不错，浴缸不错，泡了个澡很舒服。\n离地铁站（淞虹路站）比较近，打车起步价，周边还有个西郊百联商业区。\n建议：要是使用无线网络就好了，可以坐在飘窗上上网；另那天正好掉了个扣子，却没有针线包，前台都没有。郁闷.\n', '短评打分': 5}
{'短评内容': '房间偏小, 没有提供早餐, 附近交通商店不方便, 但离机场很近, 适合转机过夜人士入住, 像个家庭旅店, 不像是商业旅店, 尤其前台服务相当不到位! ', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友很满意，和周边的酒店比起来，性价比不错。朋友说下次还会来住的', '短评打分': 5}
{'短评内容': '十环境很好，很安静，也很干净，总体感觉不错。', '短评打分': 3}
{'短评内容': ' 挺不错的酒店，很幽静，也很精致', '短评打分': 3}
{'短评内容': '安靜.舒適.服務態度佳.距離紅橋機場很近.衛生間大又舒服.滿意.', '短评打分': 5}
{'短评内容': '酒店的房间装修蛮好的，就是大小差很多，服务也不是很好，保洁到时很热情帮忙拿东西，保安态度更差可能他觉得他是上海人吧，看着我一个女人拿了那么多包啊，箱子的，连门都不给我开。酒店环境也挺好的，建议培训工作人员。', '短评打分': 5}
{'短评内容': '酒店整天环境配套设施都不错，服务一天好，一天不好的，不知道是不是跟服务员的心情有关系，房间的大小差很多，有的小的2个人都撞在一起，总之还是比较合算的。价钱和条件成正比。', '短评打分': 5}
{'短评内容': '很不错，环境比较好，非常安静，值得推荐，下次还去', '短评打分': 5}
{'短评内容': '房间小卫生间大就感觉大的有些浪费，不过设施还是齐全，位置是非常的偏但是附近还是很安静，价格还是比较划算很合理。酒店其实设计的挺有格调的装修都很不错，就是位置可能有点限制了发展。', '短评打分': 3}
{'短评内容': '房间环境还不错设施也很齐全，但是就是位置比较偏了出行也不是太方便，服务态度还可以，价格和酒店环境来看比较合理。', '短评打分': 3}
{'短评内容': '酒店环境还是很好的，位置就一般不是很方便去机场倒是挺近的，服务各方面都还不错。房间的舒适度也很好。', '短评打分': 5}
{'短评内容': '酒店设施环境还挺好，就是位置不太好找出行不方便，价格服务都还行。', '短评打分': 3}
{'短评内容': '环境还可以，酒店硬件设施就是一般了，服务方面也很简单，酒店的位置出行还是比较方便只是打车不太好打周围还是比较安静，价格还是比较便宜的。', '短评打分': 3}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '舒适简约，离机场比较近，出行便利。落地窗和室外园景契合得当，公馆定位把握准确。', '短评打分': 5}
{'短评内容': '酒店还是一般，位置也是一般，价格相对于房间来说还是偏高，设施也很简单。', '短评打分': 3}
{'短评内容': '房间装修什么都很不错，从机场过去酒店比较好找，服务态度还是比较一般，价格的话还是比较合理。', '短评打分': 3}
{'短评内容': '不错，值得推荐，很有公馆的味道，房间布置及设施很不错，可惜位置较偏僻', '短评打分': 5}
