{'短评内容': '酒店不算好，主要是距离办事的地方近。', '短评打分': 5}
{'短评内容': '挺满意的，服务很到位，配套也很让人舒服，还会再选择，很满意！', '短评打分': 5}
{'短评内容': '酒店位置方便环境也不错', '短评打分': 5}
{'短评内容': '酒店位置好 停车方便', '短评打分': 5}
{'短评内容': '酒店地理位置好。', '短评打分': 5}
{'短评内容': '服务员都是笑容满面滴问好，感觉特别温暖', '短评打分': 5}
{'短评内容': '京东优惠很好，很实惠，北京订的酒店很，北京很好玩就是太干燥。', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '長期以來一直都在使用', '短评打分': 5}
{'短评内容': '环境不错，服务周到，出差的理想之地', '短评打分': 5}
{'短评内容': '非常好，开会住在这，游泳池水温28度，还能租浮板，更衣室还有热水池，晚上在云南小馆吃的，很好吃，第二天晚上准备继续吃', '短评打分': 5}
{'短评内容': '非常好，开会住在这，游泳池水温28度，还能租浮板，更衣室还有热水池，。晚上在云南小馆吃的，很正宗的酸辣云南口味', '短评打分': 5}
{'短评内容': '非常好，非常好！', '短评打分': 5}
{'短评内容': '不错，给领导订的，很满意。', '短评打分': 5}
{'短评内容': '位置好！服务好，早餐丰盛，房间宽敞', '短评打分': 5}
{'短评内容': '感谢服务员贴心的提供了加湿器，房间里舒服多了。不过被子有点厚，关了空调还是热。', '短评打分': 5}
{'短评内容': '这家喜来登住了很多次了，各方面都不错，一直保持很好的水准。很喜欢它的早餐品种与环境，泳池也不错，下回还住', '短评打分': 5}
{'短评内容': '餐饮比以前明显质量下降，但是价格增加', '短评打分': 4}
{'短评内容': '周边有ume影院，地库免费停车。很新的喜来登酒店，房间面积很大，服务很到位！很好！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很是方便去机场， 大床很舒服。早餐，和日餐，意餐都很讲究。 不错，小喜欢.', '短评打分': 5}
{'短评内容': '不错挺好挺好 不错挺好挺好 不错挺好挺好 不错挺好挺好', '短评打分': 5}
{'短评内容': '住宿的环静非常好早餐还可以', '短评打分': 3}
{'短评内容': '住的顶级客房，环境卫生不错，屋内仍有装修的味道，对于第一次来的客人不太好找，最后电话总台搜索环球中心才找到，地下停车场在负3层，需要注意停车场的指示牌才能找到酒店车位，停车场收费需要到前台拿停车卷。床边没有电源插排，屋内一共3个电源插排其中一个还被电话占用了，床边没有电源插排不方便，想在床上边玩手机或电脑边充电那是不可能滴。卫生间倒是好几个插排太不实用了。', '短评打分': 5}
{'短评内容': '比较好，装修方面有小瑕疵，服务态度还不错。', '短评打分': 3}
{'短评内容': '酒店新开张，商务酒店风格。工作人员服务都非常热情并且专业。酒店二楼的早餐非常好！品尝过的日本菜和意大利餐也非常正宗。赞一个！', '短评打分': 3}
{'短评内容': '周末的海鲜自助餐稍微没那么新鲜，但是早餐非常的丰盛，服务也还不错', '短评打分': 5}
{'短评内容': '房间干净、宽敞，服务细腻，符合星级管理标准，早餐丰盛。房间内仍有装修味道，建议尽快处理。', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '新开业的5星级酒店,全新,带点装修味.靠近北三环,去机场及北京站较为方便.早餐很好,很丰盛.', '短评打分': 5}
{'短评内容': '酒店很好，新，房间宽敞，促销价很超值，如果以后也是这个价格就好了', '短评打分': 5}
{'短评内容': '很新的酒店，可能还是需要多磨合，前台效率有待提高', '短评打分': 3}
{'短评内容': '金隅喜来登服务很好!', '短评打分': 3}
{'短评内容': ' 好评', '短评打分': 3}
{'短评内容': '设施很好,因为新开张,服务差一点', '短评打分': 3}
