{'短评内容': '旁边工地施工很吵，影响休息', '短评打分': 4}
{'短评内容': '以后再也不会去住了', '短评打分': 2}
{'短评内容': '就在解放碑步行街，逛街和吃小吃特别方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置好，酒店卫生干净，就是周边施工，白天很吵。', '短评打分': 4}
{'短评内容': '客房一般般，早餐牛奶加水了.', '短评打分': 4}
{'短评内容': '酒店设施一般，大堂不是太大，地理位置优越，房间干净卫生，周边的购物商场很多，离地铁和轻轨站不是太远，如果出差住，还是不错的选择', '短评打分': 5}
{'短评内容': '地方很好，去哪里都非常方便，附近小吃街也特别多，大饱口福是不成问题的，房间隔音一般，门锁有点问题，其他都还是可以的', '短评打分': 5}
{'短评内容': '比较一般的酒店', '短评打分': 4}
{'短评内容': '还比较可以', '短评打分': 4}
{'短评内容': '每次出差都会住这个酒店哈！环境好，房间敞，最重要就位于解放碑旁边，交通方便！！！服务态度也很好，五星好评必须的！！！', '短评打分': 5}
{'短评内容': '环境不错，早餐有点简单。', '短评打分': 5}
{'短评内容': '位置不错，离解放碑很近。房间很大，装修有点旧了。感觉不是很干净。设施有点旧。服务一般。早饭品种少。窗子很小。边上吃饭非常方便。选择很多。', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '位置好出行方便，重庆出差常选。', '短评打分': 5}
{'短评内容': '位置好出行方便，重庆出差常选。', '短评打分': 5}
{'短评内容': '酒店的位置挺好，出行和就餐都挺方便，房间比较大，不过可能因为酒店有些年头了，有股子旧味儿，总体来说，还是不错的！大堂服务台太小，有一位男性工作人员办理入住的明显业务不熟，造成客房等候时间过长，让人不愉快，希望注意培训好员工再上岗。', '短评打分': 5}
{'短评内容': '酒店就在解放碑中心区域，轻轨交通 很方便，酒店共 3层（10-12楼），电梯只有2部，普通间的窗户 有点不能接受，商务间 还不错，比较值', '短评打分': 5}
{'短评内容': '还不错！出差方便！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '各方面还可以，就是房子老了些，感到稍稍贵了些，对前台服务员的态度不怎么满意，打扫卫生的不怎么负责，连烟缸都不洗。对拉门的2位老师傅很感谢，他们有问必答，很耐心。', '短评打分': 5}
{'短评内容': '距离解放碑走路只要两分钟，去小吃街也很近，出门拐弯就有个超市，总之位置各种方便。酒店比较老，公共区域偏小，房间设施总体可以接受，综合位置来说性价比很高。不足之处是早餐比较差，另外酒店门口打车不太方便，需要拖着箱子上坡到附近的十字路口。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错的酒店，位置好，环境好，就是在装修 有点吵', '短评打分': 5}
{'短评内容': '房间很漂亮，设施都很不错，只是前台太小，一个接待员忙不过来、', '短评打分': 3}
{'短评内容': '这家酒店座落於解放碑最繁盛的地方，周边吃东西和购物都十分方便；我到住的时间值在装修其间，也没有影响；房间内也很整洁，服务也不错；这样的价格很优惠，我会推介给朋友的', '短评打分': 5}
{'短评内容': '地理位置很好，就在解放碑中心区域，酒店门面好小一点都不起眼，不过里面还不错，房间装修风格是典雅大气型的，我住的是最便宜的单间，房间不大，床很大，卫生间也很大，淋浴房浴缸都有，就是洗脸盆很小，水老溅出来。。。对了，地毯和沙发该更新下了，太旧了显得很脏。', '短评打分': 5}
{'短评内容': '近邻解放碑新华书店，周围办事方便，室内环境整洁，早餐丰富\n', '短评打分': 5}
{'短评内容': '很好很干净很高档适合公务出差就是价格超出公务员限额了', '短评打分': 3}
{'短评内容': '还不错！。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店地段好，出门方便，房间干净，早餐不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错，离解放碑很近，希望前台服务能跟上', '短评打分': 5}
{'短评内容': ' 性价比较高，地势好，出行方便。', '短评打分': 3}
{'短评内容': '前台服务员很好地方也好', '短评打分': 3}
{'短评内容': '7年前刚开张时住过这个酒店，当时感觉很好。现在价格涨了，硬件却旧了，胜在地处繁华中心地点。', '短评打分': 5}
{'短评内容': '地理位置非常好，处于渝中区的中心解放碑，酒店虽然比较老，但设施还可以，总体满意。就是早餐太差。饮料只有3种，都是冲出来，牛奶口味太淡。', '短评打分': 5}
{'短评内容': '门卡老是不能正常使用，一直需要服务员开~明明续好了2天的房间，到了第二天就不能正常开启了。希望能够改进门卡。服务态度一般', '短评打分': 1}
{'短评内容': '酒店的门脸有点小，但上了楼才发现里面还是蛮大的。房间布置的很细心，这次还有DVD机和光碟可以看。卫生间的洗脸盆旁边还有一个小的水龙头，研究了很长时间才知道原来是净化过的水龙头，洗脸盆下面就有整套的净化水装置。\n\n很方便，就在解放碑，旁边就是国贸和世贸。在附近办事的话都不需要打车了。', '短评打分': 5}
{'短评内容': '环境服务都不错，房间装修较新，比较满意，还会住的。不错的酒店', '短评打分': 5}
{'短评内容': '位置离解放碑非常近，酒店很干净，隔音不是太好，人多有点嘈杂。', '短评打分': 5}
{'短评内容': '位置在市中心，酒店门面很小，但酒店设施还行。性价比一般。', '短评打分': 5}
