{'短评内容': '还不错，挺干净。窗户挺好。', '短评打分': 5}
{'短评内容': '没有吃早餐，看起来不错', '短评打分': 5}
{'短评内容': '订的商务大床是有窗的，给我没窗的，还和我说一样的，不带我换。', '短评打分': 2}
{'短评内容': '很划算，交通也很方便。', '短评打分': 5}
{'短评内容': '隔壁愛爱听得太凊楚了。', '短评打分': 4}
{'短评内容': '酒店还是不错的，就是隔音效果有点差！', '短评打分': 4}
{'短评内容': '感觉还好   就是没有窗户有点暗', '短评打分': 5}
{'短评内容': '算是经济实惠吧！', '短评打分': 4}
{'短评内容': '房间设施和卫生不错，但是没有窗户，只有一个大的通风口，通风口开关是坏了，吵的我一晚没睡着，如果第二天参加考试，不建议入住！！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '都挺好的，就是浴室的洗发露忘了给了，第二天补上了，隔壁打麻将的声音挺清晰的，不过服务态度很好，早饭也不错', '短评打分': 5}
{'短评内容': '房间挺小的，但中央空调给力，卫生间挺大的，热水出水量够大，晚上睡觉周边不吵，就房间隔音差少点，附近就是麦当劳和超市，就是离地铁站挺远的，那边打的要去对面打才可以。服务还是不错的，也干净，无窗，住一晚也没什么大碍', '短评打分': 4}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '房间挺小的，但中央空调给力，卫生间挺大的，热水出水量够大，晚上睡觉周边不吵，就房间隔音差少点，附近就是麦当劳和超市，就是离地铁站挺远的，那边打的要去对面打才可以。服务还是不错的，也干净，无窗，住一晚也没什么大碍', '短评打分': 4}
{'短评内容': '整体来说还行，就是附近广场舞放的音乐太吵了，早晨六点多就开始，很吵！', '短评打分': 4}
{'短评内容': '位置不错，楼下是超市，麦当劳，周边交通方便~\n对的起价格', '短评打分': 5}
{'短评内容': '出去买吃的很方便、服务态度不错、就是没窗户。。。。', '短评打分': 5}
{'短评内容': '刚去住过，退房时说床上有污渍需要扣10元，难道去住之前还要顾客提前检查一下吗？床上有污渍就扣钱，谁还敢睡床上啊，这样就不会有污渍，连洗床单都省了，非常不满意，和其他的连锁酒店（汉庭）没法比，提醒去得朋友一定要仔细检查再住，不然都说不清楚的', '短评打分': 1}
{'短评内容': '很满意，干净安静，早餐值得推荐，尤其是素包，味道最好', '短评打分': 5}
