{'短评内容': '位置环境好', '短评打分': 5}
{'短评内容': '老板娘态度很好 地理位置也不错 近码头和商业中心', '短评打分': 5}
{'短评内容': '很棒！', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '好，很好，非常好', '短评打分': 5}
{'短评内容': '还算不错的。逛街挺方便的。', '短评打分': 3}
{'短评内容': '之前订的房间有点小问题，老板给调到另外一家也是他的旅馆，环境不错前台服务也很好，老板特别热情，住的地方离日光岩那些都很近，后门走出去去龙头街吃东西很方便，院内环境很是赞', '短评打分': 5}
{'短评内容': '酒店就在小吃街附近，很方便，而且也不吵。国庆出游定的这家感觉挺好，老板人也很好，什么不懂的问他就对了。房间也挺大，要说哪里不足，那就是厕所是透明的，哇哈哈。我跟老公就无所谓，我两个弟弟就有点别扭啦！总体很满意，下次来还住这里哈', '短评打分': 5}
{'短评内容': '可以的，靠近商业区。出门就找到吃的，很安静，也不吵，卫生可以', '短评打分': 5}
{'短评内容': '安静，老板人不错', '短评打分': 5}
{'短评内容': '位于龙头路美食街，很好。店小哥去接的我们。很激动。也不吵', '短评打分': 5}
{'短评内容': '棒棒的！', '短评打分': 5}
{'短评内容': '春节期间入住的，是家庭旅馆，还凑合吧，位置还可以，吃饭比较方便，就是没什么特色', '短评打分': 4}
{'短评内容': '酒店处在鼓浪屿街市之中 又不吵闹 离码头也近 位置十分理想 老板娘热情好客 满意', '短评打分': 5}
