{'短评内容': '有早餐，很好', '短评打分': 4}
{'短评内容': '经济型酒店，性价比还是可以的。', '短评打分': 5}
{'短评内容': '性价比不错，老板娘也挺热情周到的', '短评打分': 5}
{'短评内容': '哈哈哈还好还好面朝大海春暖花开', '短评打分': 5}
{'短评内容': '不错的，老板娘还送早餐券和矿泉水', '短评打分': 5}
{'短评内容': '服务不错，总体还行', '短评打分': 4}
{'短评内容': '酒店离地铁站只有200米，很近很方便；但是附近的公交车只有几班，其中3趟是定时车，剩下的发班间隔也在十几分钟，且晚上6点多就没有公交了，附近也打不到出租车，只有小三轮或黑车。对面有家沙县小吃，其它的小吃至少在2公里以外。大些的超市和水果摊也要走近2公里。清明假期，周围宾馆都涨价了，这里没涨，不过平时这价格没返现的话，我是不来了。卫生～～～不能刷信用卡，多住两天就不方便了。至于房内设施，没什么！', '短评打分': 3}
{'短评内容': '酒店离地铁站只有200米，很近很方便；但是附近的公交车只有几班，其中3趟是定时车，剩下的发班间隔也在十几分钟，且晚上6点多就没有公交了，附近也打不到出租车，只有小三轮或黑车。对面有家沙县小吃，其它的小吃至少在2公里以外。大些的超市和水果摊也要走近2公里。清明假期，周围宾馆都涨价了，这里没涨，不过平时这价格没返现的话，我是不来了。卫生～～～不能刷信用卡，多住两天就不方便了。至于房内设施，没什么！', '短评打分': 3}
{'短评内容': '对于大团结的集体发一次衣服就富甲一方眼睛', '短评打分': 5}
{'短评内容': '挺好的酒店，大家可以去住不错的，性价比也很高', '短评打分': 3}
{'短评内容': '就是离地铁站近，卫生一般，卫生间竟然是透明玻璃的', '短评打分': 1}
{'短评内容': '这个价格就不要要求太多了，房间里面的东西也就是那样，放着不太敢用，不过热水，吹风机啥的还算好使。离高铁北近是个优点，附近什么都没有，吃的，超市都没，是个缺点。', '短评打分': 3}
{'短评内容': '一分钱一分货，对得起这个价格。', '短评打分': 3}
{'短评内容': '感觉是招待所，空间小，晚上睡觉蚊子很多，半夜就起来了', '短评打分': 3}
