{'短评内容': '房门有问题，关门后房门有松动。', '短评打分': 2}
{'短评内容': '位置好，酒店房间挺大，但是浴室是一个透明的', '短评打分': 3}
{'短评内容': '早餐品种多，有停车位，位置紧邻农业路，与勤工路交叉口，房间大，清洁卫生，有电脑，，电视，，，，，，。', '短评打分': 5}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '河南农大对面，离地铁站稍远', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，经常住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错，经常住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错，经常来这家&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错的，经常住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，经常住这家，很舒服&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还是挺不错的 房间环境可以 地点方便 就是电梯稍微麻烦', '短评打分': 5}
{'短评内容': '设施可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '凑合', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以，值得入住', '短评打分': 5}
{'短评内容': '非常的不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '设备老旧了，价格太高了', '短评打分': 4}
{'短评内容': '农业路修路门口很不方便,但是该酒店距离我的核心客户群仅仅走路3分钟路程; 十分给力;  前台小姑娘服务态度蛮好,楼层服务清洁的大姐人也很好; 房间里面干净整洁,干湿分离;网络信号还是不错; 以后看来要常住该酒店了;  ', '短评打分': 5}
{'短评内容': '？好评', '短评打分': 4}
{'短评内容': '酒店周边高校较多，有河南农大，财经，轻工等等。所以周边小吃很多，肉夹馍真是美味。购物场所也不少，周边就是郑州3c市场聚集地，还有各种运动品牌的折扣店。楼下有便利店。酒店装修环境比较有自己的风格，前台服务态度好，响应速度比较快。早餐品种比较丰富，中原特色。', '短评打分': 5}
{'短评内容': '服务态度很好，很热情，屋子很干净，早餐一般，种类太少。', '短评打分': 5}
{'短评内容': '郑州橡树五季整体装修满不错，硬件还到位，但细节需提高，上网比较慢且需要调整，淋浴水量太小了，卫生间打扫的不细致，服务态度灰常热情', '短评打分': 3}
{'短评内容': '干净，舒适。下次还住这里。', '短评打分': 3}
{'短评内容': '酒店环境不错，床很舒服，睡觉安静。不过订的这俩个房间都没有宽带哟', '短评打分': 3}
{'短评内容': '全五分…酒店很不错…这个价位里简直好到不行…', '短评打分': 5}
{'短评内容': '不满意。。。离店都两天了。还是确认状态。还得偶有要联系核对订单。。。效率太低', '短评打分': 1}
{'短评内容': '房间的洗漱东西真不错，房间够大，安静。下次还会去住。', '短评打分': 5}
{'短评内容': '位置挺好 周围环境没睡醒不会很吵 服务员也很热情 房间干净整洁不会给人压抑的感觉 住着很舒适', '短评打分': 5}
{'短评内容': '很不错，价格比高，就是没有凉衣服的地方，望改进', '短评打分': 3}
{'短评内容': '酒店环境非常好 房间大 服务员态度也好 交通也比较便利 就是早餐过于简单 菜式较少 希望以后可以根据入住客人数加以改进', '短评打分': 3}
{'短评内容': '本月内已经入住两次了，很满意！硬件和服务都不错。', '短评打分': 3}
{'短评内容': '环境不错，停车位太少。早餐很一般，座位太少。交通方便', '短评打分': 5}
{'短评内容': '环境非常好，食宿都非常舒适，虽然价格相对周边的酒店高了一些，但绝对价有所值。', '短评打分': 5}
{'短评内容': '条件不错，性价比很高。', '短评打分': 3}
{'短评内容': '还不错的 性价比比较高 那些洗发水沐浴露什么的都很好~~~', '短评打分': 5}
{'短评内容': '酒店感觉很棒，房间设施，卫生，服务超一流，就是早餐不是很给力，还会入住~', '短评打分': 5}
{'短评内容': '酒店房间卫生一流，接待人员热情周到，特别是保安，极负责任。餐厅很干净，总之是很超值。', '短评打分': 3}
{'短评内容': '服务不错。。网速很给力。。还会再来！.................', '短评打分': 5}
{'短评内容': '酒店不错住着挺舒服的，会再次选择。', '短评打分': 3}
{'短评内容': '酒店很不错，住的很舒服', '短评打分': 3}
{'短评内容': '很干净的酒店!房间很大~就是灯有点暗,地理位置不错', '短评打分': 5}
{'短评内容': '很干净的酒店!房间很大~就是灯有点暗,不过主要是用来睡觉的嘛', '短评打分': 5}
{'短评内容': '不错的酒店。地理位置很好。步行博物馆约5分钟。方便。', '短评打分': 5}
{'短评内容': '没有wifi，房间有电脑可以上网，但是网线连在自己电脑上不可以联网，不是很方便。还有拖鞋鞋底很硬，有点硌脚。其他方面都很好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺干净，服务员服务态度也很好！', '短评打分': 3}
{'短评内容': '酒店位置好，干净，晚上安静，性价比还可以。早餐稍微差点。服务态度不错。', '短评打分': 3}
{'短评内容': '第一次来从网上看起来不咋地，来住了发现很干净，舒适，安静。', '短评打分': 5}
{'短评内容': '#設施不错', '短评打分': 3}
{'短评内容': '非常好！住的情侣房，有电脑，网速很快。房间很大，洗漱用品都很好，洗发的配备的是潘婷cliniccare系列，沐浴是olay。很体贴。建议入住。跟图片一样。', '短评打分': 5}
{'短评内容': '感觉该酒店的性价比非常高。\n\n房价大、设备新，本人入住的房间，卫生间和浴室分开的，而且有直饮水供应。\n\n非常不错！', '短评打分': 5}
{'短评内容': '很好，干净卫生，安静。在河南农大对面。新装修的房间。', '短评打分': 5}
{'短评内容': '很好！推荐！', '短评打分': 3}
{'短评内容': '一近入大厅就感觉档次上来了，感觉很干净，房间格局很别致.情侣房间蛮有情调的，有点低调的奢华，以后来农大 还住这里 实在是太方便了', '短评打分': 5}
{'短评内容': '房间还算挺大，但是细节不够好，呵呵总体还是不错的', '短评打分': 5}
{'短评内容': '农大对面，离河南省招生办很近，方便。酒店是简装，比较粗糙。胜在办事方便', '短评打分': 5}
{'短评内容': '酒店宽敞明亮，设施配备较全且档次较高；特别是服务人员及余经理热情、周到，给人一种回家的感觉。', '短评打分': 5}
{'短评内容': '房间总体还是不错的，就是房间门和走廊太简陋，不匹配。', '短评打分': 5}
{'短评内容': '没想到，这家酒店条件这么好，全新的设施，环境很好，这次是去考试订的，巧了。下次到那一片办事的话，还要住。', '短评打分': 5}
{'短评内容': '去得当天不能刷卡，其余的总体还算可以。房间灯光较暗，适合情侣，哈哈！', '短评打分': 5}
{'短评内容': '看到大家的好评，才选定的这家。真的很不错，有很多惊喜！直饮纯进水，潘婷和玉兰油的组合，哈哈！环境很好，房间的格局也很不错！服务也很好，值得推荐', '短评打分': 5}
{'短评内容': '性价比不错，设施很新，值得入住。', '短评打分': 3}
{'短评内容': '这个酒店真的蛮好的，首先环境很好，装潢也很棒，房间很新，性价比真是太高了，交通也很方便，我很喜欢，下次还会住这里。', '短评打分': 5}
{'短评内容': '个人觉得不错，环境也好，交通方便，只是服务员态度一般，下次出差还会去这里', '短评打分': 5}
{'短评内容': '房间很干净，装修也挺好。只是临着学校，学样广播有点影响休息。', '短评打分': 5}
{'短评内容': '房间感觉很好,但对面的学校噪音比较大,早上热水很长时间放不出来.早蚕比较简单', '短评打分': 5}
{'短评内容': '酒店环境不错，到服务人员素质需要尽快提高！', '短评打分': 3}
{'短评内容': '这次是去考试入住，没想到学校旁边有这么好的酒店，酒店很新，设施超好，洗漱用品全都是品牌的，没想到，应该有三星级的水平，值得一住。', '短评打分': 5}
{'短评内容': '不错  性价比高 就是有点下水道的味道 也没换房间。。。。', '短评打分': 5}
{'短评内容': '非常好…设备齐全，装修很漂亮…', '短评打分': 3}
{'短评内容': '不错，不错，房间够大，（一卫，一浴室）液晶电视机够大（46），电脑22寸显示，配置可以！蛮安静的。', '短评打分': 5}
{'短评内容': ' 挺好，整体不错，前台的小姑娘很热情', '短评打分': 3}
{'短评内容': '酒店服务、环境不错，服务挺好。就是早餐品种过少。', '短评打分': 5}
{'短评内容': '    酒店总体上很不错，卫浴用品有TOTO、黑妹雅刷和牙膏、潘婷洗发水、玉兰油沐浴露、还有很漂亮的拖鞋、还有免费早餐、大液晶电视。是一个值得入住的酒店。下次还要住。', '短评打分': 5}
{'短评内容': '非常舒适，设施精致、考究，。惟一缺憾就是房间隔音十分差 在门外可以清楚的听见房内各种声音！', '短评打分': 5}
{'短评内容': '我是北京的客人，姓李，自驾路过这里，很高兴入住了这个酒店。服务很热情，还有早餐，（网上说没有）听服务员说，刚刚开业三个多月，所以这里极干净。虽然我只住了一天。但我非常满意。', '短评打分': 5}
{'短评内容': '不错，很干净，感觉很舒服！', '短评打分': 3}
{'短评内容': '位置：\n不在市中心，但交通方便，在河南农业大学门口正对面，离BRT站300米，安静不吵是优点。\n\n外观：\n一般，很普通，在兴业银行楼上。\n\n早餐：\n基本热菜/都有。\n\n房间：\n很棒，设计感强，有很好的长毛地毯，墙上有玛丽莲梦路的挂画，灯也不错很时常尚，贵妃椅软软的很舒舒适，电视超大，有新式的洗手台，还是双洗手台，备品…OK但小杂(IKEA的杯子+塑料盒装三笑牙刷+黑妹大条牙膏+大颗超市肥皂+印有酒', '短评打分': 5}
