{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '周六去的，晚上住了一晚，房价太贵，不值，另外周日早上七点窗外就开始施工，哪机器声吵死了，本来就是去休闲的，起码睡个自然醒吧，跟服务员沟通尽然说没办法，充分暴露了管理上的严重问题', '短评打分': 4}
{'短评内容': '蛮好的，值得朋友家人，玩一天，二天的', '短评打分': 5}
{'短评内容': '不错的地方!', '短评打分': 4}
{'短评内容': '环境不错，就是床太硬还有就是空调不暖，别的还不错', '短评打分': 5}
{'短评内容': '盘山公路上来蛮吃力的。\n山顶的房间风景不错，但是房间里面竟然连袋泡茶都没有，比较失望。淋浴房的龙头有点问题。\n总体感觉很一般，和经济连锁酒店差不多，可能山腰的房间略好吧。', '短评打分': 3}
{'短评内容': '环境非常好，山顶茶园，棒！', '短评打分': 5}
{'短评内容': '在山顶看星星和日出云海，好美，农家菜也很好吃！', '短评打分': 5}
{'短评内容': '第一次入住 山上环境很好 白天来 晚上雾太大 天黑后没办法开车 服务员很好 酒店床上都有电热毯 很贴心 不足的是房间里竟然没有冰箱 连矿泉水都没有 哎。。。半夜口渴没水喝', '短评打分': 4}
{'短评内容': '酒店在羊岩山的山顶，上山路弯道太多，可以看到山路有落石。山顶空气清新，10月份的夜晚有些凉，看到山顶有露营基地，露营者有穿羽绒服的。 酒店餐厅在山腰，有电瓶车接送。餐厅没有点餐，只有套餐，口味还行，因为没有别的选择。', '短评打分': 4}
{'短评内容': '位置非常好，一早爬羊岩之巅，几乎没有游客，国庆假期没有游客的地方非常难得。酒店设施一般，卫生一般。', '短评打分': 4}
{'短评内容': '不错.................', '短评打分': 5}
{'短评内容': '招待所标准，早餐靠抢，上山路太长，当然山顶风景还行。', '短评打分': 2}
{'短评内容': '山上太清净了，环境很好，房间一般。', '短评打分': 4}
{'短评内容': '环境确不错，下次再来', '短评打分': 4}
{'短评内容': '环境挺好的，设施也不错，价格太实惠了！', '短评打分': 5}
