{'descr': '环境还可以，交通方便', 'star': 4}
{'descr': '好好好好好', 'star': 5}
{'descr': '环境较好，价格实惠，离轻轨站近，方便。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '位置不错', 'star': 2}
{'descr': '一般吧没什么特殊要求，能睡就行', 'star': 5}
{'descr': '不错挺好的好的好的好的', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '挺好的，不错，经常住', 'star': 4}
{'descr': '性价比很高', 'star': 4}
{'descr': '酒店环境较好，经济实惠。', 'star': 5}
{'descr': '位置方便 ', 'star': 5}
{'descr': '都只有将就', 'star': 4}
{'descr': 'tmd又多收了我8元，压根没消费（早上走得急就没和她计较，现在差评来了），携程订房遇到第三次了，是携程不靠谱，还是酒店不靠谱', 'star': 1}
{'descr': '方便，楼下就是地铁站，旁边吃饭的点比较多，总之各种方便，就是设施旧点', 'star': 5}
{'descr': '值得推荐！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 3}
{'descr': '设施较齐，可推荐入住。', 'star': 3}
{'descr': '被蚊子骚扰了一晚上，卫生一般', 'star': 3}
{'descr': '去的时候酒店外部正在装修，进出有点不便，设施还是不错的，晚上也比较安静', 'star': 3}
{'descr': '各方面都不错，就是酒店的电梯差了点，，，然后贵了点。。。', 'star': 4}
{'descr': '就酒店本身的设施、装修而言，很一般，可能是酒店久了，早餐质量有点差，品种少，附近也没有夜啤酒，卖烧烤什么的，要到科园四路才有了。不过有一点很好，交通超方便，就在石桥铺轻轨站的出口，一出出口就能看到，相当便利，对门就是人人乐，购物也挺方便，所以本人还是极力推荐，交个还算公道', 'star': 5}
{'descr': '性价比还是不错,就是停车很难', 'star': 3}
{'descr': '房间不大，挺干净', 'star': 3}
{'descr': '位置很方便,价格不贵,不错', 'star': 3}
{'descr': '环境不错，隔音，但床有点响。毛巾也有点旧。', 'star': 3}
{'descr': '早餐的条件有点差，那里的服务员态度不是很友好的', 'star': 1}
{'descr': '环境一般 就是在里面住停车还要收停车费 服务员的态度也不是很好', 'star': 5}
{'descr': '光线不足，房间的霉味很重，酒店地点较难找到。', 'star': 1}
{'descr': '定的特色房，到这之后被改成电脑房。\n洗手间的厕纸是被水浸泡过的，又找服务员换纸。\n洗手间只有一个支架齐腰的小花洒，大花洒不能用。\n总之不是很满意。下次要考虑还来不来了。\n', 'star': 1}
{'descr': '还不错，酒店比较干净', 'star': 3}
{'descr': '第二次入住了，离未来大厦近，还不错的。，。', 'star': 5}
{'descr': '离“未来大厦”几步之遥，看中这点，其它设施方面还可以吧，没有什么特点。', 'star': 5}
{'descr': '酒店位置还不错，购物吃饭很方便，整体感觉性价比蛮高的。', 'star': 5}
{'descr': '服务上挺好，态度挺热情的，房间也挺干净舒适。', 'star': 5}
{'descr': '酒店的卫生和设施条件不错，位置很好很方便出行，不过就是服务上略显不足.这点需要再进一步改进.', 'star': 5}
{'descr': '位置较好，环境也不错', 'star': 3}
{'descr': '周边交通比较方便。', 'star': 5}
{'descr': '酒店服务,设施都还不错,就是交通不是特别方便,不过离我办事的地方也比价近.总的来说还是很满意的值得推荐给大家的呀!', 'star': 3}
{'descr': '酒店位置很好，紧邻电脑城。周边吃的比较多。房间布局合理，简洁明快，适合商务出行。唯一不足在于宽带虽然免费，但是网线有问题，需要临时处理。希望多多改进。', 'star': 5}
{'descr': '房间里面光线有点暗\r\n要是光线好点就太好了\r\n还有重庆夏天本来就很热\r\n房间里的灯是暖色光\r\n要是日关灯，冷色就更好了', 'star': 5}
{'descr': '重要问题，电视频道太少啦', 'star': 1}
{'descr': '08年2月份在那里住了一个星期，感觉还是不错：&lt;br /&gt;\n位置在石桥铺电脑城旁边，都是IT白领聚集的地方，比较繁华热闹，去往沙区和解放碑都乘车比较方便。房间是刚刚装修过，比较现代和有商务感觉，床上用品比较新很舒服，宽带免费，服务也不错，有一种家的感觉。唯一的缺憾是房间较小，灯光有点暗。不过听说他们有大点的房间。', 'star': 3}
{'descr': '08年2月份在那里住了一个星期，感觉还是不错：&lt;br /&gt;\n位置在石桥铺电脑城旁边，都是IT白领聚集的地方，比较繁华热闹，去往沙区和解放碑都乘车比较方便。房间是刚刚装修过，比较现代和有商务感觉，床上用品比较新很舒服，宽带免费，服务也不错，有一种家的感觉。唯一的缺憾是房间较小，灯光有点暗。不过听说他们有大点的房间。', 'star': 3}
