{'短评内容': '前台服务好，服务员很热情！', '短评打分': 5}
{'短评内容': '住得挺好的，服务不错，也可停车。', '短评打分': 5}
{'短评内容': '已经第二天续住了，感觉还不错', '短评打分': 5}
{'短评内容': '装修破旧，淋浴房漏水，没有免费瓶装水，床硬的不得了，不如锦江之星', '短评打分': 1}
{'短评内容': '是个多年的老酒店，但是很满意，房间卫生整洁，前台服务员的态度也非常热情，感觉是个很温馨的地方，出行贵阳必备的住所，而且房间落地窗的视野也非常不错哦！！！满分', '短评打分': 5}
{'短评内容': '自从京东有了酒店服务，就从携程变京东的铁粉了', '短评打分': 5}
{'短评内容': '这家酒店虽然老了一点，但是真心推荐，交通便利，服务设施也更新了，高楼还是很舒服的，去附近吃个饭很方便。', '短评打分': 5}
{'短评内容': '老宾馆，设备陈旧，房间小，环境比较吵，性价比不高，但是地理位置不错，方便办事。', '短评打分': 4}
{'短评内容': '行！老酒店了！', '短评打分': 4}
{'短评内容': '位置尚可，但设施较老，旅游团很多，酒店基本没有太多的服务，早餐也是乱一点。房间潮气很重，基本能满足需要。', '短评打分': 4}
{'短评内容': '帮朋友订的，还可以，就在黔灵山附近。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通方便，离黔灵公园近。', '短评打分': 4}
{'短评内容': '酒店挺老的了。房间比较旧，设备稍微老旧。毛巾都出线头了。但是地理位置很好。就在黔灵山公园南门附近。', '短评打分': 3}
{'短评内容': '酒店就在黔灵公园门口，位置很好，交通方便，到贵阳北站打车不到20元，附近超市、农贸市场一应俱全，很方便，临街，如果选里面的房间就不吵。', '短评打分': 4}
{'短评内容': '洗澡水需要放很长1时间才有热水，房间较小。', '短评打分': 5}
{'短评内容': '房间还不错，不过没有洗衣的服务，有点遗憾', '短评打分': 5}
