{'短评内容': '不错的！好的', '短评打分': 5}
{'短评内容': '很好的客店，服务员也热情', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '位置绝佳，可俯瞰古城。环境很好，古色古香。朋友说喜欢', '短评打分': 5}
{'短评内容': '环境古典优雅、古城风光尽收、不足是早餐质量差', '短评打分': 5}
{'短评内容': '周边环境非常优美，服务周到，出行也很方便。', '短评打分': 5}
{'短评内容': '第二次入住，交通非常方便，服务周到，环境很好。', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 5}
{'短评内容': '客栈地理位置非常好，距离玉河广场大水车只有一步之遥，而且还在狮子山的半山腰，从客栈窗口望出去，整个玉河广场一览无遗，远处还可以看到玉龙雪山，可以说地理位置无可挑剔。客栈里面装修不错，富有特色，嵌雪楼本身就是一个受保护的文物。老板态度不错，房间设施齐全，总之很超值，推荐。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '非常好，就在大水车的上面，环境优雅，房间都挺好的，在房间可以看见下面的很多景色', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '主要优势是位置好，而且在狮子山上，观景不错，设施和服务都很一般。', '短评打分': 4}
{'短评内容': '位置很好，有开放的观景平台，可远观象山，俯视古城全景。设施比较老，淋浴龙头忽冷忽热，而且热的时候很烫。早餐一般，没多少可吃的东西。性价比不高。', '短评打分': 4}
{'短评内容': '在新城和古城之间，可以看见古城全景，不错', '短评打分': 3}
{'短评内容': '位置非常不错！！而且很有特点，有专门的观景台。行李多的时候打电话叫他们人帮拿，因为要上一段台阶。房间梢有点小！', '短评打分': 5}
{'短评内容': '前台服务态度很好，有免费的接机服务，地里位置比较好，就在古城口，房间有点小', '短评打分': 5}
{'短评内容': '房间位置不错，就是要爬山行李多的时候不方便。早餐一般，酒店视线很好，前台工作人员热情周到！', '短评打分': 5}
{'短评内容': '位置装修都不错，价格稍高，不过还算值得。有的房间装修旧一点，卫生间不大（我比较在意），还是有差别的。\n服务也算不中不偏，有问题会及时解决，不过由于场地大，不像小客栈对每个人都特别熟悉与热情，再说接待人员也轮换多，确实顾不上。\n最好的是有一个山崖边上的茶座，上面有雨棚，能够看到古城全景，很舒服，而且旁边是个什么阁，不住人，情调不错，看出、发呆、聊天的好地方。\n说些缺点：\n1、没有无线，很不方便\n2、', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店地理位置极具优势，古镇入口处；前台服务非常热情耐心；早餐丰盛量足。不错， 下次来丽江还会住嵌雪楼。', '短评打分': 5}
{'短评内容': '很好噢', '短评打分': 3}
{'短评内容': '环境非常好，位置高，可看到古城的全貌，玻璃隔音很好，小阳台很舒服', '短评打分': 5}
{'短评内容': '环境很好 跟大花园一样 服务人员态度也很好 是去丽江选择客栈的不错选择之一！', '短评打分': 5}
{'短评内容': '地理位置很便利，3分钟就能到达四方街，安全保卫跟服务很到位。观景很好，能看到玉龙雪山，还能俯瞰四方街全景', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '庭院非常的不错，似乎是一个以前的寺庙基础上扩建的，服务人员也非常热情。因为在山坡上，所以看古城的景色一流，就是每次进出都要爬山。。。房间内的布置就很一般了，没有什么特色。早餐也一般，每住过别家不知道比较起来如何，但我想地理位置，尤其是观景和环境应该是不错的', '短评打分': 5}
{'短评内容': '帮朋友一家订的，他们住的很满意。酒店位置很好，出行方便', '短评打分': 3}
{'短评内容': '房间装饰的很有特色，酒店内的休息区很多，适合朋友一起出行。服务人员态度超好，就是卫生间的水流有点小。', '短评打分': 3}
{'短评内容': '不错，都很方便。。。。。。。。。。。。。。。。。。。。。 ', '短评打分': 3}
{'短评内容': '很好很方便，旁边就是东街口，住房很干净，交通也方便', '短评打分': 3}
{'短评内容': '卫生和设施条件很好,而且服务各方面也不错.综合水平还行.', '短评打分': 5}
{'短评内容': '位置很好很方便，绿化很好，值得入住。', '短评打分': 5}
{'短评内容': '酒店是四合院风格的，绿化做的很好，空气很新鲜，打扫也很干净，服务也很热情。', '短评打分': 5}
{'短评内容': '服务挺热情的，面带微笑，见面主动问好，感觉挺亲切的。', '短评打分': 5}
{'短评内容': '环境还不错，位置也是挺好找的，价格在当地还算不错，不过房间还是挺一般的。', '短评打分': 5}
{'短评内容': '位置还不错，步行就能到繁华的商业街，出行购物都很方便。', '短评打分': 5}
{'短评内容': '各项都比较满意,可以推荐', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
