{'短评内容': '热水太小，隔音不好', '短评打分': 4}
{'短评内容': '位置不错，出火车站左转约三分钟路程就到，招牌很明显，附近吃的很多，离坐机场大巴约十分钟就到。房间设施一般，隔音很差，晚上会被声音吵醒，一大早就被吵醒，适合一早去旅游的住。', '短评打分': 4}
{'短评内容': '100块闪付蛮好的', '短评打分': 5}
{'短评内容': '还行，不是特别好，但价格还比较实惠', '短评打分': 3}
{'短评内容': '反正不太好', '短评打分': 3}
{'短评内容': '价位还行，服务一般般', '短评打分': 4}
{'短评内容': 'Located near railway station. Reasonable price and hotel facilities not bad.', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不好。。很多要钱的东西。空调也不能用，wifi慢的要死', '短评打分': 2}
{'短评内容': '服务的人太差劲，态度不好还听不懂话，太愁人了', '短评打分': 4}
{'短评内容': '从西安乘火车出发去拉萨！选择这家酒店较方便！走到车站候车室短短几分钟而已。房间虽然差强人意、但服务非常好！谢谢！', '短评打分': 4}
{'短评内容': '还可以，就是没有窗户。', '短评打分': 4}
{'短评内容': '旅游途中住的最差的一家，睡到半夜老鼠跑到床头柜上、一打直接跳到床上，折腾了半夜，刚睡着，又有蚊子，直接把脸蜇肿了，无语了。', '短评打分': 3}
{'短评内容': '非常方便，正对火车站票务大厅，出门向左十几路公交直到各景点，一千米左右是地铁站，向北过地下通道越过火车站是大明宫。强力推荐。', '短评打分': 5}
{'短评内容': '酒店在火车站对面，位置比较好，又不会吵闹，不过隔音不怎么好。', '短评打分': 4}
{'短评内容': '地方特别好', '短评打分': 5}
{'短评内容': '离火车站很近，坐机场大巴也方便。', '短评打分': 3}
{'短评内容': '帮同事订的，她说还不错！干净，离火车站也很近，方便，下次我去西安也选它了！', '短评打分': 5}
{'短评内容': '离火车站很近，交通很便利。酒店设施不错，很舒服，推荐！', '短评打分': 3}
{'短评内容': '地理位置不错，就是房间隔音太差。上下左右的声音都听的到！', '短评打分': 1}
{'短评内容': '还算干净整洁的酒店 ，离火车站较近，但是空间还是小了点。', '短评打分': 5}
{'短评内容': '前台服务较差，起先按排了一个没窗的房，后来经交涉给换了有窗的。', '短评打分': 1}
{'短评内容': '酒店环境还行，最好的一点是离火车站够近。前台的工作人员态度都很不错，退房后火车时间还没到想出去逛逛又不方便带行李，她们那也可以寄放这点真的挺好的....', '短评打分': 5}
{'短评内容': '非常失望，建议大家还是选择同等价位的连锁快捷酒店比较可靠。\n住了三个晚上，都没有人打扫房间，打电话抱怨，前台说是因为入住的客人太多了忙不过来了。房卡连续两天晚上回去都打不开门，又要下去到前台重做。房间隔音很差，好像就是用木板隔开的，隔壁看电视听得清清楚楚。洗手间很脏，有味道，淋浴不是专门隔开的。', '短评打分': 1}
{'短评内容': '位置不错，距离火车站较近，房间也干净就是略小了点。', '短评打分': 5}
{'短评内容': '酒店位置离车站很近但房间一般', '短评打分': 3}
{'短评内容': '非常明智的选择，本酒店就在火车站，非常方便！', '短评打分': 5}
{'短评内容': '新装修，挺好。就前台服务不太好。也可以住吧。', '短评打分': 5}
