{'descr': '周围环境不错', 'star': 4}
{'descr': '挺不错的！', 'star': 4}
{'descr': '吹风机是坏的，早晨起床洗漱没有热水，晚上洗澡热水也不好，住了好几次汉庭，这个设施最不好', 'star': 4}
{'descr': '不知道为什么，晚上暖气管一直在响，然后汉庭150块住感觉挺便宜的，不过我住的不开心，都没睡好，晚上暖气管响了一夜，里面有水生，啊啊啊啊', 'star': 4}
{'descr': '明明含双早的订单，早饭还要另外收费，mmp', 'star': 1}
{'descr': '不错的', 'star': 5}
{'descr': '哦', 'star': 5}
{'descr': '房间条件不错，12月中旬入住的，房间内暖气效果好，总之住得比较舒服，下次来还住此地。', 'star': 4}
{'descr': '进门的一瞬间就给人满室的浪漫与温馨。直线条的造型，简约风格的搭配，房间干净、整齐。在十分充足的阳光下，顿时显得轻松、舒适、自然', 'star': 5}
{'descr': '房间干净整洁，设施齐全，服务员态度热情，附近有居民生活区，小吃不少。但酒店离地铁站吴家窑比较远，坐公交需换乘两次，不大方便。', 'star': 5}
{'descr': '出差住宿，整体还可以，周边交通便利，环境很好！', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '设备齐全 干净整洁 还是很不错的', 'star': 5}
{'descr': '交通便捷', 'star': 5}
{'descr': '交通便捷', 'star': 5}
{'descr': '还好吧，便宜，环境还算干净', 'star': 5}
{'descr': '多次入住，交通方便，位置优越。房间整洁，空间感很好。  前台服务态度很好，客房服务员素质很高，各种设施用品很干净。  酒店附近有许多餐馆，距离五大道景区也很近。  ', 'star': 5}
{'descr': '空调声音很大，晚上影响睡眠，而且电梯是坏的，附近没有吃饭的地儿，但交通便利', 'star': 3}
{'descr': '有无线，很好，就是房间很小！', 'star': 3}
{'descr': '房间小、窗户小，倒是有无线上网，有点压抑！另外就是正对着一家夜总会，三更半夜的有鬼哭狼嚎的声音入侵房间！', 'star': 3}
{'descr': '房间有点小，电视频道少，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '朋友反应很好很干净', 'star': 3}
{'descr': '離出差的地方比較近，是主要原因，其它也都還好，至少同事沒回來抱怨說不好，哈哈~', 'star': 5}
{'descr': ':刚刚入住,目前感觉还不错,挺干净的(无论是卧具还是家具及卫生间)。', 'star': 3}
{'descr': '因为临街，旁边还有娱乐场所，除了有点吵，其他还好吧，下次还是选二店吧。。。', 'star': 1}
{'descr': '房间不是很大，但是卫生干净，我住的一楼经济特价房，晚上外面有点吵。经济条件好还是选高点楼层。还有停车位太少了，不过晚上就能空2到3个车位。', 'star': 5}
{'descr': '交通方便，房间比较小', 'star': 3}
{'descr': '服务不错，交通也便利。房屋虽然与网上展示的出入较大，但干净。', 'star': 5}
{'descr': '，不错，很舒适', 'star': 3}
{'descr': '餐厅登记人员态度不好啊，心情比较差，还有两个人只给一瓶水这叫人咋喝？？？', 'star': 1}
{'descr': '停车场太小了，车没有地方停，一些用品过于陈旧，房间小', 'star': 1}
{'descr': '地理位置优越，交通便利，停车场较小，停车比较困难', 'star': 5}
{'descr': '地理位置好，卫生比较好，热水充足，总体来说还是不错的', 'star': 5}
{'descr': '酒店地理位置很好，交通很便利。房间也很整洁、干净。值得表扬的是，暖气很好，房间温度很舒服！', 'star': 5}
