{'descr': '7天不咋的，和小旅馆一样一样滴', 'star': 3}
{'descr': '为小孩考试提前一个月就定好了房间，但是却给安排了个空调只有冷风的房间，好在服务员给了两个暖风扇，不然不知在七天这寒冷的漫漫长夜如何度过。据说要重新装潢，希望下次入住能有个全新面貌。', 'star': 3}
{'descr': '酒店一般般吧，为了孩子考试，将就一下', 'star': 4}
{'descr': '服务好', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '还可以。。。。。', 'star': 5}
{'descr': '不错。，1.8 1.5 床各一张，很舒服，小区内，安静，隔声不是很好', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '真的有点差啊！这样的还不赶紧装修一下再营业吧！真心给七天提个意见，赶紧先把细节做好再说吧！', 'star': 2}
{'descr': '床品太潮湿，房间设施陈旧，有异味，原本定两天房，没办法只住了一个晚上，退房服务态度很差，并且说以后携程定房要怎么怎么的，服务员素质很差，虽然最后给退了，但用了近半个小时。', 'star': 2}
{'descr': '经济型，很不错了。', 'star': 4}
{'descr': '一下定了7天的，在那个附近，这个价位的酒店，7天是最好的，房间很大，很安静，有点不好就是周边吃的太少就兰州拉面啥的，还有就是离地铁站有点远！但总体很不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '建筑有点旧', 'star': 5}
{'descr': '设备设施太陈旧了，服务还可以', 'star': 3}
{'descr': '非常不错', 'star': 1}
{'descr': '一般', 'star': 4}
{'descr': '在一个小区院内，离地铁口大约1公里多，交通有些不方便，房间带的早餐不是自助，是按份给，特简单，酒店设施一般，洗涑用具是前台登记时才发给顾客，不是放在房间卫生间', 'star': 4}
