{'短评内容': '很不错的，适合住', '短评打分': 4}
{'短评内容': '可以 不错 挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '隔音不怎么样', '短评打分': 5}
{'短评内容': '除了隔音不好都不错', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '京东的价格是最划算的，与艺龙合作的不错', '短评打分': 5}
{'短评内容': '挺好的，安静，房间大而干净', '短评打分': 5}
{'短评内容': '预定确认速度很快，比其他预定渠道还要便宜，第一次使用，感觉很不错', '短评打分': 5}
{'短评内容': '还不错。不过以前有免费的矿泉水，现在竟然没了', '短评打分': 5}
{'短评内容': '还不错，每次来合肥都是住这里，环境清幽', '短评打分': 5}
{'短评内容': '第三次来这里了，一如既往的好', '短评打分': 5}
{'短评内容': '位置非常好，生活出行很方便，设施偏旧', '短评打分': 3}
{'短评内容': '相当不错的选择', '短评打分': 5}
{'短评内容': '名字改了，现在叫速8，不是因为莫泰168了，我找了好半天，可手机导航一直是这个位置，我就去问才知道的，房型挺大的，比较干净，离安徽农大比较近，下次还住这里', '短评打分': 5}
{'短评内容': '很干净，服务周到，靠近南一环，交通方便，旁边吃饭的地方有很多，商场有国购，之心城，嗯嗯，好，好好好好', '短评打分': 5}
{'短评内容': '网络有待提高', '短评打分': 5}
{'短评内容': '不太好找 房间一般 临时住一晚还行', '短评打分': 3}
{'短评内容': '房间干净，服务很好，继续保持', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '总体感觉不怎么样，也不便宜', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '酒店很不错 位置靠近市中心 内部的卫浴用品也很干净 下次还会来', '短评打分': 5}
{'短评内容': '蛮好的，安静。很适合，居家旅行。服务也不错。唯一缺陷就是电视可看频道很少。', '短评打分': 5}
{'短评内容': '酒店服务很规范，设施很齐全，房间干净整洁，早餐丰富，价格实惠。', '短评打分': 5}
{'短评内容': '酒店位置不错，旁边有公园，楼下有饭店，走一站路有购物中心，设施也不错，推荐入住是因为酒店工作人员的笑容，只要在酒店碰见工作人员就会收获一张笑脸和一声“你好”，这是大多数商务酒店做不到的。', '短评打分': 5}
{'短评内容': '酒店位于长江西路，离国购和百大CBD都很近，环境很安静，内部很舒适卫生', '短评打分': 5}
{'短评内容': '酒店的位置很好 并且房间的布置也不错 再就是很干净啦 服务员也很热情 下次去还会选择这家酒店滴', '短评打分': 5}
{'短评内容': '房间有点小。服务还可以。比较干净。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很干净 早餐很合口 晚上住着一点也不吵 位置也方便 下回到合肥还住这', '短评打分': 3}
{'短评内容': '位于琥珀山庄门前，位置蛮好的，也挺安静，步行十几分钟就能到国购中心，电影院，商场，家乐福，各种美食。属于比较不错的地方。打的去火车站也就二十分钟左右十三块钱。淋浴水温大概也就三十多度，夏天洗澡没有问题，但是估计冬天就不行了。房间隔音不是很好，隔壁房间电视声音以及说话声音都能隐约听到，敲打一下不是实体墙。房间卫生还行。服务态度都蛮好的。', '短评打分': 5}
{'短评内容': '前2个月活动的价格挺好，这个月活动取消价格恢复了，要是能一直保持活动的价格就完美了，总体来说很好，值得推荐', '短评打分': 5}
{'短评内容': '酒店还不错，服务员态度也还好。就是酒店热水真的不怎么热，夏天还好，冬天就...大家懂得。希望改进吧', '短评打分': 5}
{'短评内容': '位置挺好 交通方便 酒店也挺安静 卫生也不错  适合自驾 ', '短评打分': 5}
{'短评内容': '很好!', '短评打分': 3}
{'短评内容': '环境还是不错的', '短评打分': 3}
{'短评内容': '环境非常好 非常安静  只是空调有一点点吵 不影响休息   还有热水再热点就好了  总之非常舒适的酒店', '短评打分': 5}
{'短评内容': '环境不错，服务也好，推荐入住，房间干净，整洁，床也舒适', '短评打分': 5}
{'短评内容': '环境蛮好', '短评打分': 3}
{'短评内容': '我定的是大床房,结果去了可能没有这个房间了,前台给我调了一个带电脑的大床房,唯一的遗憾就是没窗户,但是不影响,值得一提的是前台的接待和服务是非常好的.而且还送了一张早餐券,总体来说这家酒店的服务是我见过服务最好的一家.房间就更不用说了！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '值得推荐，第N次来了，安静，干净，服务员态度很好，交通很方便，值得推荐', '短评打分': 5}
{'短评内容': '住宿很不好,热水不热,像是乡村酒店!', '短评打分': 3}
{'短评内容': '床很软，睡着很舒服，晚上环境很安静，周围环境很好。', '短评打分': 3}
{'短评内容': '位置很好，床很软，很舒服，热水温度也很合适，早餐也还可以，总体来讲，很满意！！', '短评打分': 5}
{'短评内容': '服务很好，酒店很安静，离国购很近，很方便。推荐。', '短评打分': 5}
{'短评内容': '，环境还不错', '短评打分': 3}
{'短评内容': '店间热水不够热，其他都还好。对面就是琥珀公园，空气好！', '短评打分': 3}
{'短评内容': '不太好找，并不在长江西路上。房间内连瓶装水都不送，早餐太简陋，不如格林豪泰。', '短评打分': 3}
{'短评内容': ' 不错啊，就是有点贵了', '短评打分': 3}
{'短评内容': '很喜欢！莫泰一直给我的感觉都不错！第一次住莫泰是在青岛，那时候还是穷学生，给我留下了很不错的印象，后来只要这个城市有莫泰，离我的目的地不超过5Km，都会优先选择。\n\n', '短评打分': 5}
