{'短评内容': '酒店设施比较旧，商务快捷酒店，条件一般。', '短评打分': 3}
{'短评内容': '啥也不说，自己看！', '短评打分': 2}
{'短评内容': '马路边。声音大。房间暗', '短评打分': 4}
{'短评内容': '地理位置不错，房间很一般，设施老旧', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '&hellip;&hellip;', '短评打分': 5}
{'短评内容': '很好，价格便宜，停车方便，早餐齐全，味道好！', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店位置在市区，交通吃饭都方便，酒店房间卫生都挺好，还专门给我们亲子房带小孩有亲子房很方便', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很好交通方便', '短评打分': 5}
{'短评内容': '很好，位置很好很方便！', '短评打分': 5}
{'短评内容': '这个价值得起，早餐简单了点', '短评打分': 3}
{'短评内容': '酒店开的比较久了，房间还是很大，这次旅行的第一站，性价比还是可以', '短评打分': 3}
{'短评内容': '交通比较方便，提供的早餐不是很满意！不过入住的房间舒适性不错！', '短评打分': 3}
{'短评内容': '老式酒店，赶上火把节，贵了一大截。', '短评打分': 4}
{'短评内容': '位置不错，交通很便利，但内部设施显陈旧，服务一般，马桶盖本身已陈旧损坏，最后退房时还被要求赔偿，这一点不满意。', '短评打分': 4}
