{'短评内容': '已经是当地最好的酒店了', '短评打分': 5}
{'短评内容': '小地方，凑合。', '短评打分': 5}
{'短评内容': '房间设备比较旧，但是还算干净', '短评打分': 4}
{'短评内容': '交通便利，环境优雅', '短评打分': 5}
{'短评内容': '应该算是当地环境比较好的酒店了', '短评打分': 5}
{'短评内容': '小城市一年当中短暂的旅游旺季，价格真是高！无星的价格，快捷的设施。', '短评打分': 4}
{'短评内容': '不多说了，看下4星酒店什么场，这还是加150块换房间的结果，无语', '短评打分': 2}
{'短评内容': '酒店房间设施比较好，四人套间只有一个卫生间，不方便。', '短评打分': 4}
{'短评内容': '酒店房间设施比较好，四人套间只有一个卫生间，不方便。', '短评打分': 4}
{'短评内容': '整体来说还不错，旅游季节有多贵啊', '短评打分': 5}
{'短评内容': '火锅超赞 45可劲造', '短评打分': 5}
{'短评内容': '超五星的价格各项指标却是二星的标准，太差了……', '短评打分': 1}
{'短评内容': '酒店一般，价格却很贵，但估计是当地最好的酒店了，性价比太低', '短评打分': 3}
{'短评内容': '当地最好的酒店。直接打电话都订不到，旅游旺季都是旅行团直接包掉的。携程很牛X，通过旅行社帮订的，以至于前台都不相信我有订房。', '短评打分': 5}
{'短评内容': '很现代化，算是当地最好的酒店了，前台服务员很热心，价格有点小贵', '短评打分': 5}
