{'短评内容': '酒店前台服务不错，卫生，网络很好', '短评打分': 5}
{'短评内容': '非常不错，可以去', '短评打分': 5}
{'短评内容': '很好，不错。满意。就是水压太小，能够改善一下就更加满意了。希望酒店能够关注到信息，及时改进，以后会常入住', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境相当不错，建议入住，态度也很好，一应俱全。', '短评打分': 5}
{'短评内容': '酒店环境不错，质优价廉，早餐有待提升', '短评打分': 5}
{'短评内容': '环境很好，就是贵啊。', '短评打分': 4}
{'短评内容': '除了有点偏外，其他都很好，感觉很适合静养，里面有湖，小桥，家禽，很休闲，也是个可以让心静下来的地方。', '短评打分': 5}
{'短评内容': '环境优美，服务一般，房间漂亮，携程给力', '短评打分': 3}
{'短评内容': '出行西谷方便，风景优美', '短评打分': 4}
{'短评内容': '不论是环境还是设施还是服务都是好，而且周围的环境真的是静雅，真心地推荐，也定会再来', '短评打分': 5}
{'短评内容': '春节期间住的 ，房间设施很新，档次也很高，相当满意。', '短评打分': 5}
{'短评内容': '刚刚办完入住。环境太好了，很安静。心旷神怡…C/I很快，期待接下来更好服务。', '短评打分': 3}
{'短评内容': '可能酒店是新开的，住的人比较少，吃饭居然找不到服务员，房间设施都还不错，就是空调打不高，晚上很冷，小孩子感冒了！', '短评打分': 1}
{'短评内容': ' 舒适宽敞，服务周到，设备新，干净。就是电视信号略差了点。整体非常满意，谢谢！', '短评打分': 3}
