{'短评内容': '总体比较差，特别是早餐，有点说不过去。', '短评打分': 3}
{'短评内容': '已经入住预定的厦门丽景酒店', '短评打分': 3}
{'短评内容': '地点偏了点，床软了点，前台服务态度很好，对我们的要求都给予满足。', '短评打分': 3}
{'短评内容': '老钢丝床垫，太软、整个人都陷进去，睡着不舒服。', '短评打分': 1}
{'短评内容': ' 该酒店前台态度很差，酒店设施破损很多，墙皮都掉了，蟑螂和蜘蛛都有；交通不便，打的不容易！总之是非常郁闷的一次住宿！', '短评打分': 3}
{'短评内容': '酒店位置不错，四面绿树环抱，景色很好，饭后散步的好地方；距离湖里小吃街很近，可以逛逛，晚上有很多的特色大排档；酒店内的空间也还可以，就是装修时间比较长了，有点掉墙皮；店里没有雨伞，今天下雨，很不方便，也没有帮忙交出租车的服务。前台的服务态度还可以。', '短评打分': 5}
{'短评内容': '酒店还行，前台服务挺好，但没得上网和床太软了。', '短评打分': 3}
{'短评内容': '朋友住的，反应比较床比较软，其他还不错，比较安静。', '短评打分': 5}
{'短评内容': '太闹，床太软，早饭要自费，电视基本没法看，服务态度也很一般--', '短评打分': 1}
{'短评内容': '酒店还不错，就是墙上太脏，空调还不制热', '短评打分': 3}
{'短评内容': '房间还可以，但位置有些偏车不好打，还有不能信用卡支付很不爽。', '短评打分': 3}
{'短评内容': '酒店位置还比较好，工作人员工作态度很一般。房间床十分舒服，房间内卫生还不错！', '短评打分': 1}
{'短评内容': '价格合理，性价比高，缺点是离景点距离较远，但是厦门公交车发达，且一直运行到23点，综合考虑值得推荐', '短评打分': 5}
{'短评内容': '距离机场方便，服务态度好，解决问题的态度很好。只是设施不是很好，上热水比较慢，但是价格合理，值了！', '短评打分': 5}
