{'短评内容': '服务太差了，速度超级慢。位置偏僻。再也不住', '短评打分': 2}
{'短评内容': '早餐不错，有健身房，乒乓球，斯诺克等，蛮安静的。不过如果前台人员能再热情点就更好了。整体还是不错的。', '短评打分': 5}
{'短评内容': '非常好，舒服！', '短评打分': 5}
{'短评内容': '非常好，舒服！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '服务很差', '短评打分': 4}
{'短评内容': '非常舒服和家的感觉！', '短评打分': 5}
{'短评内容': '蛮不错的，这个价格性价比算高的，还能延时退房，退房时速度又快，服务不错', '短评打分': 4}
{'短评内容': '地下停车库很乱', '短评打分': 3}
{'短评内容': '比无锡的雷迪森差远了，位置有点偏', '短评打分': 3}
{'短评内容': '总体还不错，送的东西很多，早餐不错', '短评打分': 5}
{'短评内容': '虽然酒店不错,可是刚升五星餐厅菜的价格贵的离谱', '短评打分': 5}
{'短评内容': '酒店设施非常好！下次还会光顾！服务态度可以说是非常好的！最好宽带服务类有免费的活动，宽带速度要有多提升！', '短评打分': 5}
{'短评内容': '设施很好，非常高档，房间干净清爽，服务周到，值得推荐。', '短评打分': 5}
{'短评内容': '酒店早餐一般，位置比较偏僻，没车还是不太方便。\n\n ', '短评打分': 5}
{'短评内容': '酒店早餐一般，位置比较偏僻，没车还是不太方便。', '短评打分': 5}
{'短评内容': '不错的酒店。。比起同价格的酒店要干净的多。。。以后还会介绍朋友住这酒店的。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的早餐动西不够丰富，房间还好，周边环境一般。', '短评打分': 3}
{'短评内容': '地点偏僻，周围没有任何娱乐、餐饮场所。打车极为不便', '短评打分': 5}
{'短评内容': '地点偏僻，周围没有任何娱乐、餐饮场所。打车极为不便。酒店内餐饮价格比杭州湾酒店还高。 ', '短评打分': 1}
{'短评内容': '有新，房間內大小也ok。\n\n但附近沒有任何商店，只有汽車商場。\n\n另，房間內的椅子不夠高，我正坐著打字，很不好打字。腰很不好受!!無法長時間用notebook!\n\n其它可接受，還不錯。', '短评打分': 5}
{'短评内容': '酒店服务很好，里面的环境也不错，就是走廊的隔音不怎么样\n', '短评打分': 5}
{'短评内容': '慈溪雷迪森的硬件还是很好的，基本达到外资五星的标准，但是软件还是很一般，服务意识还是差很多，有待改进。', '短评打分': 5}
{'短评内容': '位置不太好，交通不方便。房间还算不错，而且酒店较新。', '短评打分': 1}
{'短评内容': '中餐厅价格有点太贵，    镇上偏远的地方', '短评打分': 5}
{'短评内容': '慈溪最好的酒店，         就是有点偏远，', '短评打分': 5}
{'短评内容': '地点偏僻，餐厅很少有散座，游泳池不开，无商店。服务还不错。', '短评打分': 5}
{'短评内容': '新成立一年的酒店 ，还未拼星级，但大堂和客房设施比较优秀，还有gold key人员，入住还是很舒适的，但周遍比较偏远，如果要购买日常用品不是很方便', '短评打分': 5}
{'短评内容': '带着孩子去亲子的， 没想到游泳池那么差\n\n满池子的人，原来是游泳班在上课，严重影响了住客的使用\n\n打乒乓也要钱  餐厅更是贵的离谱\n\n下次不会再去了', '短评打分': 1}
{'短评内容': '服务态度非常好。配套设施很一般，不象是五星的。晚上想吃点东西也找不到地方。', '短评打分': 5}
{'短评内容': '服务很到位 早餐很美味 设施很齐全 就是地理位置不好 离市区较远 综合以上 是个很不错的酒店', '短评打分': 5}
{'短评内容': '酒店环境还可以但是游泳池差了一些，房间还可以，酒店的位置出行也不是太方便，价格服务还好。', '短评打分': 5}
{'短评内容': '很好的酒店,位置有些偏，其他都很好，很新', '短评打分': 5}
{'短评内容': '地点偏僻，必须有自驾车；周围是农房，仅能在酒店吃饭；散客吃中餐，只有包间；湿洗T恤，竟然比洗衬衫还贵一倍，要40元；游泳池和更衣室，不在一起，要走过一个公共长廊；没有商店；自助餐只是早晨中午才有。', '短评打分': 1}
{'短评内容': '门童服务很到位，服务态度很热情。', '短评打分': 5}
{'短评内容': '相当不错的酒店，服务也很好。晚上叫餐到的房间，那个什么蘑菇汤特别鲜特别好喝！！以后要是还到慈溪，一定住那里。', '短评打分': 5}
{'短评内容': '设施很好，房间用品很新,服务也很到位，比较有特色的是酒店内运动设施较多，室内泳池、乒乓、桌球、壁球房、健身房等等，度假时间全家一起运动健体，玩的都很愉快.', '短评打分': 5}
{'短评内容': '酒店位置好，附近有超市方便购物。', '短评打分': 5}
{'短评内容': '设施蛮齐全的，有停车场方便停车。房间里面很干净，设计的很有风格，住着很舒服。', '短评打分': 5}
