{'短评内容': '有早餐可以预定', '短评打分': 4}
{'短评内容': '挺好的，很好', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '床单被罩一般吧', '短评打分': 4}
{'短评内容': '环境不错，早餐也可以', '短评打分': 5}
{'短评内容': '实惠，好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置不太好找，房型也一般，一般般', '短评打分': 5}
{'短评内容': '没有想象中的好，桌子太窄', '短评打分': 2}
{'短评内容': '还不错吧，环境比较干净', '短评打分': 5}
{'短评内容': '早餐不错，房间一般', '短评打分': 5}
{'短评内容': '环境干净卫生 地理位置也不错 服务人员接待很好,只是网络太差,几乎没有用过,希望能速改.', '短评打分': 5}
{'短评内容': '环境不错服务周到？', '短评打分': 5}
{'短评内容': '服务及卫生棒棒！', '短评打分': 5}
{'短评内容': '还可以吧，条件好不错，地理位置方便', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '住了两天，先是第一天晚上暖气坏了，空调遥控器还给收起来了，找人来开开遥控器不给留下。后来电梯又坏了一整天没修好，天天爬楼梯。', '短评打分': 4}
{'短评内容': '设施和环境都一般搬啦，到是楼下保安大叔很靠谱。的士不太好叫的，是用滴滴call车到的机场。', '短评打分': 3}
{'短评内容': '环境不错，就是洗澡的龙头坏了，将就了。楼下就餐比较方便。', '短评打分': 5}
{'短评内容': '设施稍旧一点，但整体来说还是比较好的，出行也方便，卫生还行，周边环境也比较安静，有特大床房间，带了小孩的比较方便。', '短评打分': 5}
{'短评内容': '电视太小了些。', '短评打分': 5}
{'短评内容': '交通挺方便，暖气很暖和，酒店的话都是汉庭的标准，挺好的～就是。。设施有那么点时沧桑感。。。。然后入住的当天系统崩溃了。等了好久。。', '短评打分': 4}
{'短评内容': '床大、价格合理。', '短评打分': 5}
{'短评内容': '服务很热情，房间也还行，有点异味，早餐种类很少，不过也吃得饱。就是交通有点不方便，入住的时候找了很久，容易跟泉城广场那个汉庭店弄混了', '短评打分': 5}
{'短评内容': '酒店不错，干净。但是宽带太慢根本不能用。', '短评打分': 3}
{'短评内容': ';房间隔音不好，影响睡眠。其他很好', '短评打分': 3}
{'短评内容': '非常不错 很舒服 非常适合一家人来住 床也很舒服房间大', '短评打分': 5}
{'短评内容': '沐浴液不能与洗发水合一使用 这样敏感体质易过敏', '短评打分': 3}
{'短评内容': '挺安静的', '短评打分': 3}
{'短评内容': '挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好', '短评打分': 5}
{'短评内容': '房间挺大的，也比较干净，就是这次给安排的另一个大床房靠马路，有点吵。', '短评打分': 5}
{'短评内容': '住的是家庭房还不错，挺大的也挺干净,每次去济南都住这里！', '短评打分': 5}
{'短评内容': ' 酒店非常的干净，服务态度也不错，就是15元的早餐不是太丰富。', '短评打分': 5}
{'短评内容': '位置不错，环境时尚可，在经济型酒店中比较值得选择！', '短评打分': 5}
{'短评内容': '，很干净，很舒服', '短评打分': 3}
{'短评内容': '房间很大，很干净，还会预订', '短评打分': 3}
{'短评内容': '还不错，碰上房费高的时候，就是不好延时退房', '短评打分': 5}
{'短评内容': '打扫的很干净，房间比一般的快捷酒店要宽敞，也挺安静的，暖气不错。位置很便捷，出门就是公交车站和大超市。', '短评打分': 5}
{'短评内容': '大床房太小了,就只能放下一张床', '短评打分': 3}
{'短评内容': '房间很干净，就是大床房空间有点小，总体感觉还不错，性价比很不错', '短评打分': 5}
{'短评内容': '新开的 很干净也很安静 就是电视频道有点少', '短评打分': 5}
{'短评内容': '新开业的酒店，各项设施都很好，而且还能免费停车，安全可靠', '短评打分': 3}
