{'短评内容': '房间隔音可以说是非常差了！！！半夜一点了还能听到隔壁房间在放新闻联播EXM？？？ 早上六点就被吵醒 请自己体会  所以对睡眠质量有一定要求的慎选 综上 就酱 第一次给差评', '短评打分': 3}
{'短评内容': '不错 不错 住了好久，外面时女鞋之都，有很多购物商场，价格也很合理，吃饭也比较方便，周末休息去武侯祠玩也比较近，前台服务热情，房间卫生做的也很不错，有专门的停车场，24小时都有保安巡逻，五星好评，大力推荐！五星好评', '短评打分': 5}
{'短评内容': '预订单间，换成标间没提前通知我，房间有点旧，单间129这个区域差不多吧', '短评打分': 2}
{'短评内容': '不错 不错 住了好久，外面时女鞋之都，有很多购物商场，价格也很合理，吃饭也比较方便，周末休息去武侯祠玩也比较近，前台服务热情，房间卫生做的也很不错，有专门的停车场，24小时都有保安巡逻，五星好评，大力推荐！五星好评', '短评打分': 5}
{'短评内容': '不错 不错 住了好久，外面时女鞋之都，有很多购物商场，价格也很合理，吃饭也比较方便，周末休息去武侯祠玩也比较近，前台服务热情，房间卫生做的也很不错，有专门的停车场，24小时都有保安巡逻，五星好评，大力推荐！五星好评', '短评打分': 5}
{'短评内容': '住了好几次了。环境很不错。为了积分系统的时候，的时候，的时候，的时候，的时候，的时候，的时候，的时候回来，', '短评打分': 5}
{'短评内容': '那这个酒店就非常可以了。 tingchehen fang bian ，weisheng yeganjing', '短评打分': 5}
{'短评内容': '房间卫生做的特别干净，服务员态度也非常好 性价比很高的一个酒店 以后就住这家酒店了', '短评打分': 5}
{'短评内容': '服务态度超级好，房间卫生也做得很干净 性价比很高的一个酒店 ', '短评打分': 5}
{'短评内容': '酒店的地理位置很好一下就能找到，。周围也有商场可以逛，房间卫生整洁，前台接待服务特别好。客房阿姨也很热情。晚上睡觉周围也特别安静。非常不错的酒店。', '短评打分': 5}
{'短评内容': '服务员态度差点', '短评打分': 4}
{'短评内容': '很干净对得起这个价钱', '短评打分': 5}
{'短评内容': '要了四个房间，店主的服务态度都很好！房间这些设施卫生都不错～', '短评打分': 5}
{'短评内容': '昨晚一直在高速上堵车，到了凌晨才到，店家一直帮我保存到我们来到店里！房间卫生环境这些都不错！服务态度也超级好！', '短评打分': 5}
{'短评内容': '改名叫派酒店了，新装修，不错，挺干净，就是距离市区远了点，去武侯祠大概半小时。', '短评打分': 3}
{'短评内容': '总的来说酒店还可以，就是退房时由于工作人员的态度有点让人不愉快。', '短评打分': 4}
{'短评内容': '很不错的主题酒店，很喜欢。很有特色的客房电话和浴室', '短评打分': 3}
{'短评内容': '房间不是很大，可能是新装修还是其他原因，房间气味不好。', '短评打分': 1}
{'短评内容': '服务很热情啊，由于找不到酒店，接电话也很耐心帮忙，环境可以，这个价格差不多', '短评打分': 3}
